manifest_id,smoke_id,patch_id,relative_path,path_hash,execution_mode,embedding_attempted,embedding_valid,vector_norm,status,blocked_reason,notes
V1QJ_MAN_00001,V1QH_SMK_00013,CUR_00367,curitiba/curitiba_00367__rgb_preview.png,cf6afec88877a2f8,REAL_EXECUTION,true,true,1.000000,DINO_SMOKE_EMBEDDINGS_READY_REVIEW_ONLY,,sha=245177ec640804b5
V1QJ_MAN_00002,V1QH_SMK_00014,CUR_00402,curitiba/curitiba_00402__rgb_preview.png,a8159194f9ba37c8,REAL_EXECUTION,true,true,1.000000,DINO_SMOKE_EMBEDDINGS_READY_REVIEW_ONLY,,sha=9de6004ca9d03854
V1QJ_MAN_00003,V1QH_SMK_00015,CUR_00409,curitiba/curitiba_00409__rgb_preview.png,a352305b272e2d7c,REAL_EXECUTION,true,true,1.000000,DINO_SMOKE_EMBEDDINGS_READY_REVIEW_ONLY,,sha=0f28a8aa7f6b1475
V1QJ_MAN_00004,V1QH_SMK_00016,CUR_00410,curitiba/curitiba_00410__rgb_preview.png,e51e301e1b267b3a,REAL_EXECUTION,true,true,1.000000,DINO_SMOKE_EMBEDDINGS_READY_REVIEW_ONLY,,sha=93df31b41b06d0eb
V1QJ_MAN_00005,V1QH_SMK_00017,CUR_00413,curitiba/curitiba_00413__rgb_preview.png,1ecda0289054c9e9,REAL_EXECUTION,true,true,1.000000,DINO_SMOKE_EMBEDDINGS_READY_REVIEW_ONLY,,sha=5d5236739014a0d4
V1QJ_MAN_00006,V1QH_SMK_00018,CUR_00416,curitiba/curitiba_00416__rgb_preview.png,5144380a61da7d69,REAL_EXECUTION,true,true,1.000000,DINO_SMOKE_EMBEDDINGS_READY_REVIEW_ONLY,,sha=57d6084b312016c0
V1QJ_MAN_00007,V1QH_SMK_00019,CUR_00445,curitiba/curitiba_00445__rgb_preview.png,ab1c6bd523ed660f,REAL_EXECUTION,true,true,1.000000,DINO_SMOKE_EMBEDDINGS_READY_REVIEW_ONLY,,sha=21c263b8efc4f2ee
V1QJ_MAN_00008,V1QH_SMK_00020,CUR_00446,curitiba/curitiba_00446__rgb_preview.png,b2517c26b2e65e1a,REAL_EXECUTION,true,true,1.000000,DINO_SMOKE_EMBEDDINGS_READY_REVIEW_ONLY,,sha=07d8213b53e19514
V1QJ_MAN_00009,V1QH_SMK_00021,CUR_00597,curitiba/curitiba_00597__rgb_preview.png,5e56e84ce0566196,REAL_EXECUTION,true,true,1.000000,DINO_SMOKE_EMBEDDINGS_READY_REVIEW_ONLY,,sha=0a5131587fd138bc
V1QJ_MAN_00010,V1QH_SMK_00022,CUR_00661,curitiba/curitiba_00661__rgb_preview.png,7f13dd125eac5399,REAL_EXECUTION,true,true,1.000000,DINO_SMOKE_EMBEDDINGS_READY_REVIEW_ONLY,,sha=2287febd440f875a
