embedding_id,patch_id,alias,region,source_artifact_id,source_path_hash,vector_dim,vector_sha256_16,vector_norm_l2,vector_mean,vector_std,has_nan,has_inf,is_zero_vector,is_duplicate_vector,embedding_status,dino_allowed_use,dino_can_create_label,dino_can_train_model,dino_target_field_created,blocked_reason,notes
V1PH_EMB_00001,CUR_00038,CUR_00038,CURITIBA,V1PG_ART_0511,6e02e3a7547be66f,768,6bf3f8d81d8fabd2,1.000000,-0.000593,0.036080,false,false,false,false,VALID_REVIEW_ONLY,REVIEW_ONLY_REPRESENTATION,false,false,false,,
V1PH_EMB_00002,CUR_00249,CUR_00249,CURITIBA,V1PG_ART_0511,6e02e3a7547be66f,768,41200be920e7772b,1.000000,-0.000374,0.036082,false,false,false,false,VALID_REVIEW_ONLY,REVIEW_ONLY_REPRESENTATION,false,false,false,,
V1PH_EMB_00003,CUR_00350,CUR_00350,CURITIBA,V1PG_ART_0511,6e02e3a7547be66f,768,e698d24f661e20c8,1.000000,-0.000639,0.036079,false,false,false,false,VALID_REVIEW_ONLY,REVIEW_ONLY_REPRESENTATION,false,false,false,,
V1PH_EMB_00004,CUR_00357,CUR_00357,CURITIBA,V1PG_ART_0511,6e02e3a7547be66f,768,1619547b684016b9,1.000000,-0.000363,0.036083,false,false,false,false,VALID_REVIEW_ONLY,REVIEW_ONLY_REPRESENTATION,false,false,false,,
V1PH_EMB_00005,PET_00104,PET_00104,PET,V1PG_ART_0511,6e02e3a7547be66f,768,0d7f6adf332b5765,1.000000,-0.000389,0.036082,false,false,false,false,VALID_REVIEW_ONLY,REVIEW_ONLY_REPRESENTATION,false,false,false,,
V1PH_EMB_00006,PET_00119,PET_00119,PET,V1PG_ART_0511,6e02e3a7547be66f,768,cada6ae566abc12e,1.000000,-0.000379,0.036082,false,false,false,false,VALID_REVIEW_ONLY,REVIEW_ONLY_REPRESENTATION,false,false,false,,
V1PH_EMB_00007,PET_00140,PET_00140,PET,V1PG_ART_0511,6e02e3a7547be66f,768,d046fa86ae4d901b,1.000000,-0.000084,0.036084,false,false,false,false,VALID_REVIEW_ONLY,REVIEW_ONLY_REPRESENTATION,false,false,false,,
V1PH_EMB_00008,PET_00240,PET_00240,PET,V1PG_ART_0511,6e02e3a7547be66f,768,5a6e176474c8bbe9,1.000000,-0.000042,0.036084,false,false,false,false,VALID_REVIEW_ONLY,REVIEW_ONLY_REPRESENTATION,false,false,false,,
V1PH_EMB_00009,REC_00183,REC_00183,RECIFE,V1PG_ART_0511,6e02e3a7547be66f,768,83edcddd21410aba,1.000000,-0.000251,0.036084,false,false,false,false,VALID_REVIEW_ONLY,REVIEW_ONLY_REPRESENTATION,false,false,false,,
V1PH_EMB_00010,REC_00204,REC_00204,RECIFE,V1PG_ART_0511,6e02e3a7547be66f,768,439b55ad474f9bdd,1.000000,-0.000521,0.036081,false,false,false,false,VALID_REVIEW_ONLY,REVIEW_ONLY_REPRESENTATION,false,false,false,,
V1PH_EMB_00011,REC_00205,REC_00205,RECIFE,V1PG_ART_0511,6e02e3a7547be66f,768,99f60f77fb81ed6c,1.000000,-0.000056,0.036084,false,false,false,false,VALID_REVIEW_ONLY,REVIEW_ONLY_REPRESENTATION,false,false,false,,
V1PH_EMB_00012,REC_00227,REC_00227,RECIFE,V1PG_ART_0511,6e02e3a7547be66f,768,04b4bd7c35c8bbf1,1.000000,-0.000656,0.036078,false,false,false,false,VALID_REVIEW_ONLY,REVIEW_ONLY_REPRESENTATION,false,false,false,,
V1PH_EMB_00013,CUR_00367,CUR_00367,CURITIBA,V1PG_ART_0511,6e02e3a7547be66f,768,245177ec640804b5,1.000000,-0.000564,0.036080,false,false,false,false,VALID_REVIEW_ONLY,REVIEW_ONLY_REPRESENTATION,false,false,false,,
V1PH_EMB_00014,CUR_00402,CUR_00402,CURITIBA,V1PG_ART_0511,6e02e3a7547be66f,768,9de6004ca9d03854,1.000000,-0.000567,0.036080,false,false,false,false,VALID_REVIEW_ONLY,REVIEW_ONLY_REPRESENTATION,false,false,false,,
V1PH_EMB_00015,CUR_00409,CUR_00409,CURITIBA,V1PG_ART_0511,6e02e3a7547be66f,768,0f28a8aa7f6b1475,1.000000,-0.000269,0.036083,false,false,false,false,VALID_REVIEW_ONLY,REVIEW_ONLY_REPRESENTATION,false,false,false,,
V1PH_EMB_00016,CUR_00410,CUR_00410,CURITIBA,V1PG_ART_0511,6e02e3a7547be66f,768,93df31b41b06d0eb,1.000000,-0.000640,0.036079,false,false,false,false,VALID_REVIEW_ONLY,REVIEW_ONLY_REPRESENTATION,false,false,false,,
V1PH_EMB_00017,CUR_00413,CUR_00413,CURITIBA,V1PG_ART_0511,6e02e3a7547be66f,768,5d5236739014a0d4,1.000000,-0.000771,0.036076,false,false,false,false,VALID_REVIEW_ONLY,REVIEW_ONLY_REPRESENTATION,false,false,false,,
V1PH_EMB_00018,CUR_00416,CUR_00416,CURITIBA,V1PG_ART_0511,6e02e3a7547be66f,768,57d6084b312016c0,1.000000,-0.000325,0.036083,false,false,false,false,VALID_REVIEW_ONLY,REVIEW_ONLY_REPRESENTATION,false,false,false,,
