artifact_id,stage,filename,rows,header_present,role
V1PT_ART_001,v1pn,dino_patch_visual_asset_inventory_v1pn.csv,141,true,visual_asset_inventory
V1PT_ART_002,v1pn,dino_patch_visual_asset_inventory_summary_v1pn.csv,5,true,visual_asset_summary
V1PT_ART_003,v1po,dino_embedding_execution_queue_v1po.csv,0,true,execution_queue
V1PT_ART_004,v1po,dino_embedding_execution_queue_summary_v1po.csv,4,true,execution_queue_summary
V1PT_ART_005,v1pp,dino_backend_model_probe_v1pp.csv,9,true,backend_probe
V1PT_ART_006,v1pp,dino_backend_model_probe_summary_v1pp.csv,8,true,backend_probe_summary
V1PT_ART_007,v1pq,dino_controlled_smoke_embedding_results_v1pq.csv,0,true,smoke_results
V1PT_ART_008,v1pq,dino_controlled_smoke_embedding_failures_v1pq.csv,0,true,smoke_failures
V1PT_ART_009,v1pq,dino_controlled_smoke_embedding_summary_v1pq.csv,8,true,smoke_summary
V1PT_ART_010,v1pr,dino_smoke_embedding_feature_store_v1pr.csv,0,true,smoke_feature_store
V1PT_ART_011,v1pr,dino_smoke_embedding_feature_store_summary_v1pr.csv,6,true,smoke_store_summary
V1PT_ART_012,v1ps,dino_smoke_similarity_neighbors_v1ps.csv,0,true,smoke_neighbors
V1PT_ART_013,v1ps,dino_smoke_pca_projection_v1ps.csv,0,true,smoke_pca
V1PT_ART_014,v1ps,dino_smoke_cluster_exploratory_v1ps.csv,0,true,smoke_cluster
V1PT_ART_015,v1ps,dino_smoke_protocol_c_crosswalk_v1ps.csv,0,true,smoke_crosswalk
V1PT_ART_016,v1ps,dino_smoke_review_products_summary_v1ps.csv,7,true,smoke_review_summary
