asset_check_id,smoke_id,patch_id,region,relative_path,path_hash,local_path_hash,file_exists,file_sha256_short,file_size_bytes,ext,pixel_read_allowed,pixel_read_performed,image_width,image_height,image_channels,raster_bands,dtype,preprocessing_ready,status,blocked_reason,notes
V1QI_AS_00001,V1QH_SMK_00001,CUR_00038,CURITIBA,,e3b0c44298fc1c14,,false,,,,false,false,,,,,,false,ASSET_MISSING_FAIL_CLOSED,empty_relative_path,
V1QI_AS_00002,V1QH_SMK_00002,CUR_00249,CURITIBA,,e3b0c44298fc1c14,,false,,,,false,false,,,,,,false,ASSET_MISSING_FAIL_CLOSED,empty_relative_path,
V1QI_AS_00003,V1QH_SMK_00003,CUR_00350,CURITIBA,,e3b0c44298fc1c14,,false,,,,false,false,,,,,,false,ASSET_MISSING_FAIL_CLOSED,empty_relative_path,
V1QI_AS_00004,V1QH_SMK_00004,CUR_00357,CURITIBA,,e3b0c44298fc1c14,,false,,,,false,false,,,,,,false,ASSET_MISSING_FAIL_CLOSED,empty_relative_path,
V1QI_AS_00005,V1QH_SMK_00005,PET_00104,PET,,e3b0c44298fc1c14,,false,,,,false,false,,,,,,false,ASSET_MISSING_FAIL_CLOSED,empty_relative_path,
V1QI_AS_00006,V1QH_SMK_00006,PET_00119,PET,,e3b0c44298fc1c14,,false,,,,false,false,,,,,,false,ASSET_MISSING_FAIL_CLOSED,empty_relative_path,
V1QI_AS_00007,V1QH_SMK_00007,PET_00140,PET,,e3b0c44298fc1c14,,false,,,,false,false,,,,,,false,ASSET_MISSING_FAIL_CLOSED,empty_relative_path,
V1QI_AS_00008,V1QH_SMK_00008,PET_00240,PET,,e3b0c44298fc1c14,,false,,,,false,false,,,,,,false,ASSET_MISSING_FAIL_CLOSED,empty_relative_path,
V1QI_AS_00009,V1QH_SMK_00009,REC_00183,RECIFE,,e3b0c44298fc1c14,,false,,,,false,false,,,,,,false,ASSET_MISSING_FAIL_CLOSED,empty_relative_path,
V1QI_AS_00010,V1QH_SMK_00010,REC_00204,RECIFE,,e3b0c44298fc1c14,,false,,,,false,false,,,,,,false,ASSET_MISSING_FAIL_CLOSED,empty_relative_path,
V1QI_AS_00011,V1QH_SMK_00011,REC_00205,RECIFE,,e3b0c44298fc1c14,,false,,,,false,false,,,,,,false,ASSET_MISSING_FAIL_CLOSED,empty_relative_path,
V1QI_AS_00012,V1QH_SMK_00012,REC_00227,RECIFE,,e3b0c44298fc1c14,,false,,,,false,false,,,,,,false,ASSET_MISSING_FAIL_CLOSED,empty_relative_path,
V1QI_AS_00013,V1QH_SMK_00013,CUR_00367,CURITIBA,,e3b0c44298fc1c14,,false,,,,false,false,,,,,,false,ASSET_MISSING_FAIL_CLOSED,empty_relative_path,
V1QI_AS_00014,V1QH_SMK_00014,CUR_00402,CURITIBA,,e3b0c44298fc1c14,,false,,,,false,false,,,,,,false,ASSET_MISSING_FAIL_CLOSED,empty_relative_path,
V1QI_AS_00015,V1QH_SMK_00015,CUR_00409,CURITIBA,,e3b0c44298fc1c14,,false,,,,false,false,,,,,,false,ASSET_MISSING_FAIL_CLOSED,empty_relative_path,
V1QI_AS_00016,V1QH_SMK_00016,CUR_00410,CURITIBA,,e3b0c44298fc1c14,,false,,,,false,false,,,,,,false,ASSET_MISSING_FAIL_CLOSED,empty_relative_path,
