artifact_id,stage,filename,rows,header_present,role
V1QT_ART_001,v1qn,dino_local_root_environment_audit_v1qn.csv,4,true,root_env_audit
V1QT_ART_002,v1qn,dino_local_root_environment_summary_v1qn.csv,14,true,root_env_summary
V1QT_ART_003,v1qo,dino_smoke_asset_local_reconciliation_v1qo.csv,32,true,asset_reconciliation
V1QT_ART_004,v1qo,dino_smoke_asset_local_reconciliation_summary_v1qo.csv,9,true,asset_rec_summary
V1QT_ART_005,v1qp,dino_manifest_crosswalk_repair_suggestions_v1qp.csv,64,true,crosswalk_suggestions
V1QT_ART_006,v1qp,dino_manifest_crosswalk_repair_summary_v1qp.csv,10,true,crosswalk_summary
V1QT_ART_007,v1qq,revp_dino_local_execution_checklist_v1qq.csv,MISSING,false,execution_checklist
V1QT_ART_008,v1qr,dino_local_smoke_run_readiness_gate_v1qr.csv,8,true,readiness_gate
V1QT_ART_009,v1qr,dino_local_smoke_run_readiness_summary_v1qr.csv,6,true,readiness_summary
V1QT_ART_010,v1qs,dino_tcc_table_local_readiness_v1qs.csv,6,true,tcc_readiness
V1QT_ART_011,v1qs,dino_tcc_table_local_blockers_v1qs.csv,3,true,tcc_blockers
