queue_id,visual_asset_id,patch_id,alias,region,visual_type,queue_priority,queue_reason,linkage_confidence,manual_check_required,dino_allowed_use,can_create_label,can_train_model,target_created,execution_status,blocked_reason,notes
V1PW_Q_00001,V1PU_VA_00001,CUR_00038,CUR_00038,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
V1PW_Q_00002,V1PU_VA_00002,CUR_00249,CUR_00249,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
V1PW_Q_00003,V1PU_VA_00003,CUR_00350,CUR_00350,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
V1PW_Q_00004,V1PU_VA_00004,CUR_00357,CUR_00357,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
V1PW_Q_00005,V1PU_VA_00005,CUR_00367,CUR_00367,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
V1PW_Q_00006,V1PU_VA_00006,CUR_00402,CUR_00402,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
V1PW_Q_00007,V1PU_VA_00007,CUR_00409,CUR_00409,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
V1PW_Q_00008,V1PU_VA_00008,CUR_00410,CUR_00410,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
V1PW_Q_00009,V1PU_VA_00009,CUR_00413,CUR_00413,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
V1PW_Q_00010,V1PU_VA_00010,CUR_00416,CUR_00416,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
V1PW_Q_00011,V1PU_VA_00011,CUR_00445,CUR_00445,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
V1PW_Q_00012,V1PU_VA_00012,CUR_00446,CUR_00446,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
V1PW_Q_00013,V1PU_VA_00013,CUR_00597,CUR_00597,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
V1PW_Q_00014,V1PU_VA_00014,CUR_00661,CUR_00661,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
V1PW_Q_00015,V1PU_VA_00015,CUR_00662,CUR_00662,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
V1PW_Q_00016,V1PU_VA_00016,CUR_00695,CUR_00695,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
V1PW_Q_00017,V1PU_VA_00017,CUR_00728,CUR_00728,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
V1PW_Q_00018,V1PU_VA_00018,CUR_00740,CUR_00740,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
V1PW_Q_00019,V1PU_VA_00019,CUR_00887,CUR_00887,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
V1PW_Q_00020,V1PU_VA_00020,CUR_00888,CUR_00888,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
V1PW_Q_00021,V1PU_VA_00021,CUR_00889,CUR_00889,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
V1PW_Q_00022,V1PU_VA_00022,CUR_00895,CUR_00895,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
V1PW_Q_00023,V1PU_VA_00023,CUR_00899,CUR_00899,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
V1PW_Q_00024,V1PU_VA_00024,CUR_00924,CUR_00924,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
V1PW_Q_00025,V1PU_VA_00025,CUR_00930,CUR_00930,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
V1PW_Q_00026,V1PU_VA_00026,CUR_00934,CUR_00934,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
V1PW_Q_00027,V1PU_VA_00027,CUR_00936,CUR_00936,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
V1PW_Q_00028,V1PU_VA_00028,CUR_00960,CUR_00960,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
V1PW_Q_00029,V1PU_VA_00029,CUR_00969,CUR_00969,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
V1PW_Q_00030,V1PU_VA_00030,CUR_00977,CUR_00977,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
V1PW_Q_00031,V1PU_VA_00031,CUR_00992,CUR_00992,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
V1PW_Q_00032,V1PU_VA_00032,CUR_00995,CUR_00995,CURITIBA,SENTINEL_TIF_REFERENCE,2,sentinel_tif_reference,HIGH,false,REVIEW_ONLY_REPRESENTATION,false,false,false,PENDING,,
