readiness_id,patch_id,region,backend_status,dry_run_allowed,real_execution_allowed,readiness_status
V1QB_RD_00001,CUR_00038,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00002,CUR_00249,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00003,CUR_00350,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00004,CUR_00357,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00005,CUR_00367,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00006,CUR_00402,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00007,CUR_00409,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00008,CUR_00410,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00009,CUR_00413,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00010,CUR_00416,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00011,CUR_00445,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00012,CUR_00446,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00013,CUR_00597,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00014,CUR_00661,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00015,CUR_00662,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00016,CUR_00695,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00017,CUR_00728,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00018,CUR_00740,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00019,CUR_00887,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00020,CUR_00888,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00021,CUR_00889,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00022,CUR_00895,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00023,CUR_00899,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00024,CUR_00924,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00025,CUR_00930,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00026,CUR_00934,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00027,CUR_00936,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00028,CUR_00960,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00029,CUR_00969,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
