gate,status,detail,blocking_reason
patch_exists,PASS,patches_found=2/2,
bands_complete,PASS,"B02,B03,B04,B08,B11,B12",
valid_pixels,PASS,PRE_EVENT=1.000000;POST_EVENT_OR_SURVEY_WINDOW=1.000000,
nodata_ok,PASS,PRE_EVENT=0.000000;POST_EVENT_OR_SURVEY_WINDOW=0.000000,
nan_inf_ok,PASS,PRE_EVENT=OK;POST_EVENT_OR_SURVEY_WINDOW=OK,
band_ranges_ok,PASS,PRE_EVENT=OK/OK;POST_EVENT_OR_SURVEY_WINDOW=OK/OK,
cloud_local_assessed,WARN,PRE_EVENT=PRE_PATCH_CLOUD_RISK_HIGH;POST_EVENT_OR_SURVEY_WINDOW=NO_LOCAL_CLOUD_MASK,CLOUD_MASK_NOT_AVAILABLE
spectral_indices_computable,PASS,PRE_EVENT=OK;POST_EVENT_OR_SURVEY_WINDOW=OK,
pair_quality_status,PASS,PRE_PATCH_CLOUD_RISK_HIGH,
blocking_reason,WARN,PRE_PATCH_CLOUD_RISK_HIGH,PRE_PATCH_CLOUD_RISK_HIGH
