automated_review_id,case_id,reviewer_slot,reviewer_profile,external_source_sufficient_for_review_only,temporal_context_sufficient_for_review_only,spatial_context_sufficient_for_review_only,hydromet_context_useful,dino_role_correctly_limited,patch_linkage_sufficient_for_review_only,overclaim_risk,evidence_chain_completeness_score,review_only_confidence_score,recommended_review_only_status,required_next_action,automated_review,internal_review_automated_for_review_only,requires_external_observational_evidence_for_operational_claim,review_only,can_create_operational_label,can_train_model,target_created,ground_truth_operational,formal_negative,automatic_c3_promotion,c4_opened,dino_validates_event,hydromet_validates_event,hydromet_is_negative_evidence,absence_as_negative,notes
V1TP_A_1bca514b15,CASE_PET_C3E253E01A,A,conservative,false,true,false,true,true,false,MODERATE,0.50,0.33,AUTOMATED_REVIEW_NEEDS_SPATIAL_PRECISION,COLLECT_EXTERNAL_OBSERVATIONAL_SOURCE_FOR_OPERATIONAL_CLAIM,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,
V1TP_B_1bca514b15,CASE_PET_C3E253E01A,B,integrator,false,true,true,true,true,false,LOW,0.50,0.50,AUTOMATED_REVIEW_VALIDATED_FOR_REVIEW_ONLY_USE,COLLECT_EXTERNAL_OBSERVATIONAL_SOURCE_FOR_OPERATIONAL_CLAIM,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,
V1TP_A_2f976d3ac5,CASE_PET_A96F79E34C,A,conservative,false,true,false,true,true,false,MODERATE,0.50,0.33,AUTOMATED_REVIEW_NEEDS_SPATIAL_PRECISION,COLLECT_EXTERNAL_OBSERVATIONAL_SOURCE_FOR_OPERATIONAL_CLAIM,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,
V1TP_B_2f976d3ac5,CASE_PET_A96F79E34C,B,integrator,false,true,true,true,true,false,LOW,0.50,0.50,AUTOMATED_REVIEW_VALIDATED_FOR_REVIEW_ONLY_USE,COLLECT_EXTERNAL_OBSERVATIONAL_SOURCE_FOR_OPERATIONAL_CLAIM,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,
V1TP_A_5cbe8a21aa,CASE_PET_85AA83E768,A,conservative,false,true,false,true,true,false,MODERATE,0.50,0.33,AUTOMATED_REVIEW_NEEDS_SPATIAL_PRECISION,COLLECT_EXTERNAL_OBSERVATIONAL_SOURCE_FOR_OPERATIONAL_CLAIM,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,
V1TP_B_5cbe8a21aa,CASE_PET_85AA83E768,B,integrator,false,true,true,true,true,false,LOW,0.50,0.50,AUTOMATED_REVIEW_VALIDATED_FOR_REVIEW_ONLY_USE,COLLECT_EXTERNAL_OBSERVATIONAL_SOURCE_FOR_OPERATIONAL_CLAIM,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,
V1TP_A_3aa96544da,CASE_PET_3BB6F6D1E4,A,conservative,false,true,false,true,true,false,MODERATE,0.50,0.33,AUTOMATED_REVIEW_NEEDS_SPATIAL_PRECISION,COLLECT_EXTERNAL_OBSERVATIONAL_SOURCE_FOR_OPERATIONAL_CLAIM,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,
V1TP_B_3aa96544da,CASE_PET_3BB6F6D1E4,B,integrator,false,true,true,true,true,false,LOW,0.50,0.50,AUTOMATED_REVIEW_VALIDATED_FOR_REVIEW_ONLY_USE,COLLECT_EXTERNAL_OBSERVATIONAL_SOURCE_FOR_OPERATIONAL_CLAIM,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,
V1TP_A_2446d17f6b,CASE_PET_7BE58263D6,A,conservative,false,true,false,true,true,false,MODERATE,0.50,0.33,AUTOMATED_REVIEW_NEEDS_SPATIAL_PRECISION,COLLECT_EXTERNAL_OBSERVATIONAL_SOURCE_FOR_OPERATIONAL_CLAIM,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,
V1TP_B_2446d17f6b,CASE_PET_7BE58263D6,B,integrator,false,true,true,true,true,false,LOW,0.50,0.50,AUTOMATED_REVIEW_VALIDATED_FOR_REVIEW_ONLY_USE,COLLECT_EXTERNAL_OBSERVATIONAL_SOURCE_FOR_OPERATIONAL_CLAIM,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,
