station_id,station_code,station_name,uf,latitude,longitude,region_candidate,source_file,review_only,notes
V1SI_ST_a001,a001,VELOCIDADE HORARIA (m/s);,UF:;,789343.000000,925756.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a042,a042,VELOCIDADE HORARIA (m/s);,UF:;,59972221.000000,1311111.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a045,a045,VELOCIDADE HORARIA (m/s);,UF:;,596491.000000,625801.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a046,a046,VELOCIDADE HORARIA (m/s);,UF:;,93527777.000000,13749999.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a047,a047,VELOCIDADE HORARIA (m/s);,UF:;,12222.000000,557417.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a002,a002,VELOCIDADE HORARIA (m/s);,UF:;,642841.000000,220222.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a003,a003,VELOCIDADE HORARIA (m/s);,UF:;,745066.000000,101698.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a005,a005,VELOCIDADE HORARIA (m/s);,UF:;,309528.000000,117478.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a011,a011,VELOCIDADE HORARIA (m/s);,UF:;,969142.000000,633449.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a012,a012,VELOCIDADE HORARIA (m/s);,UF:;,26055555.000000,96694443.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a013,a013,VELOCIDADE HORARIA (m/s);,UF:;,902658.000000,245172.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a014,a014,VELOCIDADE HORARIA (m/s);,UF:;,93972221.000000,14138888.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a015,a015,VELOCIDADE HORARIA (m/s);,UF:;,97972221.000000,53999999.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a016,a016,VELOCIDADE HORARIA (m/s);,UF:;,923622.000000,717467.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a017,a017,VELOCIDADE HORARIA (m/s);,UF:;,8916666.000000,36638888.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a022,a022,VELOCIDADE HORARIA (m/s);,UF:;,22027777.000000,98999999.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a023,a023,VELOCIDADE HORARIA (m/s);,UF:;,96694443.000000,81749999.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a024,a024,VELOCIDADE HORARIA (m/s);,UF:;,13305554.000000,52333332.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a025,a025,VELOCIDADE HORARIA (m/s);,UF:;,785303.000000,964869.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a026,a026,VELOCIDADE HORARIA (m/s);,UF:;,45472222.000000,60111111.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a027,a027,VELOCIDADE HORARIA (m/s);,UF:;,962536.000000,42545.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a028,a028,VELOCIDADE HORARIA (m/s);,UF:;,42305554.000000,14888888.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a029,a029,VELOCIDADE HORARIA (m/s);,UF:;,33694444.000000,91472222.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a031,a031,VELOCIDADE HORARIA (m/s);,UF:;,82055554.000000,33583333.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a032,a032,VELOCIDADE HORARIA (m/s);,UF:;,253521.000000,890326.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a033,a033,VELOCIDADE HORARIA (m/s);,UF:;,30416666.000000,28416666.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
