discovery_id,region,source_name,source_family,hazard_type,evidence_need,suggested_query,candidate_url,domain,allowed_domain,auto_download_allowed,requires_manual_review,priority,blocks_c3,blocks_c4,review_only,blocked_reason,notes
V1SK_D000,RECIFE,CEMADEN,OFFICIAL_HYDROMETEOROLOGICAL,FLOOD,institutional_document,CEMADEN Recife alerta chuva inundacao pluviometria,https://www.gov.br/cemaden/pt-br,www.gov.br,true,false,true,P0,true,false,true,,
V1SK_D001,RECIFE,Defesa Civil PE,OFFICIAL_CIVIL_DEFENSE,FLOOD,institutional_document,Defesa Civil Recife alagamento ocorrencia boletim,,,NOT_CONFIGURED,false,true,P0,true,false,true,ENDPOINT_CONFIG_REQUIRED,
V1SK_D002,RECIFE,Diario Oficial PE,OFFICIAL_GOVERNMENT_PUBLICATION,FLOOD,institutional_document,Diario Oficial Pernambuco situacao de emergencia Recife,,,NOT_CONFIGURED,false,true,P0,true,false,true,ENDPOINT_CONFIG_REQUIRED,
V1SK_D003,PET,SGB CPRM,OFFICIAL_GEOLOGICAL,LANDSLIDE,institutional_document,SGB CPRM Petropolis movimento de massa 2022 relatorio pos-desastre,https://rigeo.sgb.gov.br/,rigeo.sgb.gov.br,true,false,true,P0,true,false,true,,
V1SK_D004,PET,Defesa Civil RJ,OFFICIAL_CIVIL_DEFENSE,LANDSLIDE,institutional_document,Defesa Civil Petropolis deslizamento boletim ocorrencia,,,NOT_CONFIGURED,false,true,P0,true,false,true,ENDPOINT_CONFIG_REQUIRED,
V1SK_D005,PET,Diario Oficial RJ,OFFICIAL_GOVERNMENT_PUBLICATION,LANDSLIDE,institutional_document,Diario Oficial Rio de Janeiro situacao de emergencia Petropolis,,,NOT_CONFIGURED,false,true,P0,true,false,true,ENDPOINT_CONFIG_REQUIRED,
V1SK_D006,PET,CEMADEN,OFFICIAL_HYDROMETEOROLOGICAL,LANDSLIDE,institutional_document,CEMADEN Petropolis alerta chuva deslizamento,https://www.gov.br/cemaden/pt-br,www.gov.br,true,false,true,P0,true,false,true,,
V1SK_D007,CURITIBA,Defesa Civil PR,OFFICIAL_CIVIL_DEFENSE,FLOOD,institutional_document,Defesa Civil Curitiba inundacao alagamento boletim,,,NOT_CONFIGURED,false,true,P1,true,false,true,ENDPOINT_CONFIG_REQUIRED,
V1SK_D008,CURITIBA,CEMADEN,OFFICIAL_HYDROMETEOROLOGICAL,FLOOD,institutional_document,CEMADEN Curitiba alerta chuva risco hidrologico,https://www.gov.br/cemaden/pt-br,www.gov.br,true,false,true,P1,true,false,true,,
V1SK_D009,CURITIBA,Diario Oficial PR,OFFICIAL_GOVERNMENT_PUBLICATION,FLOOD,institutional_document,Diario Oficial Parana situacao de emergencia Curitiba,,,NOT_CONFIGURED,false,true,P1,true,false,true,ENDPOINT_CONFIG_REQUIRED,
