orchestrator_id,source_block,source_name,download_status,downloaded,file_size_bytes,requires_manual,review_only,notes
V1SL_O0000,v1sh_INMET,INMET,ALREADY_EXISTS_HASHED,false,103653055,false,true,
V1SL_O0001,v1sh_INMET,INMET,ALREADY_EXISTS_HASHED,false,80571564,false,true,
V1SL_O0002,v1sh_INMET,INMET,ALREADY_EXISTS_HASHED,false,90362801,false,true,
V1SL_O0003,v1sh_INMET,INMET,ALREADY_EXISTS_HASHED,false,107069252,false,true,
V1SL_O0004,v1sh_INMET,INMET,ALREADY_EXISTS_HASHED,false,102772199,false,true,
V1SL_O0005,v1sh_INMET,INMET,ALREADY_EXISTS_HASHED,false,90898634,false,true,
V1SL_O0006,v1sh_INMET,INMET,ALREADY_EXISTS_HASHED,false,30871036,false,true,
V1SL_O0007,v1sj_ANA,ANA HidroWeb,ANA_DOWNLOAD_DISABLED_QUEUE_ONLY,false,0,true,true,
V1SL_O0008,v1sj_ANA,ANA Telemetria,ANA_DOWNLOAD_DISABLED_QUEUE_ONLY,false,0,true,true,
V1SL_O0009,v1sj_ANA,ANA Telemetria,ANA_DOWNLOAD_DISABLED_QUEUE_ONLY,false,0,true,true,
V1SL_O0010,v1sj_ANA,ANA Telemetria,ANA_DOWNLOAD_DISABLED_QUEUE_ONLY,false,0,true,true,
V1SL_O0011,v1sk_INSTITUTIONAL,CEMADEN,MANUAL_QUEUE,false,0,true,true,
V1SL_O0012,v1sk_INSTITUTIONAL,Defesa Civil PE,MANUAL_QUEUE,false,0,true,true,
V1SL_O0013,v1sk_INSTITUTIONAL,Diario Oficial PE,MANUAL_QUEUE,false,0,true,true,
V1SL_O0014,v1sk_INSTITUTIONAL,SGB CPRM,MANUAL_QUEUE,false,0,true,true,
V1SL_O0015,v1sk_INSTITUTIONAL,Defesa Civil RJ,MANUAL_QUEUE,false,0,true,true,
V1SL_O0016,v1sk_INSTITUTIONAL,Diario Oficial RJ,MANUAL_QUEUE,false,0,true,true,
V1SL_O0017,v1sk_INSTITUTIONAL,CEMADEN,MANUAL_QUEUE,false,0,true,true,
V1SL_O0018,v1sk_INSTITUTIONAL,Defesa Civil PR,MANUAL_QUEUE,false,0,true,true,
V1SL_O0019,v1sk_INSTITUTIONAL,CEMADEN,MANUAL_QUEUE,false,0,true,true,
V1SL_O0020,v1sk_INSTITUTIONAL,Diario Oficial PR,MANUAL_QUEUE,false,0,true,true,
