feature_id,event_window_id,region,station_code,anchor_date,rain_1d,rain_3d,rain_7d,max_1d_in_window,station_count,nearest_station_distance_km,feature_status,review_only,does_not_validate_event,can_create_operational_label,can_train_model,target_created,ground_truth_operational,formal_negative,absence_as_negative,notes
V1SU_F5db3fbc4,V1SS_W0000,PET,A603,2022-02-19,20.6,75.2,96.0,48.00,9,14.25,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F03ef2547,V1SS_W0000,PET,A610,2022-02-19,4.2,47.0,51.2,22.00,9,12.58,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F6e6d8798,V1SS_W0000,PET,A618,2022-02-19,25.2,44.2,108.0,42.80,9,20.57,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F0e7f3773,V1SS_W0000,PET,A621,2022-02-19,0.0,0.0,1.0,1.00,9,46.26,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_Ff46997d3,V1SS_W0000,PET,A624,2022-02-19,10.8,59.8,96.8,49.00,9,54.84,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F58552c2f,V1SS_W0000,PET,A625,2022-02-19,0.0,0.0,0.0,0.00,9,45.42,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F7edb6cd4,V1SS_W0000,PET,A627,2022-02-19,1.6,8.6,9.0,4.00,9,40.96,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_Fd60e9407,V1SS_W0000,PET,A636,2022-02-19,5.0,109.6,110.2,104.20,9,53.53,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F157b512c,V1SS_W0000,PET,A652,2022-02-19,2.2,23.2,23.2,20.40,9,53.67,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_Fe867b9fb,V1SS_W0001,PET,A603,2022-02-20,1.4,28.6,97.4,48.00,9,14.25,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F3fe357b6,V1SS_W0001,PET,A610,2022-02-20,5.0,31.2,56.2,22.00,9,12.58,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F789f8ae0,V1SS_W0001,PET,A618,2022-02-20,7.8,40.6,115.6,32.60,9,20.57,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F37bf4668,V1SS_W0001,PET,A621,2022-02-20,0.4,0.4,1.0,13.60,9,46.26,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
