metric_key,metric_value,review_only,automated_review
cases_total,9,true,true
automated_reviewer_a_decisions,9,true,true
automated_reviewer_b_decisions,9,true,true
consensus_rows,0,true,true
divergence_rows,9,true,true
automated_supervisor_adjudication_rows,9,true,true
single_flow_rows,9,true,true
proof_validation_checks,9,true,true
guardrail_violations,0,true,true
cases_validated_for_review_only_use,9,true,true
cases_ready_for_tcc_discussion,9,true,true
automatic_c3_promotions,0,true,true
c4_opened_count,0,true,true
labels_created,0,true,true
targets_created,0,true,true
ground_truth_operational_created,0,true,true
formal_negatives_created,0,true,true
final_status,UNIFIED_AUTOMATED_REVIEW_READY_FOR_TCC_DISCUSSION,true,true
