manifest_id,source_id,event_id,url,expected_type,max_download_mb,local_raw_target,local_staging_target,download_allowed,reason,priority
MAN_v1ud_0000,INMET_BDMEP,PET_2022_02_15,https://portal.inmet.gov.br/dadoshistoricos,HTML,25,evidence_raw/v1ud/INMET_BDMEP/PET_2022_02_15,evidence_staging/v1ud/INMET_BDMEP/PET_2022_02_15,True,Resolved and approved for download,1
MAN_v1ud_0001,INMET_BDMEP,PET_2024_03_21_28,https://portal.inmet.gov.br/dadoshistoricos,HTML,25,evidence_raw/v1ud/INMET_BDMEP/PET_2024_03_21_28,evidence_staging/v1ud/INMET_BDMEP/PET_2024_03_21_28,True,Resolved and approved for download,1
MAN_v1ud_0002,INMET_BDMEP,REC_2022_05_24_30,https://portal.inmet.gov.br/dadoshistoricos,HTML,25,evidence_raw/v1ud/INMET_BDMEP/REC_2022_05_24_30,evidence_staging/v1ud/INMET_BDMEP/REC_2022_05_24_30,True,Resolved and approved for download,1
MAN_v1ud_0003,ANA_HIDROWEB,PET_2022_02_15,https://www.snirh.gov.br/hidroweb/apresentacao,HTML,25,evidence_raw/v1ud/ANA_HIDROWEB/PET_2022_02_15,evidence_staging/v1ud/ANA_HIDROWEB/PET_2022_02_15,True,Resolved and approved for download,1
MAN_v1ud_0004,ANA_HIDROWEB,PET_2022_02_15,https://www.snirh.gov.br/hidroweb/serieshistoricas,HTML,25,evidence_raw/v1ud/ANA_HIDROWEB/PET_2022_02_15,evidence_staging/v1ud/ANA_HIDROWEB/PET_2022_02_15,True,Resolved and approved for download,1
MAN_v1ud_0005,ANA_HIDROWEB,REC_2022_05_24_30,https://www.snirh.gov.br/hidroweb/apresentacao,HTML,25,evidence_raw/v1ud/ANA_HIDROWEB/REC_2022_05_24_30,evidence_staging/v1ud/ANA_HIDROWEB/REC_2022_05_24_30,True,Resolved and approved for download,1
MAN_v1ud_0006,ANA_HIDROWEB,REC_2022_05_24_30,https://www.snirh.gov.br/hidroweb/serieshistoricas,HTML,25,evidence_raw/v1ud/ANA_HIDROWEB/REC_2022_05_24_30,evidence_staging/v1ud/ANA_HIDROWEB/REC_2022_05_24_30,True,Resolved and approved for download,1
MAN_v1ud_0007,CEMADEN_PLUVIOMETROS,PET_2022_02_15,http://www2.cemaden.gov.br/mapainterativo/,HTML,10,evidence_raw/v1ud/CEMADEN_PLUVIOMETROS/PET_2022_02_15,evidence_staging/v1ud/CEMADEN_PLUVIOMETROS/PET_2022_02_15,False,Domain approved for metadata only,1
MAN_v1ud_0008,CEMADEN_PLUVIOMETROS,PET_2022_02_15,http://www.cemaden.gov.br/pluviometros-automaticos/,HTML,10,evidence_raw/v1ud/CEMADEN_PLUVIOMETROS/PET_2022_02_15,evidence_staging/v1ud/CEMADEN_PLUVIOMETROS/PET_2022_02_15,False,HTTP 404,1
MAN_v1ud_0009,CEMADEN_PLUVIOMETROS,REC_2022_05_24_30,http://www2.cemaden.gov.br/mapainterativo/,HTML,10,evidence_raw/v1ud/CEMADEN_PLUVIOMETROS/REC_2022_05_24_30,evidence_staging/v1ud/CEMADEN_PLUVIOMETROS/REC_2022_05_24_30,False,Domain approved for metadata only,1
