delta_id,evidence_id,source_id,event_id,v1uc_status,v1ud_status,gained_hash,gained_pdf_text,gained_geometry,gained_html_links,still_blocked,blocking_reason,can_create_ground_reference,notes
DEL_v1ud_0000,EXT_v1ud_0000,INMET_BDMEP,PET_2022_02_15,DRY_RUN,DOWNLOADED,true,false,false,true,true,G10_G11_always_fail_v1ud,false,
DEL_v1ud_0001,EXT_v1ud_0001,INMET_BDMEP,PET_2024_03_21_28,DRY_RUN,DOWNLOADED,true,false,false,true,true,G10_G11_always_fail_v1ud,false,
DEL_v1ud_0002,EXT_v1ud_0002,INMET_BDMEP,REC_2022_05_24_30,DRY_RUN,DOWNLOADED,true,false,false,true,true,G10_G11_always_fail_v1ud,false,
DEL_v1ud_0003,EXT_v1ud_0003,ANA_HIDROWEB,PET_2022_02_15,DRY_RUN,DOWNLOADED,true,false,false,false,true,G10_G11_always_fail_v1ud,false,
DEL_v1ud_0004,EXT_v1ud_0004,ANA_HIDROWEB,PET_2022_02_15,DRY_RUN,DOWNLOADED,true,false,false,false,true,G10_G11_always_fail_v1ud,false,
DEL_v1ud_0005,EXT_v1ud_0005,ANA_HIDROWEB,REC_2022_05_24_30,DRY_RUN,DOWNLOADED,true,false,false,false,true,G10_G11_always_fail_v1ud,false,
DEL_v1ud_0006,EXT_v1ud_0006,ANA_HIDROWEB,REC_2022_05_24_30,DRY_RUN,DOWNLOADED,true,false,false,false,true,G10_G11_always_fail_v1ud,false,
DEL_v1ud_0007,EXT_v1ud_0007,CEMADEN_PLUVIOMETROS,PET_2022_02_15,DRY_RUN,SKIPPED,false,false,false,false,true,SKIPPED,false,
DEL_v1ud_0008,EXT_v1ud_0008,CEMADEN_PLUVIOMETROS,PET_2022_02_15,DRY_RUN,SKIPPED,false,false,false,false,true,SKIPPED,false,
DEL_v1ud_0009,EXT_v1ud_0009,CEMADEN_PLUVIOMETROS,REC_2022_05_24_30,DRY_RUN,SKIPPED,false,false,false,false,true,SKIPPED,false,
DEL_v1ud_0010,EXT_v1ud_0010,SGB_CPRM_CARTOGRAFIA,PET_2022_02_15,DRY_RUN,SKIPPED,false,false,false,false,true,SKIPPED,false,
DEL_v1ud_0011,EXT_v1ud_0011,SGB_CPRM_CARTOGRAFIA,PET_2022_02_15,DRY_RUN,SKIPPED,false,false,false,false,true,SKIPPED,false,
DEL_v1ud_0012,EXT_v1ud_0012,SGB_CPRM_CARTOGRAFIA,PET_2022_02_15,DRY_RUN,SKIPPED,false,false,false,false,true,SKIPPED,false,
DEL_v1ud_0013,EXT_v1ud_0013,COPERNICUS_EMS,PET_2022_02_15,DRY_RUN,SKIPPED,false,false,false,false,true,SKIPPED,false,
DEL_v1ud_0014,EXT_v1ud_0014,COPERNICUS_EMS,REC_2022_05_24_30,DRY_RUN,SKIPPED,false,false,false,false,true,SKIPPED,false,
DEL_v1ud_0015,EXT_v1ud_0015,INTERNATIONAL_CHARTER,PET_2022_02_15,DRY_RUN,SKIPPED,false,false,false,false,true,SKIPPED,false,
DEL_v1ud_0016,EXT_v1ud_0016,MAXAR_OPEN_DATA,PET_2022_02_15,DRY_RUN,SKIPPED,false,false,false,false,true,SKIPPED,false,
DEL_v1ud_0017,EXT_v1ud_0017,PLANET_DISASTER_DATA,PET_2022_02_15,DRY_RUN,SKIPPED,false,false,false,false,true,SKIPPED,false,
DEL_v1ud_0018,EXT_v1ud_0018,EMDAT,PET_2022_02_15,DRY_RUN,SKIPPED,false,false,false,false,true,SKIPPED,false,
DEL_v1ud_0019,EXT_v1ud_0019,EMDAT,REC_2022_05_24_30,DRY_RUN,SKIPPED,false,false,false,false,true,SKIPPED,false,
