action_id,event_id,source_id,action_type,priority,description,target,estimated_effort,notes
ACT_v1ue_0000,PET_2022_02_15,INMET_BDMEP,DOWNLOAD_YEAR_SPECIFIC_INMET_SERIES,1,Baixar série anual INMET específica do ano do evento,https://portal.inmet.gov.br/uploads/dadoshistoricos/2022.zip,MEDIUM,
ACT_v1ue_0001,PET_2022_02_15,INMET_BDMEP,IDENTIFY_NEAREST_OFFICIAL_STATIONS,1,Resolver estações oficiais mais próximas (coordenada do catálogo),Petrópolis,MEDIUM,
ACT_v1ue_0002,PET_2022_02_15,ANA_HIDROWEB,REQUEST_ANA_STATION_SERIES,2,Solicitar/baixar série de estação fluviométrica ANA,Petrópolis,MEDIUM,
ACT_v1ue_0003,PET_2022_02_15,CEMADEN_PLUVIOMETROS,REQUEST_CEMADEN_EVENT_REPORT,2,Solicitar boletim/relatório Cemaden do evento,Petrópolis,MEDIUM,
ACT_v1ue_0004,PET_2022_02_15,SGB_CPRM_CARTOGRAFIA,REQUEST_SGB_FIELD_GEODATA,1,Solicitar geodata de campo SGB/CPRM (separar fenômeno),Petrópolis,MEDIUM,
ACT_v1ue_0005,PET_2022_02_15,DEFESA_CIVIL,REQUEST_DEFESA_CIVIL_OCCURRENCE_POINTS,1,Solicitar pontos de ocorrência georreferenciados à Defesa Civil,Petrópolis,MEDIUM,
ACT_v1ue_0006,PET_2022_02_15,COPERNICUS_EMS,SEARCH_COPERNICUS_EVENT_PRODUCT,2,Buscar produto Copernicus EMS específico do evento,Petrópolis,MEDIUM,
ACT_v1ue_0007,PET_2022_02_15,INTERNATIONAL_CHARTER,SEARCH_CHARTER_PRODUCT_NOT_QUICKVIEW,3,Buscar produto validado Charter (NAO quickview),Petrópolis,MEDIUM,
ACT_v1ue_0008,PET_2022_02_15,ALL,DO_NOT_PROMOTE,1,Evento misto sem separação de fenômeno — não promover,phenomenon_separation,LOW,
ACT_v1ue_0009,PET_2022_02_15,ALL,KEEP_CONTEXT_ONLY,2,Manter como contexto — classificação: BLOCKED_PHENOMENON_SEPARATION_REQUIRED,PET_2022_02_15,LOW,
ACT_v1ue_0010,PET_2024_03_21_28,INMET_BDMEP,DOWNLOAD_YEAR_SPECIFIC_INMET_SERIES,1,Baixar série anual INMET específica do ano do evento,https://portal.inmet.gov.br/uploads/dadoshistoricos/2024.zip,MEDIUM,
ACT_v1ue_0011,PET_2024_03_21_28,INMET_BDMEP,IDENTIFY_NEAREST_OFFICIAL_STATIONS,1,Resolver estações oficiais mais próximas (coordenada do catálogo),Petrópolis,MEDIUM,
ACT_v1ue_0012,PET_2024_03_21_28,DEFESA_CIVIL,REQUEST_DEFESA_CIVIL_OCCURRENCE_POINTS,1,Solicitar pontos de ocorrência georreferenciados à Defesa Civil,Petrópolis,MEDIUM,
ACT_v1ue_0013,PET_2024_03_21_28,ALL,DO_NOT_PROMOTE,1,Evento misto sem separação de fenômeno — não promover,phenomenon_separation,LOW,
ACT_v1ue_0014,PET_2024_03_21_28,ALL,KEEP_CONTEXT_ONLY,2,Manter como contexto — classificação: BLOCKED_PHENOMENON_SEPARATION_REQUIRED,PET_2024_03_21_28,LOW,
ACT_v1ue_0015,REC_2022_05_24_30,INMET_BDMEP,DOWNLOAD_YEAR_SPECIFIC_INMET_SERIES,1,Baixar série anual INMET específica do ano do evento,https://portal.inmet.gov.br/uploads/dadoshistoricos/2022.zip,MEDIUM,
ACT_v1ue_0016,REC_2022_05_24_30,INMET_BDMEP,IDENTIFY_NEAREST_OFFICIAL_STATIONS,1,Resolver estações oficiais mais próximas (coordenada do catálogo),Recife,MEDIUM,
ACT_v1ue_0017,REC_2022_05_24_30,DEFESA_CIVIL,REQUEST_DEFESA_CIVIL_OCCURRENCE_POINTS,1,Solicitar pontos de ocorrência georreferenciados à Defesa Civil,Recife,MEDIUM,
ACT_v1ue_0018,REC_2022_05_24_30,COPERNICUS_EMS,SEARCH_COPERNICUS_EVENT_PRODUCT,2,Buscar produto Copernicus EMS específico do evento,Recife,MEDIUM,
ACT_v1ue_0019,REC_2022_05_24_30,ALL,KEEP_CONTEXT_ONLY,2,Manter como contexto — classificação: BLOCKED_GEOMETRY_MISSING,REC_2022_05_24_30,LOW,
