ems_record_id,event_id,activation_id,activation_url,product_url,product_name,product_type,format_hint,is_vector_candidate,is_event_specific,download_allowed,blocking_reason,notes
EMS_v1uj_0000,,EMSR564,https://mapping.emergency.copernicus.eu/activations/EMSR564/,https://cems-mapping-website.s3.eu-west-1.amazonaws.com/static/activations/EMSR564/EMSR564_AOI01_DEL_PRODUCT_r1_RTP01_v1.pdf,,map_pdf,.pdf,false,false,true,,
EMS_v1uj_0001,,EMSR564,https://mapping.emergency.copernicus.eu/activations/EMSR564/,https://cems-mapping-website.s3.eu-west-1.amazonaws.com/static/activations/EMSR564/EMSR564_AOI01_DEL_PRODUCT_r1_RTP01_v1_vector.zip,,delineation,.zip,true,false,true,,
EMS_v1uj_0002,,EMSR564,https://mapping.emergency.copernicus.eu/activations/EMSR564/,https://cems-mapping-website.s3.eu-west-1.amazonaws.com/static/activations/EMSR564/EMSR564_AOI02_DEL_PRODUCT_r1_RTP01_v1.pdf,,map_pdf,.pdf,false,false,true,,
EMS_v1uj_0003,,EMSR564,https://mapping.emergency.copernicus.eu/activations/EMSR564/,https://cems-mapping-website.s3.eu-west-1.amazonaws.com/static/activations/EMSR564/EMSR564_AOI02_DEL_PRODUCT_r1_RTP01_v1_vector.zip,,delineation,.zip,true,false,true,,
EMS_v1uj_0004,,EMSR564,https://mapping.emergency.copernicus.eu/activations/EMSR564/,https://cems-mapping-website.s3.eu-west-1.amazonaws.com/static/activations/EMSR564/EMSR564_AOI03_DEL_PRODUCT_r1_RTP01_v1.pdf,,map_pdf,.pdf,false,false,true,,
EMS_v1uj_0005,,EMSR564,https://mapping.emergency.copernicus.eu/activations/EMSR564/,https://cems-mapping-website.s3.eu-west-1.amazonaws.com/static/activations/EMSR564/EMSR564_AOI03_DEL_PRODUCT_r1_RTP01_v1_vector.zip,,delineation,.zip,true,false,true,,
EMS_v1uj_0006,,EMSR564,https://mapping.emergency.copernicus.eu/activations/EMSR564/,https://cems-mapping-website.s3.eu-west-1.amazonaws.com/static/activations/EMSR564/EMSR564_AOI05_GRA_PRODUCT_r1_RTP01_v2.pdf,,map_pdf,.pdf,false,false,true,,
EMS_v1uj_0007,,EMSR564,https://mapping.emergency.copernicus.eu/activations/EMSR564/,https://cems-mapping-website.s3.eu-west-1.amazonaws.com/static/activations/EMSR564/EMSR564_AOI05_GRA_PRODUCT_r1_RTP01_v2_vector.zip,,grading,.zip,true,false,true,,
EMS_v1uj_0008,,EMSR564,https://mapping.emergency.copernicus.eu/activations/EMSR564/,https://cems-mapping-website.s3.eu-west-1.amazonaws.com/static/activations/EMSR564/EMSR564_AOI06_GRA_PRODUCT_r1_RTP01_v2.pdf,,map_pdf,.pdf,false,false,true,,
EMS_v1uj_0009,,EMSR564,https://mapping.emergency.copernicus.eu/activations/EMSR564/,https://cems-mapping-website.s3.eu-west-1.amazonaws.com/static/activations/EMSR564/EMSR564_AOI06_GRA_PRODUCT_r1_VECTORS_v1_vector.zip,,grading,.zip,true,false,true,,
