inventory_id,source_tag,event_id,container_type,internal_path,asset_type,extension,file_size_bytes,sha256,has_geometry,geometry_type,crs,feature_count,has_prj,columns_detected,date_term_detected,hazard_term_detected,locality_term_detected,susceptibility_term_detected,classification,inventory_status,notes
FINV_v1uj_0000,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__054f05a9-a113-47e0-a46f-720e4828eaf2__e8f21dd91edc__parques-e-pracas.geojson,geospatial_vector,.geojson,1106878,4029e3cb7dacee68c97f5bd3fbe534e9f71c3a44d0685a4c069074654b7f4abe,true,Polygon,,499,,,true,false,false,false,CONTEXTUAL_OFFICIAL_LAYER,INVENTORIED,
FINV_v1uj_0001,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__08275679-ce74-4aac-82d9-34a5fc823839__b5ae2c2ab926__relacao-das-entidades.csv,tabular,.csv,10324,a8c89fee09cd4231ad0a59cc103625f57cb9afa0cf2358421e9b306b35f298ca,false,,,,,"instituicao;""descricao"";""site"";""representante"";""telefone"";""email"";""endereco"";""latitude"";""longitude""",true,false,false,false,CONTEXTUAL_OFFICIAL_LAYER,INVENTORIED,
FINV_v1uj_0002,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__0f276561-43c2-4233-a539-cbfdd1b38d16__a9ab9b88b9e4__atendimentos-2023.csv,tabular,.csv,13777577,a51417a310b32e1bf8391746ae1d949f18de91b6029bd7ca5a8b838fb13cc029,false,,,,,"Regional;""Ano"";""Mês"";""Data"";""Ocorrencia"";""Solicitacao"";""Endereco"";""Bairro"";""Localidade"";""Grau_de_Risco"";""Data_da_Acao"";""Tipo_da_Acao"";""Quantidade"";""Altura"";""Largura"";""Area_m""",true,true,false,true,DOCUMENTED_OCCURRENCE_TABLE_NO_GEOMETRY,INVENTORIED,
FINV_v1uj_0003,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__10203dd4-9052-4a76-95eb-fd858aa053d4__1be67dfe38dc__atendimentos-2022.csv,tabular,.csv,14894862,2b6738c5e2f97f691eacc3ec564816c29a61c14f6d56f3c6f3dd3d8c732d222f,false,,,,,"Regional;""Ano"";""Mês"";""Data"";""Ocorrencia"";""Solicitacao"";""Endereco"";""Bairro"";""Localidade"";""Grau_de_Risco"";""Data_da_Acao"";""Tipo_da_Acao"";""Quantidade"";""Altura"";""Largura"";""Area_m""",true,true,false,true,DOCUMENTED_OCCURRENCE_TABLE_NO_GEOMETRY,INVENTORIED,
FINV_v1uj_0004,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__1ba72563-ff6c-4704-9675-cff6cfc5e8b0__37cc9c81dd42__iluminacao-publica-do-recife-2023.csv,tabular,.csv,25284278,7307fce634ca7242eea3432c1d3738a04dd813e54b9ec382054167ed60d0b496,false,,,,,"ID PONTO;""SEQUENCIA"";""RPA"";""LOCALIZACA"";""ENDERECO"";""BARRAMENTO"";""LATITUDE"";""LONGITUDE"";""BAIRRO"";""MEDICAO"";""TIPO LUMIN"";""TIPO DE PO"";""TIPO LAMPA"";""QTDE"";""POTENCIA"";""PERDAS"";""TOTAL CARG"";""CONSUMO kW"";""POTENCIA_1"";""PERDAS_1"";""TOTAL CA_1"";""CONSUMO _1"";""ATUALIZAÇ""",true,false,true,false,CONTEXTUAL_OFFICIAL_LAYER,INVENTORIED,
FINV_v1uj_0005,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__1c6901ad-863b-4ee7-9cc1-4b0afb6c6458__06b15ef2ebb8__pesagem-de-residuos-2012.csv,tabular,.csv,24710980,9e16b405caec40ab11cded5331ab94b1cfe757877db7adac5b381bee20673a5f,false,,,,,"PES_ID;""LOCDESCARREGO_ID"";""LOCDESCARREGO_DESC"";""EMP_ID"";""EMP_NOME"";""ROTA_ID"";""TPVEICULO_DESC"";""PES_DATAINI"";""PES_HRINI"";""PES_PESOINI"";""PES_DATAFIM"";""PES_HRFIM"";""PES_PESOFIM"";""PES_PESOUTIL"";""COLETA_ID"";""COLETA_DESC"";""ESPECCOLETA_ID"";""ESPECCOLETA_DESC""",true,false,false,false,CONTEXTUAL_OFFICIAL_LAYER,INVENTORIED,
FINV_v1uj_0006,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__1c9feb5e-38ad-4235-b3d2-771964c59c46__fb45a63c0d9f__rotas-ciclaveis-do-recife-permanente.geojson,geospatial_vector,.geojson,507098,7c0e31dbd237bf34bc58f5d4ded96fc37fb673be93839dc4ebbadfe6bcdf6f2d,true,MultiLineString,urn:ogc:def:crs:OGC:1.3:CRS84,555,,,true,false,true,false,CONTEXTUAL_OFFICIAL_LAYER,INVENTORIED,
FINV_v1uj_0007,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__24adb60a-9fb2-4f55-b1d5-808729f5f28e__c78a4ebe5998__onde-descartar.csv,tabular,.csv,15750,1b6484a3af7e9d922558551f5880629f43db35885accf617a94fee504cba1bfd,false,,,,,"tiporesiduo;""nome"";""bairro"";""localizacao"";""endereco"";""complemento"";""observacao"";""latitude"";""longitude"";""residuo_construcao_civil"";""residuo_solido_organico "";""residuo_volumoso "";""residuo_reciclavel """,true,false,false,false,CONTEXTUAL_OFFICIAL_LAYER,INVENTORIED,
FINV_v1uj_0008,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__2a0dd9cf-86f4-4ceb-83c1-7e39ff239cb0__90e87ef8895a__roteiros-de-coleta-de-residuos.csv,tabular,.csv,382615,0abc13493fb22d5474e2dc2dcf162aed70d4aad7a38bc205171ed69c892b834a,false,,,,,"intervalo;""setor"";""endereco"";""turno"";""rota_setor"";""frequencia""",true,false,false,false,CONTEXTUAL_OFFICIAL_LAYER,INVENTORIED,
FINV_v1uj_0009,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__2f8f3a95-c8dc-41dd-b396-e586276fed5c__6f2e9f48a0f4__sedec-solicitacoes-tempo-real.csv,tabular,.csv,57240,38f27586cafd0abdbe8f26f889a37ff0efc1d15f9c13f108ec500759d5d9066c,false,,,,,"ano;""mes"";""processo_numero"";""solicitacao_data"";""solicitacao_hora"";""solicitacao_descricao"";""solicitacao_regional"";""solicitacao_bairro"";""solicitacao_localidade"";""solicitacao_endereco"";""solicitacao_roteiro"";""rpa_codigo"";""rpa_nome"";""solicitacao_microrregiao"";""solicitacao_plantao"";""processo_situacao"";""processo_tipo"";""processo_origem"";""processo_solicitacao""",true,true,false,false,DOCUMENTED_OCCURRENCE_TABLE_NO_GEOMETRY,INVENTORIED,
