deeplink_id,source_file,event_id,link_url,link_domain,domain_allowed,term_matches,has_geodata_term,is_pdf_link_candidate,text_extract_status,blocking_reason,notes
PDFL_v1uj_0000,NotaTecnica_BaciaParana_2021_Maio31.pdf,PET_2022_02_15,https://www.itaipu.gov.br/energia/bacia-do-rio-parana,www.itaipu.gov.br,false,,false,true,OK,domain_not_allowed,
PDFL_v1uj_0001,NotaTecnica_BaciaParana_2021_Maio31.pdf,PET_2022_02_15,https://psl.noaa.gov/data/gridded/data.gpcc.html,psl.noaa.gov,false,,false,true,OK,domain_not_allowed,
PDFL_v1uj_0002,Privacy_Statement_CEMS_16Jan2026.pdf,PET_2022_02_15,http://ec.europa.eu/dpo-register,ec.europa.eu,false,,false,true,OK,domain_not_allowed,
PDFL_v1uj_0003,padrao_de_servico_de_dados_da_prefeitura_da_cidade_de_recife.pdf,REC_2022_05_24_30,,,,,false,false,OK,no_links_or_terms,
PDFL_v1uj_0004,padroes_de_publicacao_dos_dados_no_portal_de_dados_abertos_do_recife.pdf,REC_2022_05_24_30,http://dados.recife.pe.gov.br,dados.recife.pe.gov.br,true,,false,true,OK,,
PDFL_v1uj_0005,padroes_de_publicacao_dos_dados_no_portal_de_dados_abertos_do_recife.pdf,REC_2022_05_24_30,http://transparencia.recife.pe.gov.br,transparencia.recife.pe.gov.br,true,,false,true,OK,,
PDFL_v1uj_0006,padroes_de_publicacao_dos_dados_no_portal_de_dados_abertos_do_recife.pdf,REC_2022_05_24_30,https://hubdedados.recife.pe.gov.br/,hubdedados.recife.pe.gov.br,true,,false,true,OK,,
PDFL_v1uj_0007,plano_de_dados_abertos_do_recife.pdf,REC_2022_05_24_30,http://dados.recife.pe.gov.br/,dados.recife.pe.gov.br,true,dados abertos,true,true,OK,,
PDFL_v1uj_0008,sistematica_de_atualizacao_de_dados_do_portal_de_dados_abertos_da_prefeitura_do_recife.pdf,REC_2022_05_24_30,http://dados.recife.pe.gov.br,dados.recife.pe.gov.br,true,geojson|dados abertos,true,true,OK,,
PDFL_v1uj_0009,sistematica_de_atualizacao_de_dados_do_portal_de_dados_abertos_da_prefeitura_do_recife.pdf,REC_2022_05_24_30,http://transparencia.recife.pe.gov.br,transparencia.recife.pe.gov.br,true,geojson|dados abertos,true,true,OK,,
PDFL_v1uj_0010,Cartilha-incendios-florestais.pdf,PET_2022_02_15,https://brasil.mapbiomas.org/2025/01/22/area-,brasil.mapbiomas.org,false,,false,true,OK,domain_not_allowed,
PDFL_v1uj_0011,Plano_de_Capacitacao_Continuada_20200901.pdf,PET_2022_02_15,https://emnumeros.escolavirtual.gov.br/,emnumeros.escolavirtual.gov.br,false,,false,true,OK,domain_not_allowed,
PDFL_v1uj_0012,Plano_de_Integridade_3a_edicao_FINAL.pdf,PET_2022_02_15,https://www.gov.br/dnocs/pt-br/acesso-a-informacao/governanca/gestao-da-integridade,www.gov.br,false,,false,true,OK,domain_not_allowed,
PDFL_v1uj_0013,Plano_de_Integridade_3a_edicao_FINAL.pdf,PET_2022_02_15,https://www.defesacivil.rj.gov.br/images/2023/03/137398_PLANO-INTEGRIDADE-SEDEC-CBMERJ-2021.pdf,www.defesacivil.rj.gov.br,true,,false,true,OK,,
PDFL_v1uj_0014,Plano_de_Integridade_3a_edicao_FINAL.pdf,PET_2022_02_15,https://www.defesacivil.rj.gov.br/images/2024/05/Plano-de-Integridade-2023-FINAL.pdf,www.defesacivil.rj.gov.br,true,,false,true,OK,,
PDFL_v1uj_0015,Plano_de_Integridade_3a_edicao_FINAL.pdf,PET_2022_02_15,https://defesacivil.rj.gov.br/index.php/defesa-civil/organograma-da-sedec,defesacivil.rj.gov.br,true,,false,true,OK,,
PDFL_v1uj_0016,Plano_de_Integridade_3a_edicao_FINAL.pdf,PET_2022_02_15,https://defesacivil.rj.gov.br/index.php/organograma-ci-2,defesacivil.rj.gov.br,true,,false,true,OK,,
PDFL_v1uj_0017,Plano_de_Integridade_3a_edicao_FINAL.pdf,PET_2022_02_15,https://www.gov.br/saude/pt-br/composicao/denasus/sna/funcao-da-auditoria-interna-governamental/tres-linhas-do-the-iia,www.gov.br,false,,false,true,OK,domain_not_allowed,
PDFL_v1uj_0018,Plano_de_Integridade_3a_edicao_FINAL.pdf,PET_2022_02_15,https://www.defesacivil.rj.gov.br/,www.defesacivil.rj.gov.br,true,,false,true,OK,,
PDFL_v1uj_0019,Plano_de_Integridade_3a_edicao_FINAL.pdf,PET_2022_02_15,https://www.defesacivil.rj.gov.br/images/2024/05/,www.defesacivil.rj.gov.br,true,,false,true,OK,,
PDFL_v1uj_0020,Plano_de_Integridade_3a_edicao_FINAL.pdf,PET_2022_02_15,https://www.gov.br/cgu/pt-br/,www.gov.br,false,,false,true,OK,domain_not_allowed,
PDFL_v1uj_0021,Plano_de_Integridade_3a_edicao_FINAL.pdf,PET_2022_02_15,https://www.theiia.org/globalassets/documents/resources/the-iias-three-lines-model-an-update-,www.theiia.org,false,,false,true,OK,domain_not_allowed,
PDFL_v1uj_0022,agenda.pdf,PET_2022_02_15,https://www.petropolis.rj.gov.br/turispetro,www.petropolis.rj.gov.br,true,,false,true,OK,,
PDFL_v1uj_0023,agenda.pdf,PET_2022_02_15,https://www.petropolis.rj.gov.br/turispetro/,www.petropolis.rj.gov.br,true,,false,true,OK,,
PDFL_v1uj_0024,calendario_eventos.pdf,PET_2022_02_15,,,,,false,false,OK,no_links_or_terms,
PDFL_v1uj_0025,cartilha_infantil.pdf,PET_2022_02_15,,,,,false,false,OK,no_links_or_terms,
PDFL_v1uj_0026,certificado-petropolis-ouro.pdf,PET_2022_02_15,,,,,false,false,OK,no_links_or_terms,
PDFL_v1uj_0027,PDF_Vacina_em_Casa.pdf,PET_2022_02_15,,,,,false,false,OK,no_links_or_terms,
PDFL_v1uj_0028,regulamento-ranking-corrida-de-rua.pdf,PET_2022_02_15,,,,,false,false,OK,no_links_or_terms,
PDFL_v1uj_0029,vacinacao_geral.pdf,PET_2022_02_15,,,,,false,false,OK,no_links_or_terms,
