coordinate_audit_id,event_id,asset_id,asset_type,coordinate_fields,rows_checked,rows_with_coordinates,rows_in_recife_range,crs_status,geometry_status,coordinate_classification,can_create_ground_reference,can_create_training_label,notes
COORD_v1uk_0000,REC_2022_05_24_30,054f05a9-a113-47e0-a46f-720e4828eaf2,geospatial_vector,,499,499,499,CRS_MISSING,GEOMETRY_PRESENT,INFRASTRUCTURE_CONTEXT,false,false,
COORD_v1uk_0001,REC_2022_05_24_30,08275679-ce74-4aac-82d9-34a5fc823839,tabular,latitude|longitude,23,21,20,not_applicable,not_applicable,INFRASTRUCTURE_CONTEXT,false,false,
COORD_v1uk_0002,REC_2022_05_24_30,0f276561-43c2-4233-a539-cbfdd1b38d16,tabular,,83164,0,0,not_applicable,not_applicable,NO_COORDINATES,false,false,
COORD_v1uk_0003,REC_2022_05_24_30,10203dd4-9052-4a76-95eb-fd858aa053d4,tabular,,90425,0,0,not_applicable,not_applicable,NO_COORDINATES,false,false,
COORD_v1uk_0004,REC_2022_05_24_30,1ba72563-ff6c-4704-9675-cff6cfc5e8b0,tabular,LATITUDE|LONGITUDE,107010,107010,107010,not_applicable,not_applicable,INFRASTRUCTURE_CONTEXT,false,false,
COORD_v1uk_0005,REC_2022_05_24_30,1c6901ad-863b-4ee7-9cc1-4b0afb6c6458,tabular,,113523,0,0,not_applicable,not_applicable,NO_COORDINATES,false,false,
COORD_v1uk_0006,REC_2022_05_24_30,1c9feb5e-38ad-4235-b3d2-771964c59c46,geospatial_vector,,555,555,555,CRS_PRESENT,GEOMETRY_PRESENT,INFRASTRUCTURE_CONTEXT,false,false,
COORD_v1uk_0007,REC_2022_05_24_30,24adb60a-9fb2-4f55-b1d5-808729f5f28e,tabular,latitude|longitude,79,79,79,not_applicable,not_applicable,INFRASTRUCTURE_CONTEXT,false,false,
COORD_v1uk_0008,REC_2022_05_24_30,2a0dd9cf-86f4-4ceb-83c1-7e39ff239cb0,tabular,,5046,0,0,not_applicable,not_applicable,NO_COORDINATES,false,false,
COORD_v1uk_0009,REC_2022_05_24_30,2f8f3a95-c8dc-41dd-b396-e586276fed5c,tabular,,173,0,0,not_applicable,not_applicable,NO_COORDINATES,false,false,
COORD_v1uk_0010,REC_2022_05_24_30,3362394d-0b60-4607-8f35-06421f7ce15b,tabular,,64855,0,0,not_applicable,not_applicable,NO_COORDINATES,false,false,
COORD_v1uk_0011,REC_2022_05_24_30,35566d21-a428-4595-89dc-eb405380b33e,tabular,latitude|longitude,17,17,17,not_applicable,not_applicable,INFRASTRUCTURE_CONTEXT,false,false,
COORD_v1uk_0012,REC_2022_05_24_30,40e0558f-dc49-4ec7-b5e6-5a791703ae34,tabular,,86325,0,0,not_applicable,not_applicable,NO_COORDINATES,false,false,
COORD_v1uk_0013,REC_2022_05_24_30,42b2d034-37fb-46ea-8996-e4e26e52de0c,geospatial_vector,,7,7,7,CRS_PRESENT,GEOMETRY_PRESENT,INFRASTRUCTURE_CONTEXT,false,false,
COORD_v1uk_0014,REC_2022_05_24_30,45d0acc9-6fe0-4c4f-bce4-568a571beb0f,tabular,,1228,0,0,not_applicable,not_applicable,NO_COORDINATES,false,false,
COORD_v1uk_0015,REC_2022_05_24_30,4998c7fd-3c17-409a-9757-de7903379c9c,tabular,,10,0,0,not_applicable,not_applicable,NO_COORDINATES,false,false,
COORD_v1uk_0016,REC_2022_05_24_30,4df5a2d2-507c-4ccf-8bdf-c7dc1f73fe59,tabular,,90425,0,0,not_applicable,not_applicable,NO_COORDINATES,false,false,
COORD_v1uk_0017,REC_2022_05_24_30,529e344f-85bf-4e66-9006-11812c45f65b,tabular,latitude|longitude,554,554,554,not_applicable,not_applicable,INFRASTRUCTURE_CONTEXT,false,false,
COORD_v1uk_0018,REC_2022_05_24_30,559ce500-deab-467d-862e-cf50332a9c26,tabular,,70122,0,0,not_applicable,not_applicable,NO_COORDINATES,false,false,
COORD_v1uk_0019,REC_2022_05_24_30,6084cef1-52ea-42c6-b535-5add65d82ae2,tabular,,391,0,0,not_applicable,not_applicable,NO_COORDINATES,false,false,
COORD_v1uk_0020,REC_2022_05_24_30,63d0e1db-c07f-44a1-a8d2-9fd89fa75eb5,tabular,,119205,0,0,not_applicable,not_applicable,NO_COORDINATES,false,false,
COORD_v1uk_0021,REC_2022_05_24_30,63e420ef-fd85-4d07-a528-50a5b88c7edf,tabular,,83164,0,0,not_applicable,not_applicable,NO_COORDINATES,false,false,
COORD_v1uk_0022,REC_2022_05_24_30,64cc8ab3-bd69-4629-b145-74552fe31e1c,tabular,latitude|longitude,131,131,131,not_applicable,not_applicable,INFRASTRUCTURE_CONTEXT,false,false,
COORD_v1uk_0023,REC_2022_05_24_30,6b563ce1-e12c-4bc2-bacc-1a75b627c2d8,tabular,,40,0,0,not_applicable,not_applicable,NO_COORDINATES,false,false,
COORD_v1uk_0024,REC_2022_05_24_30,6d2e322b-70ce-424c-93fa-073b02ff4b17,tabular,,7,0,0,not_applicable,not_applicable,NO_COORDINATES,false,false,
