aggregation_id,event_id,normalized_locality_token,date,candidate_count,flood_strong_count,rain_impact_count,ambiguous_count,source_table_count,has_address_count,review_priority,can_support_contextual_review,can_support_overlay,can_create_ground_reference
AGG_v1um_000000,REC_2022_05_24_30,neighborhood_hash_01267ad8bfb5,2022-05-24,3,0,0,3,1,3,3,true,false,false
AGG_v1um_000001,REC_2022_05_24_30,neighborhood_hash_0384bff73f7c,2022-05-24,6,0,0,6,1,6,3,true,false,false
AGG_v1um_000002,REC_2022_05_24_30,neighborhood_hash_065be7c2ee1c,2022-05-24,30,0,0,30,1,30,3,true,false,false
AGG_v1um_000003,REC_2022_05_24_30,neighborhood_hash_065be7c2ee1c,2022-05-25,102,0,0,102,1,102,3,true,false,false
AGG_v1um_000004,REC_2022_05_24_30,neighborhood_hash_065be7c2ee1c,2022-05-26,63,0,0,63,1,63,3,true,false,false
AGG_v1um_000005,REC_2022_05_24_30,neighborhood_hash_065be7c2ee1c,2022-05-27,30,0,0,30,1,30,3,true,false,false
AGG_v1um_000006,REC_2022_05_24_30,neighborhood_hash_065be7c2ee1c,2022-05-28,69,0,0,69,1,69,3,true,false,false
AGG_v1um_000007,REC_2022_05_24_30,neighborhood_hash_065be7c2ee1c,2022-05-29,33,0,0,33,1,33,3,true,false,false
AGG_v1um_000008,REC_2022_05_24_30,neighborhood_hash_065be7c2ee1c,2022-05-30,42,0,0,42,1,42,3,true,false,false
AGG_v1um_000009,REC_2022_05_24_30,neighborhood_hash_0a09ec05ef8e,2022-05-30,3,0,0,3,1,3,3,true,false,false
AGG_v1um_000010,REC_2022_05_24_30,neighborhood_hash_261d2b2beb01,2022-05-24,6,0,0,6,1,6,3,true,false,false
AGG_v1um_000011,REC_2022_05_24_30,neighborhood_hash_261d2b2beb01,2022-05-25,15,0,0,15,1,15,3,true,false,false
AGG_v1um_000012,REC_2022_05_24_30,neighborhood_hash_261d2b2beb01,2022-05-26,6,0,0,6,1,6,3,true,false,false
AGG_v1um_000013,REC_2022_05_24_30,neighborhood_hash_261d2b2beb01,2022-05-27,36,0,0,36,1,36,3,true,false,false
AGG_v1um_000014,REC_2022_05_24_30,neighborhood_hash_261d2b2beb01,2022-05-28,15,0,0,15,1,15,3,true,false,false
AGG_v1um_000015,REC_2022_05_24_30,neighborhood_hash_261d2b2beb01,2022-05-29,36,0,3,33,1,36,2,true,false,false
