blocker_id,event_id,gate,gate_status,blocking_reason,ground_truth_operational,can_create_ground_reference,can_create_training_label,notes
BLOCK_v1uq_PET_2022_02_15_phenomenon_textual_separation,PET_2022_02_15,phenomenon_textual_separation,PASS_REVIEW_ONLY,,false,false,false,Ground reference remains blocked by design.
BLOCK_v1uq_PET_2022_02_15_documentary_temporal_link,PET_2022_02_15,documentary_temporal_link,PASS_REVIEW_ONLY,,false,false,false,Ground reference remains blocked by design.
BLOCK_v1uq_PET_2022_02_15_locality_text_link,PET_2022_02_15,locality_text_link,PASS_REVIEW_ONLY,,false,false,false,Ground reference remains blocked by design.
BLOCK_v1uq_PET_2022_02_15_observed_geometry,PET_2022_02_15,observed_geometry,BLOCKED,geometry_still_missing,false,false,false,Ground reference remains blocked by design.
BLOCK_v1uq_PET_2022_02_15_overlay_preflight,PET_2022_02_15,overlay_preflight,BLOCKED,overlay_forbidden_in_v1uq,false,false,false,Ground reference remains blocked by design.
BLOCK_v1uq_PET_2022_02_15_ground_reference,PET_2022_02_15,ground_reference,BLOCKED,ground_reference_forbidden_in_v1uq,false,false,false,Ground reference remains blocked by design.
BLOCK_v1uq_PET_2022_02_15_training_label,PET_2022_02_15,training_label,BLOCKED,training_label_forbidden_in_v1uq,false,false,false,Ground reference remains blocked by design.
BLOCK_v1uq_PET_2024_03_21_28_phenomenon_textual_separation,PET_2024_03_21_28,phenomenon_textual_separation,BLOCKED,phenomenon_separation_incomplete,false,false,false,Ground reference remains blocked by design.
BLOCK_v1uq_PET_2024_03_21_28_documentary_temporal_link,PET_2024_03_21_28,documentary_temporal_link,BLOCKED,temporal_link_missing_or_year_only,false,false,false,Ground reference remains blocked by design.
BLOCK_v1uq_PET_2024_03_21_28_locality_text_link,PET_2024_03_21_28,locality_text_link,BLOCKED,locality_link_missing,false,false,false,Ground reference remains blocked by design.
BLOCK_v1uq_PET_2024_03_21_28_observed_geometry,PET_2024_03_21_28,observed_geometry,BLOCKED,geometry_still_missing,false,false,false,Ground reference remains blocked by design.
BLOCK_v1uq_PET_2024_03_21_28_overlay_preflight,PET_2024_03_21_28,overlay_preflight,BLOCKED,overlay_forbidden_in_v1uq,false,false,false,Ground reference remains blocked by design.
BLOCK_v1uq_PET_2024_03_21_28_ground_reference,PET_2024_03_21_28,ground_reference,BLOCKED,ground_reference_forbidden_in_v1uq,false,false,false,Ground reference remains blocked by design.
BLOCK_v1uq_PET_2024_03_21_28_training_label,PET_2024_03_21_28,training_label,BLOCKED,training_label_forbidden_in_v1uq,false,false,false,Ground reference remains blocked by design.
