text_extract_id,event_id,asset_id,source_id,pdf_sha256,page_count,extraction_backend,extraction_status,extracted_text_local_hash,total_chars,pages_with_text,contains_flood_terms,contains_landslide_terms,contains_geodata_terms,contains_date_terms,can_create_ground_reference,can_create_training_label,notes
TEXT_v1uq_0000,PET_2022_02_15,PDF_DL_v1up_0000,SGB_RIGEO,45d1a9802c6485709bf39f0d8aafb9af1486529fe6463ab927ee54bcb4215b8f,9,pdfplumber,EXTRACTED,9b4e422e38c4014f8e1e7c8bfab592e20d4a7e620d442d012bccd7edce840e18,10142,9,true,true,false,true,false,false,Full extracted text stored only in local_only; public CSV stores hashes and counts.
TEXT_v1uq_0001,PET_2022_02_15,PDF_DL_v1up_0001_1fe7cdd36f,SGB_RIGEO,f3beaf8ccde5f0d41bc36be762686bf8f481a5caebd1bf4c1f970324f5eb688a,15,pdfplumber,EXTRACTED,0d1e18c9dc3023e1a8a67113b71e20324e7f3d758c3d82353d5e0f48aed0943a,7690,15,false,true,true,true,false,false,Full extracted text stored only in local_only; public CSV stores hashes and counts.
TEXT_v1uq_0002,PET_2022_02_15,PDF_DL_v1up_0001_dcc9967e59,SGB_RIGEO,d1c66fc1de519bb9a6e1243376cf1c426c73c2203ef674ba1d4094a5642d43c4,8,pdfplumber,EXTRACTED,acb734c71720f0c302e2ceef41fddb570894c896e7be624f47a722b48b953186,5016,8,false,true,true,true,false,false,Full extracted text stored only in local_only; public CSV stores hashes and counts.
TEXT_v1uq_0003,PET_2022_02_15,PDF_DL_v1up_0001_63660ab9ec,SGB_RIGEO,aba13b872d80cbdafe86ba83e270261aa951c5fde0d52c85651a1404a3b3e461,7,pdfplumber,EXTRACTED,5148b125309d551fcd38ca9c193601c2afeccb6d032cee0cc56c38152b41c4eb,4915,7,false,true,true,true,false,false,Full extracted text stored only in local_only; public CSV stores hashes and counts.
TEXT_v1uq_0004,PET_2022_02_15,PDF_DL_v1up_0001_aefba9d797,SGB_RIGEO,18240c96bfde6d3d7b778a85a55edb1891f22ab66bf99ab0d395a6a53f409ac4,8,pdfplumber,EXTRACTED,10fe9ba860f2dbc2bb374d3c5331e780519fde43f9788bb75f6d1c960464f0eb,4566,8,false,true,true,true,false,false,Full extracted text stored only in local_only; public CSV stores hashes and counts.
TEXT_v1uq_0005,PET_2022_02_15,PDF_DL_v1up_0001_4e1e333adc,SGB_RIGEO,6c0d3cd69e439a0dbb595a552747a39909b94c7c8cd63491b23d7c2811f72ffd,9,pdfplumber,EXTRACTED,d82fcfb17bdf38d4e4c83ff2b8532af9546d16878630e901e6fb7bda525fd55e,7634,9,true,true,true,false,false,false,Full extracted text stored only in local_only; public CSV stores hashes and counts.
TEXT_v1uq_0006,PET_2022_02_15,PDF_DL_v1up_0001_fb2367dba7,SGB_RIGEO,a497d8b0b424d64de6e3ac4ca9bd57aa88ae51056001526522e55c0d3c01d1b2,3,pdfplumber,EXTRACTED,fe92b6794322cc353b3c0d65a1ebfa8ea06b43d0c30bcc564fd66d1c5e23fb2d,2440,3,false,false,false,true,false,false,Full extracted text stored only in local_only; public CSV stores hashes and counts.
TEXT_v1uq_0007,PET_2022_02_15,PDF_DL_v1up_0001_65f39edf90,SGB_RIGEO,c5d98220c0e818adeb645d5aa8b3982c9734d29e1d3ea227d96fe4aecdcd8281,7,pdfplumber,EXTRACTED,a00f8fb09a4722cb9c34743edb074a08038af67a059f593844438411d470a007,3285,7,false,true,true,true,false,false,Full extracted text stored only in local_only; public CSV stores hashes and counts.
TEXT_v1uq_0008,PET_2022_02_15,PDF_DL_v1up_0001_ebcc954ffe,SGB_RIGEO,98a25c6012e7a2a3eacb0aefc6969da7ad12ac2226702bb015960f8f19f91a7a,11,pdfplumber,EXTRACTED,09a59d5028c1e23e50c4235c1707f22b680b8201cb2334fa19a9fad7d718ad70,8159,11,true,true,true,false,false,false,Full extracted text stored only in local_only; public CSV stores hashes and counts.
TEXT_v1uq_0009,PET_2022_02_15,PDF_DL_v1up_0001_fb01e4e9be,SGB_RIGEO,7e703c70d5bb172c7ab03472e0bfa0acccfb3fbab0afd310fa3372897c82d7a2,9,pdfplumber,EXTRACTED,3dd50e2dfe8c2cda95d6227a944ad03cda2f448ebb05c40975a15edef8a8a382,5868,9,true,true,true,false,false,false,Full extracted text stored only in local_only; public CSV stores hashes and counts.
TEXT_v1uq_0010,PET_2022_02_15,PDF_DL_v1up_0001_2687ad35e7,SGB_RIGEO,cf1ae4bdcdf6c183c5c9e37af13d26c396053a5c4b5b48b31871bfdffb0ae7dd,7,pdfplumber,EXTRACTED,8a24f3e6fb4c362d491b8bff7185261efbbac7ee59429bb2e5910bf82b87231d,3032,7,true,true,true,true,false,false,Full extracted text stored only in local_only; public CSV stores hashes and counts.
TEXT_v1uq_0011,PET_2022_02_15,PDF_DL_v1up_0001_4127f4445a,SGB_RIGEO,053fa4cbccac09a65739394f9c65c2849a69cce6f96b2921618f6f7910017559,6,pdfplumber,EXTRACTED,37c466d494f04d69edacbe3e2212f2216cfb2ac9fe1ed1b324aae27dbacd01a2,2794,6,false,true,true,true,false,false,Full extracted text stored only in local_only; public CSV stores hashes and counts.
