term_index_id,event_id,asset_id,page_number,phenomenon_class,matched_term_class,matched_terms_hash,term_count,evidence_strength,is_context_only,can_support_phenomenon_separation,notes
TERM_v1uq_00000,PET_2022_02_15,PDF_DL_v1up_0000,1,NO_PHENOMENON_SIGNAL,flood|landslide|risk|hydromet,,0,NONE,false,false,Terms hashed; no raw page text in versionable output.
TERM_v1uq_00001,PET_2022_02_15,PDF_DL_v1up_0000,2,NO_PHENOMENON_SIGNAL,flood|landslide|risk|hydromet,,0,NONE,false,false,Terms hashed; no raw page text in versionable output.
TERM_v1uq_00002,PET_2022_02_15,PDF_DL_v1up_0000,3,NO_PHENOMENON_SIGNAL,flood|landslide|risk|hydromet,,0,NONE,false,false,Terms hashed; no raw page text in versionable output.
TERM_v1uq_00003,PET_2022_02_15,PDF_DL_v1up_0000,4,NO_PHENOMENON_SIGNAL,flood|landslide|risk|hydromet,,0,NONE,false,false,Terms hashed; no raw page text in versionable output.
TERM_v1uq_00004,PET_2022_02_15,PDF_DL_v1up_0000,5,FLASH_FLOOD_OR_RUNOFF,flood|landslide|risk|hydromet,9f79834189de504d,13,STRONG,false,true,Terms hashed; no raw page text in versionable output.
TERM_v1uq_00005,PET_2022_02_15,PDF_DL_v1up_0000,6,MIXED_HYDRO_GEO,flood|landslide|risk|hydromet,c76c1771e7bd68d2,4,MODERATE,false,true,Terms hashed; no raw page text in versionable output.
TERM_v1uq_00006,PET_2022_02_15,PDF_DL_v1up_0000,7,NO_PHENOMENON_SIGNAL,flood|landslide|risk|hydromet,,0,NONE,false,false,Terms hashed; no raw page text in versionable output.
TERM_v1uq_00007,PET_2022_02_15,PDF_DL_v1up_0000,8,NO_PHENOMENON_SIGNAL,flood|landslide|risk|hydromet,,0,NONE,false,false,Terms hashed; no raw page text in versionable output.
TERM_v1uq_00008,PET_2022_02_15,PDF_DL_v1up_0000,9,NO_PHENOMENON_SIGNAL,flood|landslide|risk|hydromet,,0,NONE,false,false,Terms hashed; no raw page text in versionable output.
TERM_v1uq_00009,PET_2022_02_15,PDF_DL_v1up_0001_1fe7cdd36f,1,RISK_OR_SUSCEPTIBILITY_CONTEXT,flood|landslide|risk|hydromet,340a5762f036e9cb,1,WEAK,true,false,Terms hashed; no raw page text in versionable output.
