blocker_id,event_id,gate,gate_status,blocking_reason,ground_truth_operational,can_create_ground_reference,can_create_training_label,notes
BLOCK_v1ur_PET_2022_02_15_public_path_candidate,PET_2022_02_15,public_path_candidate,PASS_REVIEW_ONLY,,false,false,false,Ground reference remains blocked.
BLOCK_v1ur_PET_2022_02_15_downloaded_artifact,PET_2022_02_15,downloaded_artifact,PASS_REVIEW_ONLY,,false,false,false,Ground reference remains blocked.
BLOCK_v1ur_PET_2022_02_15_geodata_inventory,PET_2022_02_15,geodata_inventory,BLOCKED,geodata_inventory_missing,false,false,false,Ground reference remains blocked.
BLOCK_v1ur_PET_2022_02_15_observed_geometry,PET_2022_02_15,observed_geometry,BLOCKED,observed_geometry_not_confirmed,false,false,false,Ground reference remains blocked.
BLOCK_v1ur_PET_2022_02_15_overlay_preflight,PET_2022_02_15,overlay_preflight,BLOCKED,overlay_forbidden_in_v1ur,false,false,false,Ground reference remains blocked.
BLOCK_v1ur_PET_2022_02_15_ground_reference,PET_2022_02_15,ground_reference,BLOCKED,ground_reference_forbidden_in_v1ur,false,false,false,Ground reference remains blocked.
BLOCK_v1ur_PET_2022_02_15_training_label,PET_2022_02_15,training_label,BLOCKED,training_label_forbidden_in_v1ur,false,false,false,Ground reference remains blocked.
BLOCK_v1ur_PET_2024_03_21_28_public_path_candidate,PET_2024_03_21_28,public_path_candidate,BLOCKED,no_public_path_candidate,false,false,false,Ground reference remains blocked.
BLOCK_v1ur_PET_2024_03_21_28_downloaded_artifact,PET_2024_03_21_28,downloaded_artifact,BLOCKED,download_not_available_or_not_requested,false,false,false,Ground reference remains blocked.
BLOCK_v1ur_PET_2024_03_21_28_geodata_inventory,PET_2024_03_21_28,geodata_inventory,BLOCKED,geodata_inventory_missing,false,false,false,Ground reference remains blocked.
BLOCK_v1ur_PET_2024_03_21_28_observed_geometry,PET_2024_03_21_28,observed_geometry,BLOCKED,observed_geometry_not_confirmed,false,false,false,Ground reference remains blocked.
BLOCK_v1ur_PET_2024_03_21_28_overlay_preflight,PET_2024_03_21_28,overlay_preflight,BLOCKED,overlay_forbidden_in_v1ur,false,false,false,Ground reference remains blocked.
BLOCK_v1ur_PET_2024_03_21_28_ground_reference,PET_2024_03_21_28,ground_reference,BLOCKED,ground_reference_forbidden_in_v1ur,false,false,false,Ground reference remains blocked.
BLOCK_v1ur_PET_2024_03_21_28_training_label,PET_2024_03_21_28,training_label,BLOCKED,training_label_forbidden_in_v1ur,false,false,false,Ground reference remains blocked.
