dino_attachment_id,event_patch_candidate_id,event_id,patch_id,region,dino_registry,dino_review_support_status,dino_usage,can_create_training_label,notes
DINO_v1us_00000,EPC_v1us_00000,PET_2022_02_15,PET_00016,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00001,EPC_v1us_00001,PET_2022_02_15,PET_00104,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00002,EPC_v1us_00002,PET_2022_02_15,PET_00119,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00003,EPC_v1us_00003,PET_2022_02_15,PET_00140,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00004,EPC_v1us_00004,PET_2022_02_15,PET_00240,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00005,EPC_v1us_00005,PET_2022_02_15,PET_00257,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00006,EPC_v1us_00006,PET_2022_02_15,PET_00275,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00007,EPC_v1us_00007,PET_2022_02_15,PET_00291,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00008,EPC_v1us_00008,PET_2022_02_15,PET_00315,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00009,EPC_v1us_00009,PET_2022_02_15,PET_00360,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00010,EPC_v1us_00010,PET_2022_02_15,PET_00362,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00011,EPC_v1us_00011,PET_2022_02_15,PET_00396,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00012,EPC_v1us_00012,PET_2022_02_15,PET_00397,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00013,EPC_v1us_00013,PET_2022_02_15,PET_00404,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00014,EPC_v1us_00014,PET_2022_02_15,PET_00431,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00015,EPC_v1us_00015,PET_2022_02_15,PET_00467,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00016,EPC_v1us_00016,PET_2022_02_15,PET_00506,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00017,EPC_v1us_00017,PET_2022_02_15,PET_00507,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00018,EPC_v1us_00018,PET_2022_02_15,PET_00579,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00019,EPC_v1us_00019,PET_2022_02_15,PET_00614,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00020,EPC_v1us_00020,PET_2022_02_15,PET_00615,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00021,EPC_v1us_00021,PET_2022_02_15,PET_00617,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00022,EPC_v1us_00022,PET_2022_02_15,PET_00618,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00023,EPC_v1us_00023,PET_2022_02_15,PET_00641,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00024,EPC_v1us_00024,PET_2022_02_15,PET_00649,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00025,EPC_v1us_00025,PET_2022_02_15,PET_00652,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00026,EPC_v1us_00026,PET_2022_02_15,PET_00720,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00027,EPC_v1us_00027,PET_2022_02_15,PET_00756,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00028,EPC_v1us_00028,PET_2022_02_15,PET_00789,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00029,EPC_v1us_00029,PET_2022_02_15,PET_00823,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00030,EPC_v1us_00030,PET_2022_02_15,PET_00825,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00031,EPC_v1us_00031,PET_2022_02_15,PET_00829,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00032,EPC_v1us_00032,PET_2022_02_15,PET_00860,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00033,EPC_v1us_00033,PET_2022_02_15,PET_00863,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00034,EPC_v1us_00034,PET_2022_02_15,PET_00865,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00035,EPC_v1us_00035,PET_2022_02_15,PET_00916,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00036,EPC_v1us_00036,PET_2022_02_15,PET_00986,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00037,EPC_v1us_00037,PET_2022_02_15,PET_01307,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00038,EPC_v1us_00038,PET_2022_02_15,PET_01323,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00039,EPC_v1us_00039,PET_2022_02_15,PET_01349,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00040,EPC_v1us_00040,PET_2022_02_15,PET_01352,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00041,EPC_v1us_00041,PET_2022_02_15,PET_01386,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00042,EPC_v1us_00042,PET_2022_02_15,PET_01403,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00043,EPC_v1us_00043,PET_2022_02_15,PET_01458,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00044,EPC_v1us_00044,PET_2022_02_15,PET_01478,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00045,EPC_v1us_00045,PET_2022_02_15,PET_01483,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00046,EPC_v1us_00046,PET_2022_02_15,PET_01488,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00047,EPC_v1us_00047,PET_2022_02_15,PET_01495,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00048,EPC_v1us_00048,PET_2022_02_15,PET_02,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00049,EPC_v1us_00049,PET_2022_02_15,PET_03,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00050,EPC_v1us_00050,PET_2022_02_15,PET_06,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00051,EPC_v1us_00051,PET_2022_02_15,PET_07,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00052,EPC_v1us_00052,PET_2022_02_15,PET_08,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00053,EPC_v1us_00053,PET_2022_02_15,PET_09,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00054,EPC_v1us_00054,PET_2022_02_15,PET_18,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00055,EPC_v1us_00055,PET_2022_02_15,PET_20,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00056,EPC_v1us_00056,PET_2022_02_15,PET_25,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00057,EPC_v1us_00057,PET_2022_02_15,PET_26,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00058,EPC_v1us_00058,PET_2024_03_21_28,PET_00016,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00059,EPC_v1us_00059,PET_2024_03_21_28,PET_00104,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00060,EPC_v1us_00060,PET_2024_03_21_28,PET_00119,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00061,EPC_v1us_00061,PET_2024_03_21_28,PET_00140,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00062,EPC_v1us_00062,PET_2024_03_21_28,PET_00240,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00063,EPC_v1us_00063,PET_2024_03_21_28,PET_00257,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00064,EPC_v1us_00064,PET_2024_03_21_28,PET_00275,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00065,EPC_v1us_00065,PET_2024_03_21_28,PET_00291,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00066,EPC_v1us_00066,PET_2024_03_21_28,PET_00315,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00067,EPC_v1us_00067,PET_2024_03_21_28,PET_00360,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00068,EPC_v1us_00068,PET_2024_03_21_28,PET_00362,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00069,EPC_v1us_00069,PET_2024_03_21_28,PET_00396,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00070,EPC_v1us_00070,PET_2024_03_21_28,PET_00397,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00071,EPC_v1us_00071,PET_2024_03_21_28,PET_00404,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00072,EPC_v1us_00072,PET_2024_03_21_28,PET_00431,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00073,EPC_v1us_00073,PET_2024_03_21_28,PET_00467,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00074,EPC_v1us_00074,PET_2024_03_21_28,PET_00506,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
DINO_v1us_00075,EPC_v1us_00075,PET_2024_03_21_28,PET_00507,PET,dino_patch_visual_linkage_registry_v1pv.csv,DINO_REVIEW_SUPPORT_AVAILABLE,SUPPORT_ONLY,false,DINO is review-only structural support; never label or truth; no new extraction.
