context_asset_id,event_id,asset_id,source_id,asset_type,coordinate_rows,valid_recife_coordinate_rows,coordinate_role,context_layer_class,occurrence_role_status,event_window_status,hazard_join_status,can_support_contextual_review,can_support_overlay,can_create_ground_reference,can_create_training_label,notes
CTX_v1uu_00000,REC_2022_05_24_30,054f05a9-a113-47e0-a46f-720e4828eaf2,ckan,geospatial_vector,499,499,CONTEXTUAL_EQUIPMENT_OR_INFRASTRUCTURE_COORDINATE,EQUIPMENT_OR_FACILITY_POINTS,NOT_OCCURRENCE,NO_EVENT_WINDOW_DATE_JOIN,NO_HAZARD_JOIN,true,false,false,false,v1uu classification from v1ut metadata and hashed row audit; not an occurrence or truth promotion.
CTX_v1uu_00001,REC_2022_05_24_30,08275679-ce74-4aac-82d9-34a5fc823839,ckan,tabular,21,21,CONTEXTUAL_EQUIPMENT_OR_INFRASTRUCTURE_COORDINATE,EQUIPMENT_OR_FACILITY_POINTS,NOT_OCCURRENCE,NO_EVENT_WINDOW_DATE_JOIN,NO_HAZARD_JOIN,true,false,false,false,v1uu classification from v1ut metadata and hashed row audit; not an occurrence or truth promotion.
CTX_v1uu_00002,REC_2022_05_24_30,0f276561-43c2-4233-a539-cbfdd1b38d16,ckan,tabular,0,0,NO_COORDINATES,NOT_COORDINATE_RELEVANT,NO_COORDINATE_ROLE,NO_COORDINATE_WINDOW_EVIDENCE,NO_COORDINATE_HAZARD_JOIN,false,false,false,false,v1uu classification from v1ut metadata and hashed row audit; not an occurrence or truth promotion.
CTX_v1uu_00003,REC_2022_05_24_30,10203dd4-9052-4a76-95eb-fd858aa053d4,ckan,tabular,0,0,NO_COORDINATES,NOT_COORDINATE_RELEVANT,NO_COORDINATE_ROLE,NO_COORDINATE_WINDOW_EVIDENCE,NO_COORDINATE_HAZARD_JOIN,false,false,false,false,v1uu classification from v1ut metadata and hashed row audit; not an occurrence or truth promotion.
CTX_v1uu_00004,REC_2022_05_24_30,1ba72563-ff6c-4704-9675-cff6cfc5e8b0,ckan,tabular,107010,107010,ADMIN_REGION_GEOMETRY,ADMINISTRATIVE_OR_REGION_GEOMETRY,NOT_OCCURRENCE,NO_EVENT_WINDOW_DATE_JOIN,NO_HAZARD_JOIN,true,false,false,false,v1uu classification from v1ut metadata and hashed row audit; not an occurrence or truth promotion.
CTX_v1uu_00005,REC_2022_05_24_30,1c6901ad-863b-4ee7-9cc1-4b0afb6c6458,ckan,tabular,0,0,NO_COORDINATES,NOT_COORDINATE_RELEVANT,NO_COORDINATE_ROLE,NO_COORDINATE_WINDOW_EVIDENCE,NO_COORDINATE_HAZARD_JOIN,false,false,false,false,v1uu classification from v1ut metadata and hashed row audit; not an occurrence or truth promotion.
CTX_v1uu_00006,REC_2022_05_24_30,1c9feb5e-38ad-4235-b3d2-771964c59c46,ckan,geospatial_vector,552,552,ADMIN_REGION_GEOMETRY,ADMINISTRATIVE_OR_REGION_GEOMETRY,NOT_OCCURRENCE,NO_EVENT_WINDOW_DATE_JOIN,NO_HAZARD_JOIN,true,false,false,false,v1uu classification from v1ut metadata and hashed row audit; not an occurrence or truth promotion.
CTX_v1uu_00007,REC_2022_05_24_30,24adb60a-9fb2-4f55-b1d5-808729f5f28e,ckan,tabular,79,79,ADMIN_REGION_GEOMETRY,ADMINISTRATIVE_OR_REGION_GEOMETRY,NOT_OCCURRENCE,NO_EVENT_WINDOW_DATE_JOIN,NO_HAZARD_JOIN,true,false,false,false,v1uu classification from v1ut metadata and hashed row audit; not an occurrence or truth promotion.
CTX_v1uu_00008,REC_2022_05_24_30,2a0dd9cf-86f4-4ceb-83c1-7e39ff239cb0,ckan,tabular,0,0,NO_COORDINATES,NOT_COORDINATE_RELEVANT,NO_COORDINATE_ROLE,NO_COORDINATE_WINDOW_EVIDENCE,NO_COORDINATE_HAZARD_JOIN,false,false,false,false,v1uu classification from v1ut metadata and hashed row audit; not an occurrence or truth promotion.
CTX_v1uu_00009,REC_2022_05_24_30,2f8f3a95-c8dc-41dd-b396-e586276fed5c,ckan,tabular,0,0,NO_COORDINATES,NOT_COORDINATE_RELEVANT,NO_COORDINATE_ROLE,NO_COORDINATE_WINDOW_EVIDENCE,NO_COORDINATE_HAZARD_JOIN,false,false,false,false,v1uu classification from v1ut metadata and hashed row audit; not an occurrence or truth promotion.
