artifact_id,artifact_path,artifact_type,protocol_version,sha256_prefix,file_size_bytes,is_versionable,reason
MAN_v1uu_0000,configs/protocolo_c/v1uu_recife_contextual_coordinate_policy.yaml,yaml,v1uu,4a04466e4ed1b21e,256,true,v1uu contextual coordinate metadata artifact; no raw private path.
MAN_v1uu_0001,configs/protocolo_c/v1uu_recife_administrative_geometry_policy.yaml,yaml,v1uu,c5f3c92e78f0395a,143,true,v1uu contextual coordinate metadata artifact; no raw private path.
MAN_v1uu_0002,configs/protocolo_c/v1uu_recife_equipment_infrastructure_policy.yaml,yaml,v1uu,68ffdc34a6dcb080,156,true,v1uu contextual coordinate metadata artifact; no raw private path.
MAN_v1uu_0003,configs/protocolo_c/v1uu_recife_non_occurrence_guard_policy.yaml,yaml,v1uu,ea0e66c476c1bf24,199,true,v1uu contextual coordinate metadata artifact; no raw private path.
MAN_v1uu_0004,configs/protocolo_c/v1uu_recife_context_attachment_policy.yaml,yaml,v1uu,d7a2113554af8b46,122,true,v1uu contextual coordinate metadata artifact; no raw private path.
MAN_v1uu_0005,configs/protocolo_c/v1uu_recife_next_action_policy.yaml,yaml,v1uu,8af1c16cc36bf4bc,320,true,v1uu contextual coordinate metadata artifact; no raw private path.
MAN_v1uu_0006,datasets/protocolo_c/v1uu_recife_contextual_coordinate_asset_classification.csv,csv,v1uu,2eb575cc7d35290d,21353,true,v1uu contextual coordinate metadata artifact; no raw private path.
MAN_v1uu_0007,datasets/protocolo_c/v1uu_recife_administrative_geometry_consolidation.csv,csv,v1uu,ae727241a1c37f40,4156,true,v1uu contextual coordinate metadata artifact; no raw private path.
MAN_v1uu_0008,datasets/protocolo_c/v1uu_recife_equipment_infrastructure_consolidation.csv,csv,v1uu,b1f8b249815bca5f,863,true,v1uu contextual coordinate metadata artifact; no raw private path.
MAN_v1uu_0009,datasets/protocolo_c/v1uu_recife_out_of_window_occurrence_coordinate_audit.csv,csv,v1uu,66efad6034b960c6,17482,true,v1uu contextual coordinate metadata artifact; no raw private path.
MAN_v1uu_0010,datasets/protocolo_c/v1uu_recife_contextual_layer_quality_audit.csv,csv,v1uu,6d82de518283681d,7595,true,v1uu contextual coordinate metadata artifact; no raw private path.
MAN_v1uu_0011,datasets/protocolo_c/v1uu_recife_non_occurrence_guard_registry.csv,csv,v1uu,cdf767af53825240,11155,true,v1uu contextual coordinate metadata artifact; no raw private path.
MAN_v1uu_0012,datasets/protocolo_c/v1uu_recife_event_patch_context_attachment.csv,csv,v1uu,8e13e3c0dfdc4665,19553,true,v1uu contextual coordinate metadata artifact; no raw private path.
MAN_v1uu_0013,datasets/protocolo_c/v1uu_recife_readiness_matrix_update.csv,csv,v1uu,cbf85c45d2b253d6,80433,true,v1uu contextual coordinate metadata artifact; no raw private path.
MAN_v1uu_0014,datasets/protocolo_c/v1uu_recife_ground_reference_blocker_matrix.csv,csv,v1uu,eac294572858b727,1053,true,v1uu contextual coordinate metadata artifact; no raw private path.
MAN_v1uu_0015,datasets/protocolo_c/v1uu_next_action_ranker.csv,csv,v1uu,c12c5e084fb5e2ae,1269,true,v1uu contextual coordinate metadata artifact; no raw private path.
MAN_v1uu_0016,datasets/protocolo_c/v1uu_next_actions_registry.csv,csv,v1uu,58b3740f7bd53d1e,334,true,v1uu contextual coordinate metadata artifact; no raw private path.
MAN_v1uu_0018,docs/metodologia_cientifica/protocolo_c_v1uu_recife_contextual_coordinate_layer_consolidation.md,md,v1uu,6df2716bb83edb37,950,true,v1uu contextual coordinate metadata artifact; no raw private path.
MAN_v1uu_0019,docs/metodologia_cientifica/protocolo_c_relatorio_v1uu_recife_contextual_coordinate_layer_consolidation.md,md,v1uu,96376621dcdb15f8,1157,true,v1uu contextual coordinate metadata artifact; no raw private path.
MAN_v1uu_0020,docs/metodologia_cientifica/protocolo_c_status_atual_v1uu.md,md,v1uu,3565692f7bd29a9a,362,true,v1uu contextual coordinate metadata artifact; no raw private path.
