layer_metadata_id,candidate_event_id,endpoint_probe_id,layer_name_hash,service_name_hash,geometry_type,spatial_reference,extent_hash,field_count,fields_hash,has_date_field,has_hazard_field,has_locality_field,has_coordinate_fields,metadata_class,ground_truth_operational,can_create_ground_reference,can_create_training_label,can_reopen_protocol_b,dino_usage,no_overlay_executed,no_coordinates_invented,patch_bound_truth,operational_validation,event_candidate_only,public_official_discovery,geocoding_executed,centroid_used,raw_data_versioned,notes
LM_v1uy_0000,CE_v1uv_0000,EP_v1uy_0000,84fe8f7f1c87eb481193cdb2,bb29cd84bb38285ed3bc4fbd,,,,1,84fe8f7f1c87eb481193cdb2,false,false,false,false,SPARSE_METADATA_ONLY,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,Layer metadata only; field names are hashed and no features are published.
LM_v1uy_0001,CE_v1uv_0000,EP_v1uy_0001,eaca4b30692888d0183a2b77,bb29cd84bb38285ed3bc4fbd,,,,1,eaca4b30692888d0183a2b77,false,false,false,false,SPARSE_METADATA_ONLY,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,Layer metadata only; field names are hashed and no features are published.
LM_v1uy_0002,CE_v1uv_0000,EP_v1uy_0002,b1e99a0597eb0439377d477f,8b39d610cbd3947c65e739f7,,,,1,b1e99a0597eb0439377d477f,false,false,false,true,SPARSE_METADATA_ONLY,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,Layer metadata only; field names are hashed and no features are published.
LM_v1uy_0003,CE_v1uv_0000,EP_v1uy_0003,adcec6d96a1ef0496577d80d,8b39d610cbd3947c65e739f7,,,,1,adcec6d96a1ef0496577d80d,false,false,false,true,SPARSE_METADATA_ONLY,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,Layer metadata only; field names are hashed and no features are published.
LM_v1uy_0004,CE_v1uv_0000,EP_v1uy_0004,583c1c88598fb5f16af342de,8b39d610cbd3947c65e739f7,,,,1,583c1c88598fb5f16af342de,false,false,false,true,CONTEXT_LAYER_METADATA,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,Layer metadata only; field names are hashed and no features are published.
LM_v1uy_0005,CE_v1uv_0000,EP_v1uy_0005,b1e99a0597eb0439377d477f,3d1b66d91cd66f2b07e79570,,,,1,b1e99a0597eb0439377d477f,false,false,false,true,SPARSE_METADATA_ONLY,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,Layer metadata only; field names are hashed and no features are published.
LM_v1uy_0006,CE_v1uv_0000,EP_v1uy_0006,adcec6d96a1ef0496577d80d,3d1b66d91cd66f2b07e79570,,,,1,adcec6d96a1ef0496577d80d,false,false,false,true,SPARSE_METADATA_ONLY,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,Layer metadata only; field names are hashed and no features are published.
LM_v1uy_0007,CE_v1uv_0000,EP_v1uy_0007,583c1c88598fb5f16af342de,3d1b66d91cd66f2b07e79570,,,,1,583c1c88598fb5f16af342de,false,false,false,true,CONTEXT_LAYER_METADATA,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,Layer metadata only; field names are hashed and no features are published.
LM_v1uy_0008,CE_v1uv_0000,EP_v1uy_0008,84aa379cfdfe4738fa15ffe8,ea7d05ce6086115e50045154,,,,0,e3b0c44298fc1c149afbf4c8,false,false,false,false,NO_METADATA_AVAILABLE,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,Layer metadata only; field names are hashed and no features are published.
LM_v1uy_0009,CE_v1uv_0000,EP_v1uy_0009,84aa379cfdfe4738fa15ffe8,ea7d05ce6086115e50045154,,,,0,e3b0c44298fc1c149afbf4c8,false,false,false,false,NO_METADATA_AVAILABLE,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,Layer metadata only; field names are hashed and no features are published.
LM_v1uy_0010,CE_v1uv_0000,EP_v1uy_0010,84aa379cfdfe4738fa15ffe8,ea7d05ce6086115e50045154,,,,0,e3b0c44298fc1c149afbf4c8,false,false,false,false,NO_METADATA_AVAILABLE,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,Layer metadata only; field names are hashed and no features are published.
LM_v1uy_0011,CE_v1uv_0000,EP_v1uy_0011,84aa379cfdfe4738fa15ffe8,ea7d05ce6086115e50045154,,,,0,e3b0c44298fc1c149afbf4c8,false,false,false,false,NO_METADATA_AVAILABLE,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,Layer metadata only; field names are hashed and no features are published.
