blocker_norm_id,event_patch_candidate_id,patch_id,blocker,present,source_versions,normalized_blocker_set,notes
BN_v2ac_000000,EPC_v1us_00000,PET_00016,no_observed_geometry,false,v1us|v1uz|v2aa|v2ab,unlinkable_sentinel_date|no_explicit_anchor_crosswalk|no_overlay|no_ground_reference|no_training_label|patch_truth_forbidden,Blockers are consolidated and never removed; absent canonical blockers are recorded as present=false.
BN_v2ac_000001,EPC_v1us_00000,PET_00016,no_occurrence_coordinates,false,v1us|v1uz|v2aa|v2ab,unlinkable_sentinel_date|no_explicit_anchor_crosswalk|no_overlay|no_ground_reference|no_training_label|patch_truth_forbidden,Blockers are consolidated and never removed; absent canonical blockers are recorded as present=false.
BN_v2ac_000002,EPC_v1us_00000,PET_00016,no_sentinel_date,false,v1us|v1uz|v2aa|v2ab,unlinkable_sentinel_date|no_explicit_anchor_crosswalk|no_overlay|no_ground_reference|no_training_label|patch_truth_forbidden,Blockers are consolidated and never removed; absent canonical blockers are recorded as present=false.
BN_v2ac_000003,EPC_v1us_00000,PET_00016,unlinkable_sentinel_date,true,v1us|v1uz|v2aa|v2ab,unlinkable_sentinel_date|no_explicit_anchor_crosswalk|no_overlay|no_ground_reference|no_training_label|patch_truth_forbidden,Blockers are consolidated and never removed; absent canonical blockers are recorded as present=false.
BN_v2ac_000004,EPC_v1us_00000,PET_00016,no_explicit_anchor_crosswalk,true,v1us|v1uz|v2aa|v2ab,unlinkable_sentinel_date|no_explicit_anchor_crosswalk|no_overlay|no_ground_reference|no_training_label|patch_truth_forbidden,Blockers are consolidated and never removed; absent canonical blockers are recorded as present=false.
BN_v2ac_000005,EPC_v1us_00000,PET_00016,no_overlay,true,v1us|v1uz|v2aa|v2ab,unlinkable_sentinel_date|no_explicit_anchor_crosswalk|no_overlay|no_ground_reference|no_training_label|patch_truth_forbidden,Blockers are consolidated and never removed; absent canonical blockers are recorded as present=false.
BN_v2ac_000006,EPC_v1us_00000,PET_00016,no_ground_reference,true,v1us|v1uz|v2aa|v2ab,unlinkable_sentinel_date|no_explicit_anchor_crosswalk|no_overlay|no_ground_reference|no_training_label|patch_truth_forbidden,Blockers are consolidated and never removed; absent canonical blockers are recorded as present=false.
BN_v2ac_000007,EPC_v1us_00000,PET_00016,no_training_label,true,v1us|v1uz|v2aa|v2ab,unlinkable_sentinel_date|no_explicit_anchor_crosswalk|no_overlay|no_ground_reference|no_training_label|patch_truth_forbidden,Blockers are consolidated and never removed; absent canonical blockers are recorded as present=false.
BN_v2ac_000008,EPC_v1us_00000,PET_00016,patch_truth_forbidden,true,v1us|v1uz|v2aa|v2ab,unlinkable_sentinel_date|no_explicit_anchor_crosswalk|no_overlay|no_ground_reference|no_training_label|patch_truth_forbidden,Blockers are consolidated and never removed; absent canonical blockers are recorded as present=false.
BN_v2ac_000009,EPC_v1us_00001,PET_00104,no_observed_geometry,false,v1us|v1uz|v2aa|v2ab,unlinkable_sentinel_date|no_explicit_anchor_crosswalk|no_overlay|no_ground_reference|no_training_label|patch_truth_forbidden,Blockers are consolidated and never removed; absent canonical blockers are recorded as present=false.
BN_v2ac_000010,EPC_v1us_00001,PET_00104,no_occurrence_coordinates,false,v1us|v1uz|v2aa|v2ab,unlinkable_sentinel_date|no_explicit_anchor_crosswalk|no_overlay|no_ground_reference|no_training_label|patch_truth_forbidden,Blockers are consolidated and never removed; absent canonical blockers are recorded as present=false.
BN_v2ac_000011,EPC_v1us_00001,PET_00104,no_sentinel_date,false,v1us|v1uz|v2aa|v2ab,unlinkable_sentinel_date|no_explicit_anchor_crosswalk|no_overlay|no_ground_reference|no_training_label|patch_truth_forbidden,Blockers are consolidated and never removed; absent canonical blockers are recorded as present=false.
BN_v2ac_000012,EPC_v1us_00001,PET_00104,unlinkable_sentinel_date,true,v1us|v1uz|v2aa|v2ab,unlinkable_sentinel_date|no_explicit_anchor_crosswalk|no_overlay|no_ground_reference|no_training_label|patch_truth_forbidden,Blockers are consolidated and never removed; absent canonical blockers are recorded as present=false.
BN_v2ac_000013,EPC_v1us_00001,PET_00104,no_explicit_anchor_crosswalk,true,v1us|v1uz|v2aa|v2ab,unlinkable_sentinel_date|no_explicit_anchor_crosswalk|no_overlay|no_ground_reference|no_training_label|patch_truth_forbidden,Blockers are consolidated and never removed; absent canonical blockers are recorded as present=false.
BN_v2ac_000014,EPC_v1us_00001,PET_00104,no_overlay,true,v1us|v1uz|v2aa|v2ab,unlinkable_sentinel_date|no_explicit_anchor_crosswalk|no_overlay|no_ground_reference|no_training_label|patch_truth_forbidden,Blockers are consolidated and never removed; absent canonical blockers are recorded as present=false.
BN_v2ac_000015,EPC_v1us_00001,PET_00104,no_ground_reference,true,v1us|v1uz|v2aa|v2ab,unlinkable_sentinel_date|no_explicit_anchor_crosswalk|no_overlay|no_ground_reference|no_training_label|patch_truth_forbidden,Blockers are consolidated and never removed; absent canonical blockers are recorded as present=false.
BN_v2ac_000016,EPC_v1us_00001,PET_00104,no_training_label,true,v1us|v1uz|v2aa|v2ab,unlinkable_sentinel_date|no_explicit_anchor_crosswalk|no_overlay|no_ground_reference|no_training_label|patch_truth_forbidden,Blockers are consolidated and never removed; absent canonical blockers are recorded as present=false.
