blocker_consolidation_id,blocker,blocker_class,scope,region,event_id,status,occurrences,ground_truth_operational,can_create_ground_reference,can_create_training_label,can_reopen_protocol_b,dino_usage,no_overlay_executed,no_coordinates_invented,patch_bound_truth,operational_validation,multiregion_registry_hardening_only,crosswalk_inferred,sentinel_date_inferred,raw_data_versioned,notes
BC_v2ae_0000,no_explicit_anchor_crosswalk,PACKAGE_BLOCKER,PACKAGE,ALL,,BLOCKED,172,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,Consolidated blocker; never removed; expected unless marked critical.
BC_v2ae_0001,no_ground_reference,CRITICAL_BLOCKER,GLOBAL,ALL,,BLOCKED,172,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,Consolidated blocker; never removed; expected unless marked critical.
BC_v2ae_0002,no_observed_geometry,CRITICAL_BLOCKER,GLOBAL,ALL,,BLOCKED,55,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,Consolidated blocker; never removed; expected unless marked critical.
BC_v2ae_0003,no_occurrence_coordinates,GLOBAL_BLOCKER,GLOBAL,ALL,,BLOCKED,55,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,Consolidated blocker; never removed; expected unless marked critical.
BC_v2ae_0004,no_overlay,GLOBAL_BLOCKER,GLOBAL,ALL,,BLOCKED,172,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,Consolidated blocker; never removed; expected unless marked critical.
BC_v2ae_0005,no_sentinel_date,PACKAGE_BLOCKER,PACKAGE,ALL,,BLOCKED,1,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,Consolidated blocker; never removed; expected unless marked critical.
BC_v2ae_0006,no_training_label,GLOBAL_BLOCKER,GLOBAL,ALL,,BLOCKED,172,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,Consolidated blocker; never removed; expected unless marked critical.
BC_v2ae_0007,patch_truth_forbidden,CRITICAL_BLOCKER,GLOBAL,ALL,,BLOCKED,172,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,Consolidated blocker; never removed; expected unless marked critical.
BC_v2ae_0008,unlinkable_sentinel_date,PACKAGE_BLOCKER,PACKAGE,ALL,,BLOCKED,171,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,Consolidated blocker; never removed; expected unless marked critical.
BC_v2ae_0009,locality_only,REGION_BLOCKER,REGION,REC,,BLOCKED,440,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,Region descriptor blocker from canonical closure.
BC_v2ae_0010,document_only,REGION_BLOCKER,REGION,PET,,BLOCKED,696,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,Region descriptor blocker from canonical closure.
BC_v2ae_0011,context_only,REGION_BLOCKER,REGION,CUR,,BLOCKED,6,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,Region descriptor blocker from canonical closure.
