input_id,artifact_path,source_version,artifact_type,required,expected_row_count,actual_row_count,sha256,existence_status,freshness_status,notes
IN_v2af_0000,datasets/protocolo_c/v2ae_canonical_region_registry.csv,v2ae,csv,true,3,3,b9370c5f42e862fd,PRESENT,FRESH_ENOUGH_FOR_QA,Relative repo path only; local_only never referenced.
IN_v2af_0001,datasets/protocolo_c/v2ae_canonical_event_registry.csv,v2ae,csv,true,4,4,1e08e9b134731a9e,PRESENT,FRESH_ENOUGH_FOR_QA,Relative repo path only; local_only never referenced.
IN_v2af_0002,datasets/protocolo_c/v2ae_canonical_event_patch_registry.csv,v2ae,csv,true,172,172,6371e97597f9e193,PRESENT,FRESH_ENOUGH_FOR_QA,Relative repo path only; local_only never referenced.
IN_v2af_0003,datasets/protocolo_c/v2ae_multiregion_blocker_consolidation.csv,v2ae,csv,true,,12,36a1e3839f59280f,PRESENT,FRESH_ENOUGH_FOR_QA,Relative repo path only; local_only never referenced.
IN_v2af_0004,datasets/protocolo_c/v2ae_multiregion_readiness_consolidation.csv,v2ae,csv,true,,730,6e01a513bb5eb17b,PRESENT,FRESH_ENOUGH_FOR_QA,Relative repo path only; local_only never referenced.
IN_v2af_0005,datasets/protocolo_c/v2ae_region_reopen_condition_registry.csv,v2ae,csv,true,3,3,5569ba99c95cb2db,PRESENT,FRESH_ENOUGH_FOR_QA,Relative repo path only; local_only never referenced.
IN_v2af_0006,datasets/protocolo_c/v2ae_safe_use_policy_registry.csv,v2ae,csv,true,,4,6449fbbbcd873c90,PRESENT,FRESH_ENOUGH_FOR_QA,Relative repo path only; local_only never referenced.
IN_v2af_0007,datasets/protocolo_c/v2ae_registry_consistency_qa.csv,v2ae,csv,true,,10,9f612ce9556798cb,PRESENT,FRESH_ENOUGH_FOR_QA,Relative repo path only; local_only never referenced.
IN_v2af_0008,datasets/protocolo_c/v2ae_next_programming_target_ranker.csv,v2ae,csv,false,,6,563d8b4717657469,PRESENT,FRESH_ENOUGH_FOR_QA,Relative repo path only; local_only never referenced.
IN_v2af_0009,datasets/protocolo_c/v2ad_package_contract_qa.csv,v2ad,csv,true,,1032,c9efc029f0008c66,PRESENT,FRESH_ENOUGH_FOR_QA,Relative repo path only; local_only never referenced.
IN_v2af_0010,datasets/protocolo_c/v2ad_namespace_crosswalk_qa.csv,v2ad,csv,true,,687,8770d10ff4b67dfa,PRESENT,FRESH_ENOUGH_FOR_QA,Relative repo path only; local_only never referenced.
IN_v2af_0011,datasets/protocolo_c/v2ad_temporal_safety_qa.csv,v2ad,csv,true,,345,6bd87d5840fe3bef,PRESENT,FRESH_ENOUGH_FOR_QA,Relative repo path only; local_only never referenced.
IN_v2af_0012,datasets/protocolo_c/v2ad_guardrail_qa.csv,v2ad,csv,true,,48,7b392dd37b9c1c88,PRESENT,FRESH_ENOUGH_FOR_QA,Relative repo path only; local_only never referenced.
IN_v2af_0013,datasets/protocolo_c/v2ad_readiness_consistency_qa.csv,v2ad,csv,true,,689,b9c17d6f4c451bb8,PRESENT,FRESH_ENOUGH_FOR_QA,Relative repo path only; local_only never referenced.
IN_v2af_0014,datasets/protocolo_c/v2ad_migration_integrity_qa.csv,v2ad,csv,true,,5,e25b99abdaa2eea7,PRESENT,FRESH_ENOUGH_FOR_QA,Relative repo path only; local_only never referenced.
IN_v2af_0015,datasets/protocolo_c/v2ad_negative_fixture_qa.csv,v2ad,csv,true,10,10,d2ebfb4559c85b91,PRESENT,FRESH_ENOUGH_FOR_QA,Relative repo path only; local_only never referenced.
IN_v2af_0016,datasets/protocolo_c/v2ad_qa_gate_summary.csv,v2ad,csv,true,,8,cfcd1a9ce95d592b,PRESENT,FRESH_ENOUGH_FOR_QA,Relative repo path only; local_only never referenced.
IN_v2af_0017,datasets/protocolo_c/v2ac_event_patch_v2_package_registry.csv,v2ac,csv,true,172,172,eeb33315d0765f78,PRESENT,FRESH_ENOUGH_FOR_QA,Relative repo path only; local_only never referenced.
IN_v2af_0018,datasets/protocolo_c/v2ac_v2_readiness_matrix.csv,v2ac,csv,true,2580,2580,c48ff98fa93b537d,PRESENT,FRESH_ENOUGH_FOR_QA,Relative repo path only; local_only never referenced.
IN_v2af_0019,datasets/protocolo_c/v2ac_schema_contract_validation.csv,v2ac,csv,true,172,172,57c9287599792ef2,PRESENT,FRESH_ENOUGH_FOR_QA,Relative repo path only; local_only never referenced.
IN_v2af_0020,datasets/protocolo_c/v2ac_migration_diff_audit.csv,v2ac,csv,true,172,172,a3c00494afaec18f,PRESENT,FRESH_ENOUGH_FOR_QA,Relative repo path only; local_only never referenced.
IN_v2af_0021,datasets/protocolo_c/v2ab_unlinkable_date_guard_registry.csv,v2ab,csv,false,,6,7f24d27c36c62c3e,PRESENT,FRESH_ENOUGH_FOR_QA,Relative repo path only; local_only never referenced.
IN_v2af_0022,datasets/protocolo_c/v2aa_multiregion_temporal_blocker_reduction.csv,v2aa,csv,false,,3,2b411a31a6075480,PRESENT,FRESH_ENOUGH_FOR_QA,Relative repo path only; local_only never referenced.
