evidence_strength_id,event_patch_candidate_id,crosswalk_or_candidate_id,evidence_class,evidence_strength_score,can_enable_date_linkability,can_update_package_v2,requires_future_migration,blocker,notes
ES_v2ag_000000,EPC_v1us_00000,XW_v2ag_000000,WEAK_AMBIGUOUS_CANDIDATE,35,false,false,false,DINO_CROSSWALK_NOT_SENTINEL_DATE_CROSSWALK,Evidence audited; package v2 update is forbidden in v2ag.
ES_v2ag_000001,EPC_v1us_00000,XW_v2ag_000001,WEAK_AMBIGUOUS_CANDIDATE,35,false,false,false,DINO_CROSSWALK_NOT_SENTINEL_DATE_CROSSWALK,Evidence audited; package v2 update is forbidden in v2ag.
ES_v2ag_000002,EPC_v1us_00001,XW_v2ag_000002,WEAK_AMBIGUOUS_CANDIDATE,35,false,false,false,DINO_CROSSWALK_NOT_SENTINEL_DATE_CROSSWALK,Evidence audited; package v2 update is forbidden in v2ag.
ES_v2ag_000003,EPC_v1us_00001,XW_v2ag_000003,WEAK_AMBIGUOUS_CANDIDATE,35,false,false,false,DINO_CROSSWALK_NOT_SENTINEL_DATE_CROSSWALK,Evidence audited; package v2 update is forbidden in v2ag.
ES_v2ag_000004,EPC_v1us_00002,XW_v2ag_000004,WEAK_AMBIGUOUS_CANDIDATE,35,false,false,false,DINO_CROSSWALK_NOT_SENTINEL_DATE_CROSSWALK,Evidence audited; package v2 update is forbidden in v2ag.
ES_v2ag_000005,EPC_v1us_00002,XW_v2ag_000005,WEAK_AMBIGUOUS_CANDIDATE,35,false,false,false,DINO_CROSSWALK_NOT_SENTINEL_DATE_CROSSWALK,Evidence audited; package v2 update is forbidden in v2ag.
ES_v2ag_000006,EPC_v1us_00003,XW_v2ag_000006,WEAK_AMBIGUOUS_CANDIDATE,35,false,false,false,DINO_CROSSWALK_NOT_SENTINEL_DATE_CROSSWALK,Evidence audited; package v2 update is forbidden in v2ag.
ES_v2ag_000007,EPC_v1us_00003,XW_v2ag_000007,WEAK_AMBIGUOUS_CANDIDATE,35,false,false,false,DINO_CROSSWALK_NOT_SENTINEL_DATE_CROSSWALK,Evidence audited; package v2 update is forbidden in v2ag.
ES_v2ag_000008,EPC_v1us_00004,XW_v2ag_000008,WEAK_AMBIGUOUS_CANDIDATE,35,false,false,false,DINO_CROSSWALK_NOT_SENTINEL_DATE_CROSSWALK,Evidence audited; package v2 update is forbidden in v2ag.
ES_v2ag_000009,EPC_v1us_00004,XW_v2ag_000009,WEAK_AMBIGUOUS_CANDIDATE,35,false,false,false,DINO_CROSSWALK_NOT_SENTINEL_DATE_CROSSWALK,Evidence audited; package v2 update is forbidden in v2ag.
