temporal_preview_id,event_patch_candidate_id,event_id,patch_id,preview_sentinel_date,preview_temporal_class,preview_status,applied_to_package,can_create_ground_reference,notes
TP_v2ag_000000,EPC_v1us_00000,PET_2022_02_15,PET_00016,,TEMPORAL_LINKAGE_BLOCKED,NO_TEMPORAL_UPDATE_AVAILABLE,false,false,Temporal impact preview only; no package field is updated.
TP_v2ag_000001,EPC_v1us_00001,PET_2022_02_15,PET_00104,,TEMPORAL_LINKAGE_BLOCKED,NO_TEMPORAL_UPDATE_AVAILABLE,false,false,Temporal impact preview only; no package field is updated.
TP_v2ag_000002,EPC_v1us_00002,PET_2022_02_15,PET_00119,,TEMPORAL_LINKAGE_BLOCKED,NO_TEMPORAL_UPDATE_AVAILABLE,false,false,Temporal impact preview only; no package field is updated.
TP_v2ag_000003,EPC_v1us_00003,PET_2022_02_15,PET_00140,,TEMPORAL_LINKAGE_BLOCKED,NO_TEMPORAL_UPDATE_AVAILABLE,false,false,Temporal impact preview only; no package field is updated.
TP_v2ag_000004,EPC_v1us_00004,PET_2022_02_15,PET_00240,,TEMPORAL_LINKAGE_BLOCKED,NO_TEMPORAL_UPDATE_AVAILABLE,false,false,Temporal impact preview only; no package field is updated.
TP_v2ag_000005,EPC_v1us_00005,PET_2022_02_15,PET_00257,,TEMPORAL_LINKAGE_BLOCKED,NO_TEMPORAL_UPDATE_AVAILABLE,false,false,Temporal impact preview only; no package field is updated.
TP_v2ag_000006,EPC_v1us_00006,PET_2022_02_15,PET_00275,,TEMPORAL_LINKAGE_BLOCKED,NO_TEMPORAL_UPDATE_AVAILABLE,false,false,Temporal impact preview only; no package field is updated.
TP_v2ag_000007,EPC_v1us_00007,PET_2022_02_15,PET_00291,,TEMPORAL_LINKAGE_BLOCKED,NO_TEMPORAL_UPDATE_AVAILABLE,false,false,Temporal impact preview only; no package field is updated.
TP_v2ag_000008,EPC_v1us_00008,PET_2022_02_15,PET_00315,,TEMPORAL_LINKAGE_BLOCKED,NO_TEMPORAL_UPDATE_AVAILABLE,false,false,Temporal impact preview only; no package field is updated.
TP_v2ag_000009,EPC_v1us_00009,PET_2022_02_15,PET_00360,,TEMPORAL_LINKAGE_BLOCKED,NO_TEMPORAL_UPDATE_AVAILABLE,false,false,Temporal impact preview only; no package field is updated.
TP_v2ag_000010,EPC_v1us_00010,PET_2022_02_15,PET_00362,,TEMPORAL_LINKAGE_BLOCKED,NO_TEMPORAL_UPDATE_AVAILABLE,false,false,Temporal impact preview only; no package field is updated.
TP_v2ag_000011,EPC_v1us_00011,PET_2022_02_15,PET_00396,,TEMPORAL_LINKAGE_BLOCKED,NO_TEMPORAL_UPDATE_AVAILABLE,false,false,Temporal impact preview only; no package field is updated.
TP_v2ag_000012,EPC_v1us_00012,PET_2022_02_15,PET_00397,,TEMPORAL_LINKAGE_BLOCKED,NO_TEMPORAL_UPDATE_AVAILABLE,false,false,Temporal impact preview only; no package field is updated.
