package_id,event_id,region,uncertainty_spatial,uncertainty_temporal,uncertainty_phenomenon,uncertainty_source,uncertainty_crosswalk,dominant_uncertainty,uncertainty_level,uncertainty_reason,effect_on_allowed_use
EPC_v1us_00000,PET_2022_02_15,PET,HIGH,UNRESOLVED,UNREVIEWED,UNRESOLVED,UNRESOLVED,spatial,HIGH_UNRESOLVED,no observed geometry|signature=a9bdcc7d31f11a33,review_only_no_automatic_resolution
EPC_v1us_00001,PET_2022_02_15,PET,HIGH,UNRESOLVED,UNREVIEWED,UNRESOLVED,UNRESOLVED,spatial,HIGH_UNRESOLVED,no observed geometry|signature=a9bdcc7d31f11a33,review_only_no_automatic_resolution
EPC_v1us_00002,PET_2022_02_15,PET,HIGH,UNRESOLVED,UNREVIEWED,UNRESOLVED,UNRESOLVED,spatial,HIGH_UNRESOLVED,no observed geometry|signature=a9bdcc7d31f11a33,review_only_no_automatic_resolution
EPC_v1us_00003,PET_2022_02_15,PET,HIGH,UNRESOLVED,UNREVIEWED,UNRESOLVED,UNRESOLVED,spatial,HIGH_UNRESOLVED,no observed geometry|signature=a9bdcc7d31f11a33,review_only_no_automatic_resolution
EPC_v1us_00004,PET_2022_02_15,PET,HIGH,UNRESOLVED,UNREVIEWED,UNRESOLVED,UNRESOLVED,spatial,HIGH_UNRESOLVED,no observed geometry|signature=a9bdcc7d31f11a33,review_only_no_automatic_resolution
EPC_v1us_00005,PET_2022_02_15,PET,HIGH,UNRESOLVED,UNREVIEWED,UNRESOLVED,UNRESOLVED,spatial,HIGH_UNRESOLVED,no observed geometry|signature=a9bdcc7d31f11a33,review_only_no_automatic_resolution
EPC_v1us_00006,PET_2022_02_15,PET,HIGH,UNRESOLVED,UNREVIEWED,UNRESOLVED,UNRESOLVED,spatial,HIGH_UNRESOLVED,no observed geometry|signature=a9bdcc7d31f11a33,review_only_no_automatic_resolution
EPC_v1us_00007,PET_2022_02_15,PET,HIGH,UNRESOLVED,UNREVIEWED,UNRESOLVED,UNRESOLVED,spatial,HIGH_UNRESOLVED,no observed geometry|signature=a9bdcc7d31f11a33,review_only_no_automatic_resolution
EPC_v1us_00008,PET_2022_02_15,PET,HIGH,UNRESOLVED,UNREVIEWED,UNRESOLVED,UNRESOLVED,spatial,HIGH_UNRESOLVED,no observed geometry|signature=a9bdcc7d31f11a33,review_only_no_automatic_resolution
EPC_v1us_00009,PET_2022_02_15,PET,HIGH,UNRESOLVED,UNREVIEWED,UNRESOLVED,UNRESOLVED,spatial,HIGH_UNRESOLVED,no observed geometry|signature=a9bdcc7d31f11a33,review_only_no_automatic_resolution
EPC_v1us_00010,PET_2022_02_15,PET,HIGH,UNRESOLVED,UNREVIEWED,UNRESOLVED,UNRESOLVED,spatial,HIGH_UNRESOLVED,no observed geometry|signature=a9bdcc7d31f11a33,review_only_no_automatic_resolution
EPC_v1us_00011,PET_2022_02_15,PET,HIGH,UNRESOLVED,UNREVIEWED,UNRESOLVED,UNRESOLVED,spatial,HIGH_UNRESOLVED,no observed geometry|signature=a9bdcc7d31f11a33,review_only_no_automatic_resolution
EPC_v1us_00012,PET_2022_02_15,PET,HIGH,UNRESOLVED,UNREVIEWED,UNRESOLVED,UNRESOLVED,spatial,HIGH_UNRESOLVED,no observed geometry|signature=a9bdcc7d31f11a33,review_only_no_automatic_resolution
EPC_v1us_00013,PET_2022_02_15,PET,HIGH,UNRESOLVED,UNREVIEWED,UNRESOLVED,UNRESOLVED,spatial,HIGH_UNRESOLVED,no observed geometry|signature=a9bdcc7d31f11a33,review_only_no_automatic_resolution
EPC_v1us_00014,PET_2022_02_15,PET,HIGH,UNRESOLVED,UNREVIEWED,UNRESOLVED,UNRESOLVED,spatial,HIGH_UNRESOLVED,no observed geometry|signature=a9bdcc7d31f11a33,review_only_no_automatic_resolution
EPC_v1us_00015,PET_2022_02_15,PET,HIGH,UNRESOLVED,UNREVIEWED,UNRESOLVED,UNRESOLVED,spatial,HIGH_UNRESOLVED,no observed geometry|signature=a9bdcc7d31f11a33,review_only_no_automatic_resolution
EPC_v1us_00016,PET_2022_02_15,PET,HIGH,UNRESOLVED,UNREVIEWED,UNRESOLVED,UNRESOLVED,spatial,HIGH_UNRESOLVED,no observed geometry|signature=a9bdcc7d31f11a33,review_only_no_automatic_resolution
