artifact_id,stage,artifact_type,path,exists,non_empty,sha256,row_count,column_count,schema_status,role_in_appendix,safe_use,forbidden_use
ART_v2am_0000,v2ah,dataset_csv,datasets/protocolo_c/v2ah_candidate_evidence_dossier_index.csv,true,true,c2c67150b0f3e7324b823e367660d0f44d7f829cbe36d62eb0473a939ad7ea1f,172,12,present_unverified,appendix_data_table,Use as read-only appendix evidence and traceability source.,"Do not use as ground truth, label, training, overlay or prediction."
ART_v2am_0001,v2ah,dataset_csv,datasets/protocolo_c/v2ah_candidate_reference_review_queue.csv,true,true,55a08c5ecff6a3feeba982beb8396624ad0ab3c895b22521ba76753bfcb91d85,172,14,schema_ok,appendix_data_table,Use as read-only appendix evidence and traceability source.,"Do not use as ground truth, label, training, overlay or prediction."
ART_v2am_0002,v2ah,dataset_csv,datasets/protocolo_c/v2ah_completion_report.csv,true,true,d4b541a291e1a290a2435c3a9aa2a61a6cae5e899d1d7ee6afb8622d00b494e1,6,5,present_unverified,appendix_data_table,Use as read-only appendix evidence and traceability source.,"Do not use as ground truth, label, training, overlay or prediction."
ART_v2am_0003,v2ah,dataset_csv,datasets/protocolo_c/v2ah_ground_truth_search_stop_gate.csv,true,true,acdcf39a1cbf5414c9b3efce4087ad78ab26f07547baa43dac3a83af7f1cda82,1,13,schema_ok,appendix_data_table,Use as read-only appendix evidence and traceability source.,"Do not use as ground truth, label, training, overlay or prediction."
ART_v2am_0004,v2ah,dataset_csv,datasets/protocolo_c/v2ah_guardrail_regression.csv,true,true,b32b010ce173edf01db3e74c2341c72a326efeb2dbcd60f894f6de72ebe21dd5,132,7,present_unverified,appendix_data_table,Use as read-only appendix evidence and traceability source.,"Do not use as ground truth, label, training, overlay or prediction."
ART_v2am_0005,v2ah,dataset_csv,datasets/protocolo_c/v2ah_next_actions_registry.csv,true,true,89ef304f82c5924933ed41fe7986b32b31eb644b714e8265f569db1e75b7d219,5,8,present_unverified,appendix_data_table,Use as read-only appendix evidence and traceability source.,"Do not use as ground truth, label, training, overlay or prediction."
ART_v2am_0006,v2ah,dataset_csv,datasets/protocolo_c/v2ah_reopen_conditions_registry.csv,true,true,50ad025678d01803c530403d6c9b0892143e6101e7ea60ecaede4b7aceb86a2d,7,6,present_unverified,appendix_data_table,Use as read-only appendix evidence and traceability source.,"Do not use as ground truth, label, training, overlay or prediction."
ART_v2am_0007,v2ah,dataset_csv,datasets/protocolo_c/v2ah_safe_tcc_export_registry.csv,true,true,1ea39b866d8e25ef2ca088242f5a6384de8568835bea9962fa16a43866ea4d37,7,10,present_unverified,appendix_data_table,Use as read-only appendix evidence and traceability source.,"Do not use as ground truth, label, training, overlay or prediction."
ART_v2am_0008,v2ah,dataset_csv,datasets/protocolo_c/v2ah_stratified_review_sampling.csv,true,true,d5855761d4015ce38e352027a6262b5eb6d15c37cead0b21167e4ac28a5d3a35,7,14,present_unverified,appendix_data_table,Use as read-only appendix evidence and traceability source.,"Do not use as ground truth, label, training, overlay or prediction."
ART_v2am_0009,v2ai,dataset_csv,datasets/protocolo_c/v2ai_adjudication_queue.csv,true,true,90d88f5b5a9e99bb3dae87c3c0b8a2538d062fb0db39adc2f413d7369fa70fdd,172,10,schema_ok,appendix_data_table,Use as read-only appendix evidence and traceability source.,"Do not use as ground truth, label, training, overlay or prediction."
ART_v2am_0010,v2ai,dataset_csv,datasets/protocolo_c/v2ai_completion_report.csv,true,true,2473fc3de9aeb74ec00847ee0f62f9a50a3eb48633fdeff078260edb0f69f757,11,5,present_unverified,appendix_data_table,Use as read-only appendix evidence and traceability source.,"Do not use as ground truth, label, training, overlay or prediction."
