regression_id,artifact_path,check_type,violation_count,status,severity,notes
GR_v2am_00000,datasets/protocolo_c/v2ah_candidate_evidence_dossier_index.csv,forbidden_true_flag,0,PASS,none,Fail-closed guardrail regression over v2am/v2ak/v2al/stage outputs.
GR_v2am_00001,datasets/protocolo_c/v2ah_candidate_evidence_dossier_index.csv,forbidden_status,0,PASS,none,Fail-closed guardrail regression over v2am/v2ak/v2al/stage outputs.
GR_v2am_00002,datasets/protocolo_c/v2ah_candidate_evidence_dossier_index.csv,absolute_path,0,PASS,none,Fail-closed guardrail regression over v2am/v2ak/v2al/stage outputs.
GR_v2am_00003,datasets/protocolo_c/v2ah_candidate_evidence_dossier_index.csv,non_versionable_path_marker,0,PASS,none,Fail-closed guardrail regression over v2am/v2ak/v2al/stage outputs.
GR_v2am_00004,datasets/protocolo_c/v2ah_candidate_evidence_dossier_index.csv,forbidden_kv,0,PASS,none,Fail-closed guardrail regression over v2am/v2ak/v2al/stage outputs.
GR_v2am_00005,datasets/protocolo_c/v2ah_candidate_evidence_dossier_index.csv,unsafe_language,0,PASS,none,Fail-closed guardrail regression over v2am/v2ak/v2al/stage outputs.
GR_v2am_00006,datasets/protocolo_c/v2ah_candidate_reference_review_queue.csv,forbidden_true_flag,0,PASS,none,Fail-closed guardrail regression over v2am/v2ak/v2al/stage outputs.
GR_v2am_00007,datasets/protocolo_c/v2ah_candidate_reference_review_queue.csv,forbidden_status,0,PASS,none,Fail-closed guardrail regression over v2am/v2ak/v2al/stage outputs.
GR_v2am_00008,datasets/protocolo_c/v2ah_candidate_reference_review_queue.csv,absolute_path,0,PASS,none,Fail-closed guardrail regression over v2am/v2ak/v2al/stage outputs.
GR_v2am_00009,datasets/protocolo_c/v2ah_candidate_reference_review_queue.csv,non_versionable_path_marker,0,PASS,none,Fail-closed guardrail regression over v2am/v2ak/v2al/stage outputs.
GR_v2am_00010,datasets/protocolo_c/v2ah_candidate_reference_review_queue.csv,forbidden_kv,0,PASS,none,Fail-closed guardrail regression over v2am/v2ak/v2al/stage outputs.
GR_v2am_00011,datasets/protocolo_c/v2ah_candidate_reference_review_queue.csv,unsafe_language,0,PASS,none,Fail-closed guardrail regression over v2am/v2ak/v2al/stage outputs.
GR_v2am_00012,datasets/protocolo_c/v2ah_completion_report.csv,forbidden_true_flag,0,PASS,none,Fail-closed guardrail regression over v2am/v2ak/v2al/stage outputs.
GR_v2am_00013,datasets/protocolo_c/v2ah_completion_report.csv,forbidden_status,0,PASS,none,Fail-closed guardrail regression over v2am/v2ak/v2al/stage outputs.
GR_v2am_00014,datasets/protocolo_c/v2ah_completion_report.csv,absolute_path,0,PASS,none,Fail-closed guardrail regression over v2am/v2ak/v2al/stage outputs.
GR_v2am_00015,datasets/protocolo_c/v2ah_completion_report.csv,non_versionable_path_marker,0,PASS,none,Fail-closed guardrail regression over v2am/v2ak/v2al/stage outputs.
GR_v2am_00016,datasets/protocolo_c/v2ah_completion_report.csv,forbidden_kv,0,PASS,none,Fail-closed guardrail regression over v2am/v2ak/v2al/stage outputs.
GR_v2am_00017,datasets/protocolo_c/v2ah_completion_report.csv,unsafe_language,0,PASS,none,Fail-closed guardrail regression over v2am/v2ak/v2al/stage outputs.
