classification_id,review_packet_id,event_patch_package_id,search_task_id,evidence_class,source_name,source_reference,geometry_candidate_allowed,manual_digitization_allowed,automatic_digitization_allowed,requires_human_validation,requires_adjudication,reason,can_create_ground_truth,can_create_patch_truth,can_create_label,can_create_negative,can_train_model,candidate_geometry_is_not_ground_truth,candidate_digitization_is_not_label,official_source_is_not_automatic_truth,quickview_is_not_validated_product,susceptibility_is_not_observed_event,textual_location_is_not_geometry,rainfall_is_not_flood_extent,patch_boundary_is_not_event_geometry,raw_data_versioned
CLASS_v2ba_0001,ARP_v2az_0001,FACT_v2at_0001,SEARCH_v2ba_0001,TEXTUAL_LOCATION_ONLY,DRM-RJ / NADE / Thalweg,https://www.rj.gov.br/drm/sites/default/files/arquivos_paginas/RL_09.2022.01-MTDLG-PETROPOLIS.pdf,false,false,false,true,true,No explicit traceable geometry in deterministic local evidence; textual/visual/contextual evidence cannot become geometry automatically.,false,false,false,false,false,true,true,true,true,true,true,true,true,false
CLASS_v2ba_0002,ARP_v2az_0001,FACT_v2at_0001,SEARCH_v2ba_0002,QUICKVIEW_ONLY,NHESS / Copernicus Image of the Day,https://nhess.copernicus.org/articles/23/1157/2023/;https://www.copernicus.eu/en/media/image-day-gallery/deadly-landslides-petropolis-brazil,false,false,false,true,true,No explicit traceable geometry in deterministic local evidence; textual/visual/contextual evidence cannot become geometry automatically.,false,false,false,false,false,true,true,true,true,true,true,true,true,false
CLASS_v2ba_0003,ARP_v2az_0002,FACT_v2at_0002,SEARCH_v2ba_0003,TEXTUAL_LOCATION_ONLY,Prefeitura de Curitiba,https://www.curitiba.pr.gov.br/noticias/prefeitura-de-curitiba-atende-familias-atingidas-pelas-chuvas-por-toda-a-cidade/70975,false,false,false,true,true,No explicit traceable geometry in deterministic local evidence; textual/visual/contextual evidence cannot become geometry automatically.,false,false,false,false,false,true,true,true,true,true,true,true,true,false
CLASS_v2ba_0004,ARP_v2az_0002,FACT_v2at_0002,SEARCH_v2ba_0004,TEXTUAL_LOCATION_ONLY,Prefeitura de Curitiba - limpeza pós-evento,https://www.curitiba.pr.gov.br/noticias/equipes-da-prefeitura-de-curitiba-continuam-limpeza-das-ruas-apos-as-chuvas-do-fim-de-semana/70977,false,false,false,true,true,No explicit traceable geometry in deterministic local evidence; textual/visual/contextual evidence cannot become geometry automatically.,false,false,false,false,false,true,true,true,true,true,true,true,true,false
CLASS_v2ba_0005,ARP_v2az_0004,FACT_v2at_0004,SEARCH_v2ba_0005,TEXTUAL_LOCATION_ONLY,DRM-RJ relatório técnico,https://www.rj.gov.br/drm/sites/default/files/arquivos_paginas/RL_09.2022.01-MTDLG-PETROPOLIS.pdf,false,false,false,true,true,No explicit traceable geometry in deterministic local evidence; textual/visual/contextual evidence cannot become geometry automatically.,false,false,false,false,false,true,true,true,true,true,true,true,true,false
CLASS_v2ba_0006,ARP_v2az_0004,FACT_v2at_0004,SEARCH_v2ba_0006,TEXTUAL_LOCATION_ONLY,Fontes técnicas complementares pendentes de revisão,NOT_ACQUIRED_PUBLIC_REVIEW_REQUIRED,false,false,false,true,true,No explicit traceable geometry in deterministic local evidence; textual/visual/contextual evidence cannot become geometry automatically.,false,false,false,false,false,true,true,true,true,true,true,true,true,false
CLASS_v2ba_0007,ARP_v2az_0007,FACT_v2at_0007,SEARCH_v2ba_0007,TEXTUAL_LOCATION_ONLY,Prefeitura de Curitiba,https://www.curitiba.pr.gov.br/noticias/defesa-civil-alerta-para-mais-chuva-durante-a-madrugada/62283,false,false,false,true,true,No explicit traceable geometry in deterministic local evidence; textual/visual/contextual evidence cannot become geometry automatically.,false,false,false,false,false,true,true,true,true,true,true,true,true,false
CLASS_v2ba_0008,ARP_v2az_0007,FACT_v2at_0007,SEARCH_v2ba_0008,CONTEXT_ONLY,TopView / Banda B,NOT_ACQUIRED_PUBLIC_REVIEW_REQUIRED,false,false,false,true,true,No explicit traceable geometry in deterministic local evidence; textual/visual/contextual evidence cannot become geometry automatically.,false,false,false,false,false,true,true,true,true,true,true,true,true,false
CLASS_v2ba_0009,ARP_v2az_0008,FACT_v2at_0008,SEARCH_v2ba_0009,TEXTUAL_LOCATION_ONLY,Prefeitura de Curitiba,https://www.curitiba.pr.gov.br/noticias/prefeitura-de-curitiba-trabalha-para-diminuir-transtornos-causados-pelas-chuvas/72313,false,false,false,true,true,No explicit traceable geometry in deterministic local evidence; textual/visual/contextual evidence cannot become geometry automatically.,false,false,false,false,false,true,true,true,true,true,true,true,true,false
CLASS_v2ba_0010,ARP_v2az_0008,FACT_v2at_0008,SEARCH_v2ba_0010,CONTEXT_ONLY,Banda B / recorrência de alagamentos no Cajuru,NOT_ACQUIRED_PUBLIC_REVIEW_REQUIRED,false,false,false,true,true,No explicit traceable geometry in deterministic local evidence; textual/visual/contextual evidence cannot become geometry automatically.,false,false,false,false,false,true,true,true,true,true,true,true,true,false
CLASS_v2ba_0011,ARP_v2az_0009,FACT_v2at_0009,SEARCH_v2ba_0011,TEXTUAL_LOCATION_ONLY,Prefeitura de Petrópolis,https://www.petropolis.rj.gov.br/pmp/index.php/noticias/item/21454-prefeitura-e-cef-buscam-liberacao-de-fgts-para-moradores-de-areas-atingidas-pelas-chuvas,false,false,false,true,true,No explicit traceable geometry in deterministic local evidence; textual/visual/contextual evidence cannot become geometry automatically.,false,false,false,false,false,true,true,true,true,true,true,true,true,false
CLASS_v2ba_0012,ARP_v2az_0009,FACT_v2at_0009,SEARCH_v2ba_0012,REVIEW_ONLY_VISUAL_SUPPORT,Copernicus Global Flood Monitoring,https://global-flood.emergency.copernicus.eu/react/news/166-flooding-in-espirito-santo-and-rio-de-janeiro-states-brazil-march-2024/,false,false,false,true,true,No explicit traceable geometry in deterministic local evidence; textual/visual/contextual evidence cannot become geometry automatically.,false,false,false,false,false,true,true,true,true,true,true,true,true,false
