step_order,step_name,status,output,output_hash,notes
1,select_review_ready_packets,OK,datasets/protocolo_c/v2ba_review_ready_packet_selection.csv,5feda0d9eb779570,Completed.
2,build_geometry_search_plan,OK,datasets/protocolo_c/v2ba_geometry_search_plan.csv,86928dedcf9350ac,Completed.
3,probe_official_geometry_sources,OK,datasets/protocolo_c/v2ba_official_geometry_source_probe.csv,5703f640de4e6902,Completed.
4,classify_geometry_evidence,OK,datasets/protocolo_c/v2ba_geometry_evidence_classification.csv,29f7f5c0be099a92,Completed.
5,build_candidate_digitization_registry,OK,datasets/protocolo_c/v2ba_candidate_digitization_registry.csv,dd7e46aebd1c73d2,Completed.
6,generate_candidate_geojsons,OK,datasets/protocolo_c/v2ba_candidate_geojson_manifest.csv,ce3bae496ca6d143,Completed.
7,validate_candidate_geometries,OK,datasets/protocolo_c/v2ba_candidate_geometry_validation.csv,0a20393667625ee1,Completed.
8,compute_geometry_uncertainty,OK,datasets/protocolo_c/v2ba_geometry_uncertainty_scores.csv,e35408c47d68ffd5,Completed.
9,build_human_adjudication_queue,OK,datasets/protocolo_c/v2ba_human_adjudication_queue.csv,61a48d2cc7cc82f7,Completed.
10,generate_geometry_audit_report,OK,datasets/protocolo_c/v2ba_geometry_audit_report.csv,c96ecc34a6c99664,Completed.
11,guardrail_regression,OK,datasets/protocolo_c/v2ba_guardrail_regression.csv,9dc7a1336c745f61,Completed.
