step_order,step_name,status,output,output_hash,notes
1,select_adjudication_packets,OK,datasets/protocolo_c/v2bb_adjudication_packet_selection.csv,585ed0c7dcb5d6b5,Completed.
2,expand_secondary_source_targets,OK,datasets/protocolo_c/v2bb_secondary_source_targets.csv,2f3d335aa080462f,Completed.
3,probe_secondary_evidence_sources,OK,datasets/protocolo_c/v2bb_secondary_evidence_probe.csv,a5dd2dcbfdb9fe05,Completed.
4,classify_secondary_evidence,OK,datasets/protocolo_c/v2bb_secondary_evidence_classification.csv,2d95ed0af0bc590f,Completed.
5,correlate_secondary_evidence,OK,datasets/protocolo_c/v2bb_secondary_evidence_correlation.csv,2cc42876bd41ed7b,Completed.
6,update_uncertainty_scores,OK,datasets/protocolo_c/v2bb_uncertainty_update.csv,2c78e6799e65a736,Completed.
7,build_digitization_review_candidate_matrix,OK,datasets/protocolo_c/v2bb_digitization_review_candidate_matrix.csv,e4506ccbbde69e82,Completed.
8,build_adjudication_decision_table,OK,datasets/protocolo_c/v2bb_adjudication_decision_table.csv,814be11b248e7057,Completed.
9,generate_secondary_evidence_packets,OK,datasets/protocolo_c/v2bb_secondary_evidence_packet_index.csv,d072df446a4c8261,Completed.
10,guardrail_regression,OK,datasets/protocolo_c/v2bb_guardrail_regression.csv,6a724dd54a665778,Completed.
