discovery_id,sentinel_asset_id,visual_asset_id,patch_id,city,region,source_registry,asset_path_or_reference,relative_path,asset_type,visual_type,acquisition_date,acquisition_date_source,asset_size_bytes,eligible_for_human_visual_review,has_visual_asset,has_spectral_context,has_dino_embedding,dino_allowed_use,discovery_status,can_create_ground_truth,can_create_patch_truth,can_create_label,can_create_negative,can_train_model,candidate_reference_is_not_final_ground_truth,seed_sentinel_crosswalk_is_not_label,sentinel_visual_context_is_not_truth,dino_signal_is_not_truth,patch_boundary_is_not_event_geometry,no_geometry_no_final_truth,raw_data_versioned
ASSET_v2bd_0001,V1PU_VA_00001,V1PU_VA_00001,CUR_00038,Curitiba,Curitiba,datasets/dino_patch_visual_linkage_registry_v1pv.csv|datasets/dino_visual_asset_eligibility_audit_v1pu.csv,data/sentinel/patch_curitiba_00038.tif,data/sentinel/patch_curitiba_00038.tif,SENTINEL_TIF_REFERENCE,SENTINEL_TIF_REFERENCE,,NOT_AVAILABLE_IN_REGISTERED_PROVENANCE,0,true,true,false,false,REVIEW_ONLY_REPRESENTATION,DISCOVERED_REVIEW_ONLY_DATE_MISSING,false,false,false,false,false,true,true,true,true,true,true,false
ASSET_v2bd_0002,V1PU_VA_00002,V1PU_VA_00002,CUR_00249,Curitiba,Curitiba,datasets/dino_patch_visual_linkage_registry_v1pv.csv|datasets/dino_visual_asset_eligibility_audit_v1pu.csv,data/sentinel/patch_curitiba_00249.tif,data/sentinel/patch_curitiba_00249.tif,SENTINEL_TIF_REFERENCE,SENTINEL_TIF_REFERENCE,,NOT_AVAILABLE_IN_REGISTERED_PROVENANCE,0,true,true,false,false,REVIEW_ONLY_REPRESENTATION,DISCOVERED_REVIEW_ONLY_DATE_MISSING,false,false,false,false,false,true,true,true,true,true,true,false
ASSET_v2bd_0003,V1PU_VA_00003,V1PU_VA_00003,CUR_00350,Curitiba,Curitiba,datasets/dino_patch_visual_linkage_registry_v1pv.csv|datasets/dino_visual_asset_eligibility_audit_v1pu.csv,data/sentinel/patch_curitiba_00350.tif,data/sentinel/patch_curitiba_00350.tif,SENTINEL_TIF_REFERENCE,SENTINEL_TIF_REFERENCE,,NOT_AVAILABLE_IN_REGISTERED_PROVENANCE,0,true,true,false,false,REVIEW_ONLY_REPRESENTATION,DISCOVERED_REVIEW_ONLY_DATE_MISSING,false,false,false,false,false,true,true,true,true,true,true,false
ASSET_v2bd_0004,V1PU_VA_00004,V1PU_VA_00004,CUR_00357,Curitiba,Curitiba,datasets/dino_patch_visual_linkage_registry_v1pv.csv|datasets/dino_visual_asset_eligibility_audit_v1pu.csv,data/sentinel/patch_curitiba_00357.tif,data/sentinel/patch_curitiba_00357.tif,SENTINEL_TIF_REFERENCE,SENTINEL_TIF_REFERENCE,,NOT_AVAILABLE_IN_REGISTERED_PROVENANCE,0,true,true,false,false,REVIEW_ONLY_REPRESENTATION,DISCOVERED_REVIEW_ONLY_DATE_MISSING,false,false,false,false,false,true,true,true,true,true,true,false
ASSET_v2bd_0005,V1PU_VA_00005,V1PU_VA_00005,CUR_00367,Curitiba,Curitiba,datasets/dino_patch_visual_linkage_registry_v1pv.csv|datasets/dino_visual_asset_eligibility_audit_v1pu.csv,data/sentinel/patch_curitiba_00367.tif,data/sentinel/patch_curitiba_00367.tif,SENTINEL_TIF_REFERENCE,SENTINEL_TIF_REFERENCE,,NOT_AVAILABLE_IN_REGISTERED_PROVENANCE,0,true,true,false,false,REVIEW_ONLY_REPRESENTATION,DISCOVERED_REVIEW_ONLY_DATE_MISSING,false,false,false,false,false,true,true,true,true,true,true,false
ASSET_v2bd_0006,V1PU_VA_00006,V1PU_VA_00006,CUR_00402,Curitiba,Curitiba,datasets/dino_patch_visual_linkage_registry_v1pv.csv|datasets/dino_visual_asset_eligibility_audit_v1pu.csv,data/sentinel/patch_curitiba_00402.tif,data/sentinel/patch_curitiba_00402.tif,SENTINEL_TIF_REFERENCE,SENTINEL_TIF_REFERENCE,,NOT_AVAILABLE_IN_REGISTERED_PROVENANCE,0,true,true,false,false,REVIEW_ONLY_REPRESENTATION,DISCOVERED_REVIEW_ONLY_DATE_MISSING,false,false,false,false,false,true,true,true,true,true,true,false
ASSET_v2bd_0007,V1PU_VA_00007,V1PU_VA_00007,CUR_00409,Curitiba,Curitiba,datasets/dino_patch_visual_linkage_registry_v1pv.csv|datasets/dino_visual_asset_eligibility_audit_v1pu.csv,data/sentinel/patch_curitiba_00409.tif,data/sentinel/patch_curitiba_00409.tif,SENTINEL_TIF_REFERENCE,SENTINEL_TIF_REFERENCE,,NOT_AVAILABLE_IN_REGISTERED_PROVENANCE,0,true,true,false,false,REVIEW_ONLY_REPRESENTATION,DISCOVERED_REVIEW_ONLY_DATE_MISSING,false,false,false,false,false,true,true,true,true,true,true,false
ASSET_v2bd_0008,V1PU_VA_00008,V1PU_VA_00008,CUR_00410,Curitiba,Curitiba,datasets/dino_patch_visual_linkage_registry_v1pv.csv|datasets/dino_visual_asset_eligibility_audit_v1pu.csv,data/sentinel/patch_curitiba_00410.tif,data/sentinel/patch_curitiba_00410.tif,SENTINEL_TIF_REFERENCE,SENTINEL_TIF_REFERENCE,,NOT_AVAILABLE_IN_REGISTERED_PROVENANCE,0,true,true,false,false,REVIEW_ONLY_REPRESENTATION,DISCOVERED_REVIEW_ONLY_DATE_MISSING,false,false,false,false,false,true,true,true,true,true,true,false
ASSET_v2bd_0009,V1PU_VA_00009,V1PU_VA_00009,CUR_00413,Curitiba,Curitiba,datasets/dino_patch_visual_linkage_registry_v1pv.csv|datasets/dino_visual_asset_eligibility_audit_v1pu.csv,data/sentinel/patch_curitiba_00413.tif,data/sentinel/patch_curitiba_00413.tif,SENTINEL_TIF_REFERENCE,SENTINEL_TIF_REFERENCE,,NOT_AVAILABLE_IN_REGISTERED_PROVENANCE,0,true,true,false,false,REVIEW_ONLY_REPRESENTATION,DISCOVERED_REVIEW_ONLY_DATE_MISSING,false,false,false,false,false,true,true,true,true,true,true,false
ASSET_v2bd_0010,V1PU_VA_00010,V1PU_VA_00010,CUR_00416,Curitiba,Curitiba,datasets/dino_patch_visual_linkage_registry_v1pv.csv|datasets/dino_visual_asset_eligibility_audit_v1pu.csv,data/sentinel/patch_curitiba_00416.tif,data/sentinel/patch_curitiba_00416.tif,SENTINEL_TIF_REFERENCE,SENTINEL_TIF_REFERENCE,,NOT_AVAILABLE_IN_REGISTERED_PROVENANCE,0,true,true,false,false,REVIEW_ONLY_REPRESENTATION,DISCOVERED_REVIEW_ONLY_DATE_MISSING,false,false,false,false,false,true,true,true,true,true,true,false
ASSET_v2bd_0011,V1PU_VA_00011,V1PU_VA_00011,CUR_00445,Curitiba,Curitiba,datasets/dino_patch_visual_linkage_registry_v1pv.csv|datasets/dino_visual_asset_eligibility_audit_v1pu.csv,data/sentinel/patch_curitiba_00445.tif,data/sentinel/patch_curitiba_00445.tif,SENTINEL_TIF_REFERENCE,SENTINEL_TIF_REFERENCE,,NOT_AVAILABLE_IN_REGISTERED_PROVENANCE,0,true,true,false,false,REVIEW_ONLY_REPRESENTATION,DISCOVERED_REVIEW_ONLY_DATE_MISSING,false,false,false,false,false,true,true,true,true,true,true,false
