sentinel_asset_id,recovered_date,date_source,date_recovery_method,date_confidence,date_recovery_note,can_create_ground_truth,can_create_patch_truth,can_create_label,can_create_negative,can_train_model,recovered_lineage_is_not_ground_truth,sentinel_review_asset_is_not_truth,dino_signal_is_not_truth,patch_boundary_is_not_event_geometry,review_derivative_is_not_label,no_geometry_no_final_truth,raw_data_versioned
V1PU_VA_00001,,NO_PRODUCT_OR_SCENE_DATE,NO_ACCEPTABLE_DATE_EVIDENCE,UNKNOWN,Execution/modification timestamps were rejected; no Sentinel product or scene date was found.,false,false,false,false,false,true,true,true,true,true,true,false
V1PU_VA_00002,,NO_PRODUCT_OR_SCENE_DATE,NO_ACCEPTABLE_DATE_EVIDENCE,UNKNOWN,Execution/modification timestamps were rejected; no Sentinel product or scene date was found.,false,false,false,false,false,true,true,true,true,true,true,false
V1PU_VA_00003,,NO_PRODUCT_OR_SCENE_DATE,NO_ACCEPTABLE_DATE_EVIDENCE,UNKNOWN,Execution/modification timestamps were rejected; no Sentinel product or scene date was found.,false,false,false,false,false,true,true,true,true,true,true,false
V1PU_VA_00004,,NO_PRODUCT_OR_SCENE_DATE,NO_ACCEPTABLE_DATE_EVIDENCE,UNKNOWN,Execution/modification timestamps were rejected; no Sentinel product or scene date was found.,false,false,false,false,false,true,true,true,true,true,true,false
V1PU_VA_00005,,NO_PRODUCT_OR_SCENE_DATE,NO_ACCEPTABLE_DATE_EVIDENCE,UNKNOWN,Execution/modification timestamps were rejected; no Sentinel product or scene date was found.,false,false,false,false,false,true,true,true,true,true,true,false
V1PU_VA_00006,,NO_PRODUCT_OR_SCENE_DATE,NO_ACCEPTABLE_DATE_EVIDENCE,UNKNOWN,Execution/modification timestamps were rejected; no Sentinel product or scene date was found.,false,false,false,false,false,true,true,true,true,true,true,false
V1PU_VA_00007,,NO_PRODUCT_OR_SCENE_DATE,NO_ACCEPTABLE_DATE_EVIDENCE,UNKNOWN,Execution/modification timestamps were rejected; no Sentinel product or scene date was found.,false,false,false,false,false,true,true,true,true,true,true,false
V1PU_VA_00008,,NO_PRODUCT_OR_SCENE_DATE,NO_ACCEPTABLE_DATE_EVIDENCE,UNKNOWN,Execution/modification timestamps were rejected; no Sentinel product or scene date was found.,false,false,false,false,false,true,true,true,true,true,true,false
V1PU_VA_00009,,NO_PRODUCT_OR_SCENE_DATE,NO_ACCEPTABLE_DATE_EVIDENCE,UNKNOWN,Execution/modification timestamps were rejected; no Sentinel product or scene date was found.,false,false,false,false,false,true,true,true,true,true,true,false
V1PU_VA_00010,,NO_PRODUCT_OR_SCENE_DATE,NO_ACCEPTABLE_DATE_EVIDENCE,UNKNOWN,Execution/modification timestamps were rejected; no Sentinel product or scene date was found.,false,false,false,false,false,true,true,true,true,true,true,false
V1PU_VA_00011,,NO_PRODUCT_OR_SCENE_DATE,NO_ACCEPTABLE_DATE_EVIDENCE,UNKNOWN,Execution/modification timestamps were rejected; no Sentinel product or scene date was found.,false,false,false,false,false,true,true,true,true,true,true,false
V1PU_VA_00012,,NO_PRODUCT_OR_SCENE_DATE,NO_ACCEPTABLE_DATE_EVIDENCE,UNKNOWN,Execution/modification timestamps were rejected; no Sentinel product or scene date was found.,false,false,false,false,false,true,true,true,true,true,true,false
V1PU_VA_00013,,NO_PRODUCT_OR_SCENE_DATE,NO_ACCEPTABLE_DATE_EVIDENCE,UNKNOWN,Execution/modification timestamps were rejected; no Sentinel product or scene date was found.,false,false,false,false,false,true,true,true,true,true,true,false
V1PU_VA_00014,,NO_PRODUCT_OR_SCENE_DATE,NO_ACCEPTABLE_DATE_EVIDENCE,UNKNOWN,Execution/modification timestamps were rejected; no Sentinel product or scene date was found.,false,false,false,false,false,true,true,true,true,true,true,false
V1PU_VA_00015,,NO_PRODUCT_OR_SCENE_DATE,NO_ACCEPTABLE_DATE_EVIDENCE,UNKNOWN,Execution/modification timestamps were rejected; no Sentinel product or scene date was found.,false,false,false,false,false,true,true,true,true,true,true,false
V1PU_VA_00016,,NO_PRODUCT_OR_SCENE_DATE,NO_ACCEPTABLE_DATE_EVIDENCE,UNKNOWN,Execution/modification timestamps were rejected; no Sentinel product or scene date was found.,false,false,false,false,false,true,true,true,true,true,true,false
