step_id,version,script_path,stage_group,mode,executed,exit_code,status,expected_outputs_present,stdout_tail,stderr_tail,notes
V1PB_STEP_001,v1og,revp_v1og_rec_patch_provenance_graph_builder.py,temporal_recovery,check-only,false,,OUTPUTS_PRESENT,1/1,,,
V1PB_STEP_002,v1om,revp_v1om_recife_sentinel_sidecar_discovery.py,temporal_recovery,check-only,false,,OUTPUTS_PRESENT,1/1,,,
V1PB_STEP_003,v1on,revp_v1on_sentinel_product_date_parser.py,temporal_recovery,check-only,false,,OUTPUTS_PRESENT,1/1,,,
V1PB_STEP_004,v1oo,revp_v1oo_recife_patch_scene_date_resolver_v3.py,temporal_recovery,check-only,false,,OUTPUTS_PRESENT,1/1,,,
V1PB_STEP_005,v1op,revp_v1op_recife_event_patch_temporal_adjudication_v3.py,temporal_recovery,check-only,false,,OUTPUTS_PRESENT,1/1,,,
V1PB_STEP_006,v1oq,revp_v1oq_recife_c3_c4_dino_recheck_after_scene_date_v3.py,temporal_recovery,check-only,false,,OUTPUTS_PRESENT,1/1,,,
V1PB_STEP_007,v1or,revp_v1or_scene_date_recovery_v3_bundle.py,temporal_recovery,check-only,false,,OUTPUTS_PRESENT,1/1,,,
V1PB_STEP_008,v1os,revp_v1os_fixture_contamination_audit.py,temporal_recovery,check-only,false,,OUTPUTS_PRESENT,1/1,,,
V1PB_STEP_009,v1ot,revp_v1ot_scene_date_recovery_final_audit_bundle.py,temporal_recovery,check-only,false,,OUTPUTS_PRESENT,2/2,,,
V1PB_STEP_010,v1ou,revp_v1ou_external_evidence_source_inventory.py,observed_evidence,check-only,false,,OUTPUTS_PRESENT,1/1,,,
V1PB_STEP_011,v1ov,revp_v1ov_ground_reference_observed_event_registry.py,observed_evidence,check-only,false,,OUTPUTS_PRESENT,1/1,,,
V1PB_STEP_012,v1ow,revp_v1ow_evidence_strength_precision_scoring.py,observed_evidence,check-only,false,,OUTPUTS_PRESENT,1/1,,,
V1PB_STEP_013,v1ox,revp_v1ox_event_patch_linkage_registry.py,observed_evidence,check-only,false,,OUTPUTS_PRESENT,1/1,,,
V1PB_STEP_014,v1oy,revp_v1oy_ground_truth_candidate_decision_audit.py,observed_evidence,check-only,false,,OUTPUTS_PRESENT,1/1,,,
V1PB_STEP_015,v1oz,revp_v1oz_dino_review_only_representation_queue.py,observed_evidence,check-only,false,,OUTPUTS_PRESENT,1/1,,,
V1PB_STEP_016,v1pa,revp_v1pa_protocol_c_observed_evidence_bundle.py,observed_evidence,check-only,false,,OUTPUTS_PRESENT,2/2,,,
