field,description
rollout_id,v1qv_dino_attention_rollout_manifest: rollout_id.
smoke_id,v1qv_dino_attention_rollout_manifest: smoke_id.
patch_id,v1qv_dino_attention_rollout_manifest: patch_id.
region,v1qv_dino_attention_rollout_manifest: region.
relative_path,v1qv_dino_attention_rollout_manifest: relative_path.
output_png_relative_path,v1qv_dino_attention_rollout_manifest: output_png_relative_path.
output_png_path_hash,v1qv_dino_attention_rollout_manifest: output_png_path_hash.
num_layers,v1qv_dino_attention_rollout_manifest: num_layers.
num_heads,v1qv_dino_attention_rollout_manifest: num_heads.
num_register_tokens,v1qv_dino_attention_rollout_manifest: num_register_tokens.
attention_use,v1qv_dino_attention_rollout_manifest: attention_use.
status,v1qv_dino_attention_rollout_manifest: status.
blocked_reason,v1qv_dino_attention_rollout_manifest: blocked_reason.
notes,v1qv_dino_attention_rollout_manifest: notes.
