field,description
audit_id,v1pi_dino_embedding_quality_audit: audit_id.
embedding_id,v1pi_dino_embedding_quality_audit: embedding_id.
patch_id,v1pi_dino_embedding_quality_audit: patch_id.
region,v1pi_dino_embedding_quality_audit: region.
check_dim_768,v1pi_dino_embedding_quality_audit: check_dim_768.
check_no_nan,v1pi_dino_embedding_quality_audit: check_no_nan.
check_no_inf,v1pi_dino_embedding_quality_audit: check_no_inf.
check_norm_positive,v1pi_dino_embedding_quality_audit: check_norm_positive.
check_patch_id_present,v1pi_dino_embedding_quality_audit: check_patch_id_present.
check_region_present,v1pi_dino_embedding_quality_audit: check_region_present.
check_not_fixture,v1pi_dino_embedding_quality_audit: check_not_fixture.
check_not_duplicate,v1pi_dino_embedding_quality_audit: check_not_duplicate.
check_no_label,v1pi_dino_embedding_quality_audit: check_no_label.
check_no_target,v1pi_dino_embedding_quality_audit: check_no_target.
check_no_training,v1pi_dino_embedding_quality_audit: check_no_training.
overall_quality,v1pi_dino_embedding_quality_audit: overall_quality.
embedding_status,v1pi_dino_embedding_quality_audit: embedding_status.
blocked_reason,v1pi_dino_embedding_quality_audit: blocked_reason.
notes,v1pi_dino_embedding_quality_audit: notes.
