field,description
execution_queue_id,v1qa_execution_queue_from_visual_expansion: execution_queue_id.
source_queue_id,v1qa_execution_queue_from_visual_expansion: source_queue_id.
visual_asset_id,v1qa_execution_queue_from_visual_expansion: visual_asset_id.
patch_id,v1qa_execution_queue_from_visual_expansion: patch_id.
alias,v1qa_execution_queue_from_visual_expansion: alias.
region,v1qa_execution_queue_from_visual_expansion: region.
relative_path,v1qa_execution_queue_from_visual_expansion: relative_path.
path_hash,v1qa_execution_queue_from_visual_expansion: path_hash.
visual_type,v1qa_execution_queue_from_visual_expansion: visual_type.
queue_priority,v1qa_execution_queue_from_visual_expansion: queue_priority.
queue_reason,v1qa_execution_queue_from_visual_expansion: queue_reason.
linkage_confidence,v1qa_execution_queue_from_visual_expansion: linkage_confidence.
dino_allowed_use,v1qa_execution_queue_from_visual_expansion: dino_allowed_use.
can_create_label,v1qa_execution_queue_from_visual_expansion: can_create_label.
can_train_model,v1qa_execution_queue_from_visual_expansion: can_train_model.
target_created,v1qa_execution_queue_from_visual_expansion: target_created.
ready_for_dry_run,v1qa_execution_queue_from_visual_expansion: ready_for_dry_run.
ready_for_real_execution,v1qa_execution_queue_from_visual_expansion: ready_for_real_execution.
blocked_reason,v1qa_execution_queue_from_visual_expansion: blocked_reason.
notes,v1qa_execution_queue_from_visual_expansion: notes.
