field,description
reference_patch_id,REV-P v1ix official anchor Sentinel patch metadata field.
anchor_id,REV-P v1ix official anchor Sentinel patch metadata field.
source_documented_event_unit_id,REV-P v1ix official anchor Sentinel patch metadata field.
region,REV-P v1ix official anchor Sentinel patch metadata field.
municipality,REV-P v1ix official anchor Sentinel patch metadata field.
locality_text_sanitized,REV-P v1ix official anchor Sentinel patch metadata field.
anchor_date,REV-P v1ix official anchor Sentinel patch metadata field.
anchor_latitude,REV-P v1ix official anchor Sentinel patch metadata field.
anchor_longitude,REV-P v1ix official anchor Sentinel patch metadata field.
phenomenon_group,REV-P v1ix official anchor Sentinel patch metadata field.
sensor,REV-P v1ix official anchor Sentinel patch metadata field.
gee_collection,REV-P v1ix official anchor Sentinel patch metadata field.
scene_id_sanitized,REV-P v1ix official anchor Sentinel patch metadata field.
scene_date,REV-P v1ix official anchor Sentinel patch metadata field.
temporal_relation_to_event,REV-P v1ix official anchor Sentinel patch metadata field.
bands_available,REV-P v1ix official anchor Sentinel patch metadata field.
patch_generated_locally,REV-P v1ix official anchor Sentinel patch metadata field.
patch_centered_on_anchor,REV-P v1ix official anchor Sentinel patch metadata field.
center_error_m,REV-P v1ix official anchor Sentinel patch metadata field.
patch_size_px,REV-P v1ix official anchor Sentinel patch metadata field.
patch_size_m,REV-P v1ix official anchor Sentinel patch metadata field.
crs,REV-P v1ix official anchor Sentinel patch metadata field.
resolution_m,REV-P v1ix official anchor Sentinel patch metadata field.
valid_pixel_fraction,REV-P v1ix official anchor Sentinel patch metadata field.
cloud_cover_metadata,REV-P v1ix official anchor Sentinel patch metadata field.
public_versioning_status,REV-P v1ix official anchor Sentinel patch metadata field.
can_be_reference_patch_candidate,REV-P v1ix official anchor Sentinel patch metadata field.
can_be_ground_reference_candidate,REV-P v1ix official anchor Sentinel patch metadata field.
can_be_operational_ground_truth,REV-P v1ix official anchor Sentinel patch metadata field.
can_create_training_label,REV-P v1ix official anchor Sentinel patch metadata field.
can_train_model,REV-P v1ix official anchor Sentinel patch metadata field.
can_reopen_protocol_b,REV-P v1ix official anchor Sentinel patch metadata field.
primary_blocker,REV-P v1ix official anchor Sentinel patch metadata field.
minimum_evidence_needed,REV-P v1ix official anchor Sentinel patch metadata field.
notes,REV-P v1ix official anchor Sentinel patch metadata field.
