field_name,field_type,required,description,allowed_values,notes
source_asset_id,string,true,Identificador unico do ativo auditado,,Formato: OBS_[REGION]_[SEQ]
event_id,string,true,Identificador do evento hidrológico/geológico alvo,,Ex: PET_2022_02_15
region,string,true,Região do evento,,PET/REC/CUR
event_date,string,true,Data do evento no formato YYYY-MM-DD,,
source_institution,string,true,Instituição de origem do ativo,,SGB/CPRM; DRM-RJ; INPE; etc.
source_repository,string,true,Repositório ou portal de origem,,Ex: RIGeo/SGB; GEOSERVICOS/IBGE
source_title,string,true,Título oficial do item/dataset no repositório,,
source_asset_name,string,true,Nome do arquivo ou subproduto específico,,Ex: areas_inundadas_petropolis_2022.shp
source_asset_type,string,true,Tipo do ativo,VECTOR_SHP;VECTOR_GPKG;VECTOR_GEOJSON;VECTOR_KMZ;VECTOR_KML;PDF_REPORT;ZIP_ARCHIVE;CSV_TABLE;RASTER_TIF;PORTAL_PAGE;UNKNOWN,
source_access_status,string,true,Status de acesso ao ativo,DOWNLOAD_OK;DOWNLOAD_FAILED;ACCESS_DENIED;MANUAL_REQUIRED;PENDING_FORMAL_REQUEST;ALREADY_LOCAL,
local_ingestion_status,string,true,Status de ingestão local,INGESTED;NOT_INGESTED;PARTIAL;INVENTORY_ONLY,Ingestão em local_runs/ apenas
official_source_url_reference,string,true,URL pública de referência (sem path privado),,
raw_file_versioning_status,string,true,Status de versionamento do arquivo bruto,NOT_VERSIONED_LOCAL_ONLY;NOT_APPLICABLE;METADATA_ONLY_PUBLIC,Dados brutos nunca vão para Git
geometry_available,string,true,Geometria disponível e legível,YES;NO;PARTIAL;NOT_APPLICABLE,
geometry_type,string,false,Tipo de geometria,POLYGON;MULTIPOLYGON;POINT;MULTIPOINT;LINESTRING;MULTILINESTRING;MIXED;UNKNOWN;NOT_APPLICABLE,
crs,string,false,Sistema de referência de coordenadas,,Ex: SIRGAS2000_UTM23S; WGS84; UNKNOWN
feature_count,integer,false,Número de feições no vetor,,0 se nenhuma
has_event_date_field,string,true,Campo de data do evento presente no atributo,YES;NO;NOT_APPLICABLE,
event_date_compatible,string,true,Data compatível com evento alvo,PASS;FAIL;UNKNOWN;NOT_APPLICABLE,Gate 6
has_phenomenon_field,string,true,Campo de fenômeno/tipo de processo presente,YES;NO;NOT_APPLICABLE,
phenomenon_raw_values,string,false,Valores únicos do campo de fenômeno (amostra),,Lista separada por ponto-e-vírgula
hydrological_observed_features_count,integer,false,Feições de inundação/enxurrada/alagamento/transbordamento observadas,,0 se nenhuma
mass_movement_observed_features_count,integer,false,Feições de deslizamento/escorregamento/corrida de massa observadas,,0 se nenhuma
mixed_or_unknown_features_count,integer,false,Feições de fenômeno misto ou desconhecido,,0 se nenhuma
risk_or_susceptibility_only,string,true,Ativo é apenas mapa de risco/suscetibilidade/modelagem (não ocorrência observada),YES;NO;UNKNOWN,Se YES -> BLOCKED
observed_event_status,string,true,Tipo de ocorrência no ativo,OBSERVED_HYDROLOGICAL;OBSERVED_MASS_MOVEMENT;OBSERVED_MIXED;NOT_OBSERVED_EVENT;UNDETERMINED;CARTOGRAPHIC_LEAD_ONLY,
patch_level_usability,string,true,Usabilidade para patch-level binding,POTENTIALLY_USABLE;MUNICIPAL_LEVEL_ONLY;NOT_USABLE;PENDING_AUDIT,
ground_truth_status,string,true,Status de ground truth candidato,CANDIDATE_OBSERVED_GROUND_TRUTH;BLOCKED;BLOCKED_UNTIL_PHENOMENON_SEPARATION;CARTOGRAPHIC_LEAD_ONLY;NOT_APPLICABLE,Requer 11 gates PASS
ml_label_status,string,true,Status de uso como label ML,BLOCKED_UNTIL_SPLIT_AND_LEAKAGE_PROTOCOL;NOT_APPLICABLE,Invariante — nunca automático
limitations,string,false,Limitações metodológicas documentadas,,
next_required_action,string,false,Próxima ação necessária,,
notes,string,false,Notas adicionais,,
