field,description
automated_review_id,v1tp_decisions: automated_review_id.
case_id,v1tp_decisions: case_id.
reviewer_slot,v1tp_decisions: reviewer_slot.
reviewer_profile,v1tp_decisions: reviewer_profile.
external_source_sufficient_for_review_only,v1tp_decisions: external_source_sufficient_for_review_only.
temporal_context_sufficient_for_review_only,v1tp_decisions: temporal_context_sufficient_for_review_only.
spatial_context_sufficient_for_review_only,v1tp_decisions: spatial_context_sufficient_for_review_only.
hydromet_context_useful,v1tp_decisions: hydromet_context_useful.
dino_role_correctly_limited,v1tp_decisions: dino_role_correctly_limited.
patch_linkage_sufficient_for_review_only,v1tp_decisions: patch_linkage_sufficient_for_review_only.
overclaim_risk,v1tp_decisions: overclaim_risk.
evidence_chain_completeness_score,v1tp_decisions: evidence_chain_completeness_score.
review_only_confidence_score,v1tp_decisions: review_only_confidence_score.
recommended_review_only_status,v1tp_decisions: recommended_review_only_status.
required_next_action,v1tp_decisions: required_next_action.
automated_review,v1tp_decisions: automated_review.
internal_review_automated_for_review_only,v1tp_decisions: internal_review_automated_for_review_only.
requires_external_observational_evidence_for_operational_claim,v1tp_decisions: requires_external_observational_evidence_for_operational_claim.
review_only,v1tp_decisions: review_only.
can_create_operational_label,v1tp_decisions: can_create_operational_label.
can_train_model,v1tp_decisions: can_train_model.
target_created,v1tp_decisions: target_created.
ground_truth_operational,v1tp_decisions: ground_truth_operational.
formal_negative,v1tp_decisions: formal_negative.
automatic_c3_promotion,v1tp_decisions: automatic_c3_promotion.
c4_opened,v1tp_decisions: c4_opened.
dino_validates_event,v1tp_decisions: dino_validates_event.
hydromet_validates_event,v1tp_decisions: hydromet_validates_event.
hydromet_is_negative_evidence,v1tp_decisions: hydromet_is_negative_evidence.
absence_as_negative,v1tp_decisions: absence_as_negative.
notes,v1tp_decisions: notes.
