field,description
supervisor_adjudication_id,v1tr_supervisor: supervisor_adjudication_id.
case_id,v1tr_supervisor: case_id.
consensus_status,v1tr_supervisor: consensus_status.
supervisor_precheck_status,v1tr_supervisor: supervisor_precheck_status.
supervisor_decision,v1tr_supervisor: supervisor_decision.
final_for_review_only_use,v1tr_supervisor: final_for_review_only_use.
ready_for_tcc_discussion,v1tr_supervisor: ready_for_tcc_discussion.
evidence_chain_completeness_score,v1tr_supervisor: evidence_chain_completeness_score.
automated_supervisor_adjudication,v1tr_supervisor: automated_supervisor_adjudication.
operational_validation,v1tr_supervisor: operational_validation.
external_observational_source_required_for_operational_claim,v1tr_supervisor: external_observational_source_required_for_operational_claim.
does_not_validate_event,v1tr_supervisor: does_not_validate_event.
supervisor_final_operational_decision_allowed,v1tr_supervisor: supervisor_final_operational_decision_allowed.
review_only,v1tr_supervisor: review_only.
automated_review,v1tr_supervisor: automated_review.
internal_review_automated_for_review_only,v1tr_supervisor: internal_review_automated_for_review_only.
requires_external_observational_evidence_for_operational_claim,v1tr_supervisor: requires_external_observational_evidence_for_operational_claim.
automatic_c3_promotion,v1tr_supervisor: automatic_c3_promotion.
c4_opened,v1tr_supervisor: c4_opened.
can_create_operational_label,v1tr_supervisor: can_create_operational_label.
can_train_model,v1tr_supervisor: can_train_model.
target_created,v1tr_supervisor: target_created.
ground_truth_operational,v1tr_supervisor: ground_truth_operational.
formal_negative,v1tr_supervisor: formal_negative.
dino_validates_event,v1tr_supervisor: dino_validates_event.
hydromet_validates_event,v1tr_supervisor: hydromet_validates_event.
hydromet_is_negative_evidence,v1tr_supervisor: hydromet_is_negative_evidence.
absence_as_negative,v1tr_supervisor: absence_as_negative.
notes,v1tr_supervisor: notes.
