field,description
case_id,v1ts_flow: case_id.
region,v1ts_flow: region.
hazard_type,v1ts_flow: hazard_type.
event_window,v1ts_flow: event_window.
case_header,v1ts_flow: case_header.
evidence_summary,v1ts_flow: evidence_summary.
hydromet_summary,v1ts_flow: hydromet_summary.
dino_limitation,v1ts_flow: dino_limitation.
reviewer_a_decision,v1ts_flow: reviewer_a_decision.
reviewer_b_decision,v1ts_flow: reviewer_b_decision.
consensus_divergence,v1ts_flow: consensus_divergence.
supervisor_adjudication,v1ts_flow: supervisor_adjudication.
blockers,v1ts_flow: blockers.
next_action,v1ts_flow: next_action.
claim_safety_status,v1ts_flow: claim_safety_status.
tcc_ready_summary,v1ts_flow: tcc_ready_summary.
review_only,v1ts_flow: review_only.
automated_review,v1ts_flow: automated_review.
internal_review_automated_for_review_only,v1ts_flow: internal_review_automated_for_review_only.
requires_external_observational_evidence_for_operational_claim,v1ts_flow: requires_external_observational_evidence_for_operational_claim.
automatic_c3_promotion,v1ts_flow: automatic_c3_promotion.
c4_opened,v1ts_flow: c4_opened.
can_create_operational_label,v1ts_flow: can_create_operational_label.
can_train_model,v1ts_flow: can_train_model.
target_created,v1ts_flow: target_created.
ground_truth_operational,v1ts_flow: ground_truth_operational.
formal_negative,v1ts_flow: formal_negative.
dino_validates_event,v1ts_flow: dino_validates_event.
hydromet_validates_event,v1ts_flow: hydromet_validates_event.
hydromet_is_negative_evidence,v1ts_flow: hydromet_is_negative_evidence.
absence_as_negative,v1ts_flow: absence_as_negative.
notes,v1ts_flow: notes.
