field,description
case_id,v1tn_case_index: case_id.
event_candidate_id,v1tn_case_index: event_candidate_id.
event_id,v1tn_case_index: event_id.
patch_id,v1tn_case_index: patch_id.
region,v1tn_case_index: region.
hazard_type,v1tn_case_index: hazard_type.
event_window,v1tn_case_index: event_window.
external_evidence_status,v1tn_case_index: external_evidence_status.
hydromet_status,v1tn_case_index: hydromet_status.
dino_status,v1tn_case_index: dino_status.
patch_link_status,v1tn_case_index: patch_link_status.
protocol_c_state,v1tn_case_index: protocol_c_state.
case_readiness_status,v1tn_case_index: case_readiness_status.
blocking_factors,v1tn_case_index: blocking_factors.
next_required_action,v1tn_case_index: next_required_action.
review_only,v1tn_case_index: review_only.
automated_review,v1tn_case_index: automated_review.
automatic_c3_promotion,v1tn_case_index: automatic_c3_promotion.
c4_opened,v1tn_case_index: c4_opened.
can_create_operational_label,v1tn_case_index: can_create_operational_label.
can_train_model,v1tn_case_index: can_train_model.
target_created,v1tn_case_index: target_created.
ground_truth_operational,v1tn_case_index: ground_truth_operational.
formal_negative,v1tn_case_index: formal_negative.
internal_review_automated_for_review_only,v1tn_case_index: internal_review_automated_for_review_only.
requires_external_observational_evidence_for_operational_claim,v1tn_case_index: requires_external_observational_evidence_for_operational_claim.
dino_validates_event,v1tn_case_index: dino_validates_event.
hydromet_validates_event,v1tn_case_index: hydromet_validates_event.
hydromet_is_negative_evidence,v1tn_case_index: hydromet_is_negative_evidence.
absence_as_negative,v1tn_case_index: absence_as_negative.
notes,v1tn_case_index: notes.
