field,description
candidate_id,REV-P v1jm pseudo-absence candidate field: candidate_id.
candidate_type,REV-P v1jm pseudo-absence candidate field: candidate_type.
region,REV-P v1jm pseudo-absence candidate field: region.
source_evidence,REV-P v1jm pseudo-absence candidate field: source_evidence.
source_type,REV-P v1jm pseudo-absence candidate field: source_type.
coordinate_status,REV-P v1jm pseudo-absence candidate field: coordinate_status.
temporal_status,REV-P v1jm pseudo-absence candidate field: temporal_status.
phenomenon_status,REV-P v1jm pseudo-absence candidate field: phenomenon_status.
explicit_absence_or_stability_evidence,REV-P v1jm pseudo-absence candidate field: explicit_absence_or_stability_evidence.
distance_to_nearest_positive_anchor_m,REV-P v1jm pseudo-absence candidate field: distance_to_nearest_positive_anchor_m.
within_positive_buffer,REV-P v1jm pseudo-absence candidate field: within_positive_buffer.
environmental_stratum,REV-P v1jm pseudo-absence candidate field: environmental_stratum.
s2_status,REV-P v1jm pseudo-absence candidate field: s2_status.
s1_status,REV-P v1jm pseudo-absence candidate field: s1_status.
dem_status,REV-P v1jm pseudo-absence candidate field: dem_status.
dino_status,REV-P v1jm pseudo-absence candidate field: dino_status.
negative_evidence_status,REV-P v1jm pseudo-absence candidate field: negative_evidence_status.
pseudo_absence_status,REV-P v1jm pseudo-absence candidate field: pseudo_absence_status.
background_status,REV-P v1jm pseudo-absence candidate field: background_status.
pu_status,REV-P v1jm pseudo-absence candidate field: pu_status.
can_be_formal_negative,REV-P v1jm pseudo-absence candidate field: can_be_formal_negative.
can_be_pseudo_absence,REV-P v1jm pseudo-absence candidate field: can_be_pseudo_absence.
can_be_background_unlabeled,REV-P v1jm pseudo-absence candidate field: can_be_background_unlabeled.
can_create_training_label,REV-P v1jm pseudo-absence candidate field: can_create_training_label.
can_train_supervised_model,REV-P v1jm pseudo-absence candidate field: can_train_supervised_model.
can_train_pu_sandbox,REV-P v1jm pseudo-absence candidate field: can_train_pu_sandbox.
leakage_risk_status,REV-P v1jm pseudo-absence candidate field: leakage_risk_status.
scientific_claim_status,REV-P v1jm pseudo-absence candidate field: scientific_claim_status.
blocking_reason,REV-P v1jm pseudo-absence candidate field: blocking_reason.
minimum_evidence_needed,REV-P v1jm pseudo-absence candidate field: minimum_evidence_needed.
notes,REV-P v1jm pseudo-absence candidate field: notes.
