evidence_id,region,event_type,date_or_period,source_path,original_geometry_status,enriched_has_geometry,enriched_geometry_type,enriched_geometry_source,enriched_lat,enriched_lon,enriched_bbox,enriched_spatial_precision,enrichment_method,enrichment_confidence,can_link_to_patch_after_enrichment,can_be_ground_truth,allowed_for_training,review_only,enrichment_notes
EVID_OBS_0000,petropolis,flood_or_disaster_record,2022-02-20,outputs_public/tables/revp_observed_event_registry_v2dz.csv,flagged_unvalidated_no_coordinate,true,point_set,ground_reference_event_registry.csv;multi_anchor_multimodal_patch_registry.csv;official_coordinate_recovery_hardened_registry.csv;official_multi_anchor_registry.csv;v1uf_official_station_catalog_registry.csv,,,-43.291389;-22.539519;-34.944167;-8.018889,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
EVID_OBS_0001,petropolis,flood_or_disaster_record,2022-02-19,outputs_public/tables/revp_observed_event_registry_v2dz.csv,flagged_unvalidated_no_coordinate,true,point_set,ground_reference_event_registry.csv;multi_anchor_multimodal_patch_registry.csv;official_coordinate_recovery_hardened_registry.csv;official_multi_anchor_registry.csv;v1uf_official_station_catalog_registry.csv,,,-43.291389;-22.539519;-34.944167;-8.018889,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
EVID_OBS_0002,petropolis,flood_or_disaster_record,2022-02-22,outputs_public/tables/revp_observed_event_registry_v2dz.csv,flagged_unvalidated_no_coordinate,true,point_set,ground_reference_event_registry.csv;multi_anchor_multimodal_patch_registry.csv;official_coordinate_recovery_hardened_registry.csv;official_multi_anchor_registry.csv;v1uf_official_station_catalog_registry.csv,,,-43.291389;-22.539519;-34.944167;-8.018889,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
EVID_OBS_0003,petropolis,flood_or_disaster_record,2022-02-28,outputs_public/tables/revp_observed_event_registry_v2dz.csv,flagged_unvalidated_no_coordinate,true,point_set,ground_reference_event_registry.csv;multi_anchor_multimodal_patch_registry.csv;official_coordinate_recovery_hardened_registry.csv;official_multi_anchor_registry.csv;v1uf_official_station_catalog_registry.csv,,,-43.291389;-22.539519;-34.944167;-8.018889,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
EVID_OBS_0004,petropolis,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,flagged_unvalidated_no_coordinate,true,point_set,ground_reference_event_registry.csv;multi_anchor_multimodal_patch_registry.csv;official_coordinate_recovery_hardened_registry.csv;official_multi_anchor_registry.csv;v1uf_official_station_catalog_registry.csv,,,-43.291389;-22.539519;-34.944167;-8.018889,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
EVID_OBS_0005,petropolis,flood_or_disaster_record,2022-02-24,outputs_public/tables/revp_observed_event_registry_v2dz.csv,flagged_unvalidated_no_coordinate,true,point_set,ground_reference_event_registry.csv;multi_anchor_multimodal_patch_registry.csv;official_coordinate_recovery_hardened_registry.csv;official_multi_anchor_registry.csv;v1uf_official_station_catalog_registry.csv,,,-43.291389;-22.539519;-34.944167;-8.018889,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
EVID_OBS_0006,petropolis,flood_or_disaster_record,2022-02-23,outputs_public/tables/revp_observed_event_registry_v2dz.csv,flagged_unvalidated_no_coordinate,true,point_set,ground_reference_event_registry.csv;multi_anchor_multimodal_patch_registry.csv;official_coordinate_recovery_hardened_registry.csv;official_multi_anchor_registry.csv;v1uf_official_station_catalog_registry.csv,,,-43.291389;-22.539519;-34.944167;-8.018889,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
EVID_OBS_0007,petropolis,flood_or_disaster_record,2022-03-02,outputs_public/tables/revp_observed_event_registry_v2dz.csv,flagged_unvalidated_no_coordinate,true,point_set,ground_reference_event_registry.csv;multi_anchor_multimodal_patch_registry.csv;official_coordinate_recovery_hardened_registry.csv;official_multi_anchor_registry.csv;v1uf_official_station_catalog_registry.csv,,,-43.291389;-22.539519;-34.944167;-8.018889,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
EVID_OBS_0008,petropolis,flood_or_disaster_record,2022-03-01,outputs_public/tables/revp_observed_event_registry_v2dz.csv,flagged_unvalidated_no_coordinate,true,point_set,ground_reference_event_registry.csv;multi_anchor_multimodal_patch_registry.csv;official_coordinate_recovery_hardened_registry.csv;official_multi_anchor_registry.csv;v1uf_official_station_catalog_registry.csv,,,-43.291389;-22.539519;-34.944167;-8.018889,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
EVID_OBS_0009,petropolis,flood_or_disaster_record,2022-02-15,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,true,point_set,ground_reference_event_registry.csv;multi_anchor_multimodal_patch_registry.csv;official_coordinate_recovery_hardened_registry.csv;official_multi_anchor_registry.csv;v1uf_official_station_catalog_registry.csv,,,-43.291389;-22.539519;-34.944167;-8.018889,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
