reference_feature_id,region,source_id,feature_type,name,normalized_name,neighborhood,normalized_neighborhood,geometry_type,lat,lon,bbox,wkt,geojson_ref,crs,source_confidence,parse_confidence,review_only
S14AFEAT_000000,recife,S14AREF_0012,address_point,"Rua Doutor Cézar Montezuma, 46",rua doutor cezar montezuma,Ibura,ibura,point,-8.128689,-34.950349,-34.950349;-8.128689;-34.950349;-8.128689,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000001,recife,S14AREF_0012,address_point,"Rua Doutor Cézar Montezuma, 76",rua doutor cezar montezuma,Ibura,ibura,point,-8.128733,-34.950666,-34.950666;-8.128733;-34.950666;-8.128733,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000002,recife,S14AREF_0012,address_point,"Rua Doutor Cézar Montezuma, 86",rua doutor cezar montezuma,Ibura,ibura,point,-8.128687,-34.950784,-34.950784;-8.128687;-34.950784;-8.128687,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000003,recife,S14AREF_0012,address_point,"Rua Doutor Cézar Montezuma, 56",rua doutor cezar montezuma,Ibura,ibura,point,-8.128698,-34.950476,-34.950476;-8.128698;-34.950476;-8.128698,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000004,recife,S14AREF_0012,address_point,"Rua Doutor Cézar Montezuma, 95",rua doutor cezar montezuma,Ibura,ibura,point,-8.128669,-34.950856,-34.950856;-8.128669;-34.950856;-8.128669,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000005,recife,S14AREF_0012,address_point,"Rua Doutor Cézar Montezuma, 106",rua doutor cezar montezuma,Ibura,ibura,point,-8.12865,-34.950947,-34.950947;-8.12865;-34.950947;-8.12865,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000006,recife,S14AREF_0012,address_point,"Rua Doutor Cézar Montezuma, 126A",rua doutor cezar montezuma,Ibura,ibura,point,-8.128613,-34.951119,-34.951119;-8.128613;-34.951119;-8.128613,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000007,recife,S14AREF_0012,address_point,"Rua Doutor Cézar Montezuma,126B",rua doutor cezar montezuma,Ibura,ibura,point,-8.128604,-34.951174,-34.951174;-8.128604;-34.951174;-8.128604,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000008,recife,S14AREF_0012,address_point,"1º Travessa Doutor Cézar Montezuma, 60",travessa doutor cezar montezuma,Ibura,ibura,point,-8.128322,-34.951426,-34.951426;-8.128322;-34.951426;-8.128322,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000009,recife,S14AREF_0012,address_point,"1º Travessa Doutor Cézar Montezuma, 61",travessa doutor cezar montezuma,Ibura,ibura,point,-8.128313,-34.951417,-34.951417;-8.128313;-34.951417;-8.128313,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
