event_id,source_lineage,region,municipality,event_type,event_date,event_period_start,event_period_end,source_institution,source_title,source_url,local_file_path,evidence_level,georeferencing_status,geometry_type,lat,lon,bbox,wkt,geojson_ref,crs,spatial_precision,temporal_precision,is_observed_event,source_confidence,geocoding_confidence,priority_rank,duplicate_group_id,duplicate_candidate,preferred_record,requires_manual_review,can_be_ground_truth,can_be_used_as_ground_truth,allowed_for_training,review_only,consolidation_notes
SUSC14A_00000,susc_13a,recife,Recife,unknown,,,,INEA/RJ,patch_boundary_REC_00019_from_lineage.geojson,datasets/external_sources/recife_minimal_tp/derived/patch_boundary_REC_00019_from_lineage.geojson,datasets/external_sources/recife_minimal_tp/derived/patch_boundary_REC_00019_from_lineage.geojson,documentary_only,explicit_geometry,polygon,,,-34.989584;-8.227246;-34.980193;-8.21807,,datasets/external_sources/recife_minimal_tp/derived/patch_boundary_REC_00019_from_lineage.geojson,EPSG:4326,neighborhood,unknown,false,medium,,5,DUPG14A_00027,false,true,true,false,false,false,true,herdado de 13C (susc_13a); origem=susc_13a; orig_id=SUSC13A_00000
SUSC14A_00001,susc_13a,recife,Recife,urban_flooding,2022-05-24,2022-05-24,2022-05-30,International Charter,event_polygon_REC_2022_05_24_30_charter758_digitized_candidate.geojson,datasets/external_sources/recife_minimal_tp/event_polygon_REC_2022_05_24_30/charter758/derived/event_polygon_REC_2022_05_24_30_charter758_digitized_candidate.geojson,datasets/external_sources/recife_minimal_tp/event_polygon_REC_2022_05_24_30/charter758/derived/event_polygon_REC_2022_05_24_30_charter758_digitized_candidate.geojson,moderate_official_flood_bbox,explicit_geometry,polygon,,,-34.941752;-8.001308;-34.920971;-7.981592,,datasets/external_sources/recife_minimal_tp/event_polygon_REC_2022_05_24_30/charter758/derived/event_polygon_REC_2022_05_24_30_charter758_digitized_candidate.geojson,EPSG:4326,neighborhood,period,true,medium,,50,DUPG14A_00019,false,true,true,false,false,false,true,herdado de 13C (susc_13a); origem=susc_13a; orig_id=SUSC13A_00001
SUSC14A_00002,susc_13a,recife,Recife,unknown,2022-05-24,2022-05-24,2022-05-30,Defesa Civil,recife_defesa_civil_risk_locations.geojson,datasets/external_sources/recife_minimal_tp/event_polygon_REC_2022_05_24_30/raw/recife_defesa_civil_risk_locations.geojson,datasets/external_sources/recife_minimal_tp/event_polygon_REC_2022_05_24_30/raw/recife_defesa_civil_risk_locations.geojson,weak_risk_area_context,explicit_geometry,point_set,,,-34.957271;-8.138517;-34.929074;-8.10852,,datasets/external_sources/recife_minimal_tp/event_polygon_REC_2022_05_24_30/raw/recife_defesa_civil_risk_locations.geojson,EPSG:4326,neighborhood,period,false,medium,,10,DUPG14A_00020,false,true,true,false,false,false,true,herdado de 13C (susc_13a); origem=susc_13a; orig_id=SUSC13A_00002
SUSC14A_00003,susc_13a,recife,Recife,unknown,,,,Defesa Civil,recife_defesa_civil_risk_areas_geojson.geojson,datasets/external_sources/recife_minimal_tp/raw/recife_defesa_civil_risk_areas_geojson.geojson,datasets/external_sources/recife_minimal_tp/raw/recife_defesa_civil_risk_areas_geojson.geojson,weak_risk_area_context,explicit_geometry,point_set,,,-34.957271;-8.138517;-34.929074;-8.10852,,datasets/external_sources/recife_minimal_tp/raw/recife_defesa_civil_risk_areas_geojson.geojson,EPSG:4326,neighborhood,unknown,false,medium,,10,DUPG14A_00026,false,true,true,false,false,false,true,herdado de 13C (susc_13a); origem=susc_13a; orig_id=SUSC13A_00003
SUSC14A_00004,susc_13a,petropolis,Petropolis,flash_flood,,,,unknown,ground_reference_event_registry.csv,datasets/ground_reference_event_registry.csv,datasets/ground_reference_event_registry.csv,moderate_official_occurrence_point,explicit_geometry,point_set,,,-43.211257;-22.539291;-43.169978;-22.484251,,,EPSG:4326,neighborhood,unknown,true,medium,,70,DUPG14A_00000,false,true,true,false,false,false,true,herdado de 13C (susc_13a); origem=susc_13a; orig_id=SUSC13A_00006
SUSC14A_00005,susc_13a,recife,Recife,unknown,,,,INMET,protocol_c_inmet_canonical_station_registry_v1ta.csv,datasets/protocol_c_inmet_canonical_station_registry_v1ta.csv,datasets/protocol_c_inmet_canonical_station_registry_v1ta.csv,weak_administrative_context,explicit_geometry,point_set,,,-49.230556;-25.448611;-34.959167;-8.059167,,,EPSG:4326,neighborhood,unknown,false,medium,,0,DUPG14A_00028,false,true,true,false,false,false,true,herdado de 13C (susc_13a); origem=susc_13a; orig_id=SUSC13A_00010
SUSC14A_00006,susc_13a,petropolis,Petropolis,unknown,,,,unknown,v1uf_official_station_catalog_registry.csv,datasets/protocolo_c/v1uf_official_station_catalog_registry.csv,datasets/protocolo_c/v1uf_official_station_catalog_registry.csv,weak_administrative_context,explicit_geometry,point_set,,,-43.291389;-22.464722;-34.944167;-8.018889,,,EPSG:4326,neighborhood,unknown,false,medium,,0,DUPG14A_00001,false,true,true,false,false,false,true,herdado de 13C (susc_13a); origem=susc_13a; orig_id=SUSC13A_00012
SUSC14A_00007,susc_13c_live,unknown,unknown,unknown,,,,unknown,ArcGIS/WFS probe,datasets/suscetibilidade/observed_event_sources_susc13c_live/arcgis/recife_diamente_brasil_MapServer_2.geojson,datasets/suscetibilidade/observed_event_sources_susc13c_live/arcgis/recife_diamente_brasil_MapServer_2.geojson,weak_risk_area_context,explicit_geometry,point_set,,,-63.877778;-24.288258;-37.943984;4.783333,,datasets/suscetibilidade/observed_event_sources_susc13c_live/arcgis/recife_diamente_brasil_MapServer_2.geojson,EPSG:4326,neighborhood,unknown,false,low,,10,DUPG14A_00030,false,true,true,false,false,false,true,herdado de 13C (susc_13c_live); origem=susc_13c_live; orig_id=SUSC13C_00000
SUSC14A_00008,susc_13c_live,recife,Recife,urban_flooding,,,,unknown,Prefeitura/Dados Abertos Recife,https://dados.recife.pe.gov.br:443/dataset/c1d733d9-5867-481e-9c18-5fe572300ab2/resource/ec18759d-fac2-445e-ae72-af9d9210b831/download/coordenadas-geograficas-da-regiao-sul.geojson,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,documentary_only,explicit_geometry,point_set,,,-34.957271;-8.138517;-34.929074;-8.10852,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,neighborhood,unknown,false,low,,5,DUPG14A_00025,false,true,true,false,false,false,true,herdado de 13C (susc_13c_live); origem=susc_13c_live; orig_id=SUSC13C_00001
SUSC14A_00009,susc_14a_geocoded,recife,Recife,urban_flooding,2014-07-13,,,Defesa Civil Recife (atendimentos),"Alagamentos Analise Visual Estrutural Monitoramento Alagado | Rua Ecoporanga, ^[{",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00003,true,true,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Ibura
