local_geometry_id,source_path,region,municipality,source_name,source_type,event_type,event_date,event_period_start,event_period_end,geometry_type,lat,lon,bbox,wkt,geojson_ref,crs,evidence_tier,source_confidence,parse_confidence,is_direct_event_geometry,is_flood_footprint,is_risk_area,is_susceptibility_reference,calibration_eligible_candidate,review_only,notes
S16ALOCG_00000,PROJECT_ROOT/data/dataset_final.csv,unknown,unknown,dataset_final.csv,local_event_polygon_candidate,flood,,,,,,,,,,EPSG:4326_or_source_unknown,T0_local_official_flood_footprint,medium,low,true,true,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00001,PROJECT_ROOT/data/patch_selection.csv,unknown,unknown,patch_selection.csv,local_event_polygon_candidate,flood,,,,,,,,,,EPSG:4326_or_source_unknown,T0_local_official_flood_footprint,medium,low,true,true,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00002,PROJECT_ROOT/docs/fase2_external_validation_local_inventory.csv,unknown,unknown,fase2_external_validation_local_inventory.csv,non_event_context,context,,,,,,,,,,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00003,PROJECT_ROOT/docs/fase2_patch_boxes_for_external_validation_sample.geojson,unknown,unknown,fase2_patch_boxes_for_external_validation_sample.geojson,official_flood_footprint_candidate,flood,,,,Polygon,,,-49.38937432;-25.59495291;-49.20072811;-25.56254196,,PROJECT_ROOT/docs/fase2_patch_boxes_for_external_validation_sample.geojson,EPSG:4326_or_source_unknown,T0_local_official_flood_footprint,medium,medium,true,true,false,false,true,true,sem data explicita extraida; elegibilidade permanece candidata review-only
S16ALOCG_00048,PROJECT_ROOT/data/external_official_sources/petropolis_sgb_rigeo/metadata/petropolis_sidecar_candidates_from_zips.csv,petropolis,petropolis,petropolis_sidecar_candidates_from_zips.csv,local_event_polygon_candidate,flood,,,,,,,,,,EPSG:4326_or_source_unknown,T0_local_official_flood_footprint,medium,low,true,true,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00049,PROJECT_ROOT/data/external_official_sources/petropolis_sgb_rigeo/metadata/petropolis_sidecar_candidates_v3.csv,petropolis,petropolis,petropolis_sidecar_candidates_v3.csv,local_event_polygon_candidate,flood,,,,,,,,,,EPSG:4326_or_source_unknown,T0_local_official_flood_footprint,medium,low,true,true,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00050,PROJECT_ROOT/data/external_official_sources/petropolis_sgb_rigeo/metadata/petropolis_zip_metadata_entries_v5.csv,petropolis,petropolis,petropolis_zip_metadata_entries_v5.csv,local_event_polygon_candidate,flood,,,,,,,,,,EPSG:4326_or_source_unknown,T0_local_official_flood_footprint,medium,low,true,true,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00051,PROJECT_ROOT/data/external_validation_assets/petropolis_sgb_cprm/processed_v1af/sig_petropolis_rj_suscet/Curvas_de_nivel/curvas_nivel_espaco_20m_sirgas_utm.shp.xml,petropolis,petropolis,curvas_nivel_espaco_20m_sirgas_utm.shp.xml,official_susceptibility_map_only,context,,,,,,,json_parse_failed,,,EPSG:4326_or_source_unknown,T3_local_susceptibility_reference,medium,low,false,false,false,true,false,true,contexto ou geometria insuficiente
S16ALOCG_00052,PROJECT_ROOT/data/external_validation_assets/petropolis_sgb_cprm/processed_v1af/sig_petropolis_rj_suscet/Dados_hidrologicos/isoietas anuais medias.xml,petropolis,petropolis,isoietas anuais medias.xml,official_susceptibility_map_only,context,,,,,,,json_parse_failed,,,EPSG:4326_or_source_unknown,T3_local_susceptibility_reference,medium,low,false,false,false,true,false,true,contexto ou geometria insuficiente
S16ALOCG_00053,PROJECT_ROOT/data/external_validation_assets/petropolis_sgb_cprm/processed_v1af/sig_petropolis_rj_suscet/Feicoes/Campo_de_Blocos_A.shp.xml,petropolis,petropolis,Campo_de_Blocos_A.shp.xml,official_susceptibility_map_only,context,,,,,,,json_parse_failed,,,EPSG:4326_or_source_unknown,T3_local_susceptibility_reference,medium,low,false,false,false,true,false,true,contexto ou geometria insuficiente
S16ALOCG_00054,PROJECT_ROOT/data/external_validation_assets/petropolis_sgb_cprm/processed_v1af/sig_petropolis_rj_suscet/Feicoes/Cicatriz_Ponto_P.shp.xml,petropolis,petropolis,Cicatriz_Ponto_P.shp.xml,official_susceptibility_map_only,context,,,,,,,json_parse_failed,,,EPSG:4326_or_source_unknown,T3_local_susceptibility_reference,medium,low,false,false,false,true,false,true,contexto ou geometria insuficiente
S16ALOCG_00055,PROJECT_ROOT/data/external_validation_assets/petropolis_sgb_cprm/processed_v1af/sig_petropolis_rj_suscet/Feicoes/Deposito_Acumulacao_Encosta_A.shp.xml,petropolis,petropolis,Deposito_Acumulacao_Encosta_A.shp.xml,official_susceptibility_map_only,context,,,,,,,json_parse_failed,,,EPSG:4326_or_source_unknown,T3_local_susceptibility_reference,medium,low,false,false,false,true,false,true,contexto ou geometria insuficiente
S16ALOCG_00056,PROJECT_ROOT/data/external_validation_assets/petropolis_sgb_cprm/processed_v1af/sig_petropolis_rj_suscet/Feicoes/Feicoes_Erosivas_P.shp.xml,petropolis,petropolis,Feicoes_Erosivas_P.shp.xml,official_susceptibility_map_only,context,,,,,,,json_parse_failed,,,EPSG:4326_or_source_unknown,T3_local_susceptibility_reference,medium,low,false,false,false,true,false,true,contexto ou geometria insuficiente
S16ALOCG_00057,PROJECT_ROOT/data/external_validation_assets/petropolis_sgb_cprm/processed_v1af/sig_petropolis_rj_suscet/Feicoes/Lineamento_L.shp.xml,petropolis,petropolis,Lineamento_L.shp.xml,official_susceptibility_map_only,context,,,,,,,json_parse_failed,,,EPSG:4326_or_source_unknown,T3_local_susceptibility_reference,medium,low,false,false,false,true,false,true,contexto ou geometria insuficiente
S16ALOCG_00058,PROJECT_ROOT/data/external_validation_assets/petropolis_sgb_cprm/processed_v1af/sig_petropolis_rj_suscet/Feicoes/Paredao_Rochoso_A.shp.xml,petropolis,petropolis,Paredao_Rochoso_A.shp.xml,official_susceptibility_map_only,context,,,,,,,json_parse_failed,,,EPSG:4326_or_source_unknown,T3_local_susceptibility_reference,medium,low,false,false,false,true,false,true,contexto ou geometria insuficiente
S16ALOCG_00059,PROJECT_ROOT/data/external_validation_assets/petropolis_sgb_cprm/processed_v1af/sig_petropolis_rj_suscet/Geologia/Estrutural_100000.shp.xml,petropolis,petropolis,Estrutural_100000.shp.xml,official_susceptibility_map_only,context,,,,,,,json_parse_failed,,,EPSG:4326_or_source_unknown,T3_local_susceptibility_reference,medium,low,false,false,false,true,false,true,contexto ou geometria insuficiente
S16ALOCG_00060,PROJECT_ROOT/data/external_validation_assets/petropolis_sgb_cprm/processed_v1af/sig_petropolis_rj_suscet/Geologia/Litologia_100000.shp.xml,petropolis,petropolis,Litologia_100000.shp.xml,official_susceptibility_map_only,context,,,,,,,json_parse_failed,,,EPSG:4326_or_source_unknown,T3_local_susceptibility_reference,medium,low,false,false,false,true,false,true,contexto ou geometria insuficiente
