repository_candidate_id,repository_name,institution,region,event_id,search_term,query_url_or_api,dataset_title,dataset_url,resource_name,resource_url,resource_format,download_attempted,download_status,local_audit_status,geometry_available,crs_available,event_date_available,event_date_compatible,phenomenon_available,observed_not_risk,phenomenon_separable,patch_level_candidate,classification_status,blocking_reason,next_repository_action,notes
RIGEO_PET_001,RIGeo / SGB-CPRM,SGB/CPRM,PET,PET_2022_02_15,Petropolis 2022 pos-desastre avaliacao tecnica,https://rigeo.sgb.gov.br/handle/doc/22668,Avaliacao tecnica pos-desastre: Petropolis RJ (2022),https://rigeo.sgb.gov.br/handle/doc/22668,Relatorio_Petropolis_2022_SGB_CPRM.zip,https://rigeo.sgb.gov.br/bitstream/doc/22668/1/Relatorio_Petropolis_2022_SGB_CPRM.zip,ZIP,NO,ALREADY_LOCAL_V1IF,AUDITED_V1IF_V1IH,NO,NO,YES,PASS,YES,UNKNOWN,UNKNOWN,UNKNOWN,CARTOGRAPHIC_LEAD_ONLY,gate_02_no_geometry_vector; zip_contains_only_pdfs_audited_v1if,Buscar outros itens do repositorio RIGeo com anexos vetoriais. Explorar metadados de levantamento pos-desastre.,ZIP com 11 PDFs de avaliacao de campo por bairro. Auditado em v1if: sem vetores diretos no ZIP. prior_audit_reference=v1if. vector_found_in_known_zip=false.
RIGEO_PET_002,RIGeo / SGB-CPRM,SGB/CPRM,PET,PET_2022_02_15,cicatriz deslizamento Petropolis 2022,https://rigeo.sgb.gov.br/handle/doc/22668,SIG pos-desastre Petropolis 2022 -- SGB/CPRM,https://rigeo.sgb.gov.br/handle/doc/22668,Cicatriz_Area_A.shp (no ZIP SIG),https://rigeo.sgb.gov.br/handle/doc/22668,SHP,NO,ALREADY_LOCAL_V1IF,AUDITED_V1IF_V1IH,YES,YES,NO,FAIL,YES,YES,YES,UNKNOWN,BLOCKED_NO_DATE,gate_04_no_event_date; cicatrizes_cumulativas_sem_data_especifica,Buscar metadados de levantamento em catalogo SGB/CPRM. Verificar se ha versao datada ou produto pos-2022-02-15.,Shapefiles de cicatriz auditados localmente em v1ih. 444 feicoes de deslizamento. Sem campo de data de evento. Auditado em v1ih como PET_LOCAL_005: BLOCKED_NO_DATE.
CKAN_REC_001,Portal Dados Abertos Recife,Prefeitura Recife / SECED,REC,REC_2022_05_24_30,defesa civil coordenadas regiao sul,https://dados.recife.pe.gov.br/api/3/action/package_search,Defesa Civil - Coordenadas Geograficas Regiao Sul e Sudoeste,https://dados.recife.pe.gov.br/dataset/defesa-civil-coordenadas,defesa_civil__coordenadas_geograficas_da_regiao_sul_e_sudoeste.geojson,https://dados.recife.pe.gov.br/dataset/defesa-civil-coordenadas,GeoJSON,NO,ALREADY_LOCAL_V1IH,AUDITED_V1IH,YES,YES,NO,FAIL,YES,NO,UNKNOWN,POINT_ONLY,RISK_SUSCEPTIBILITY_ONLY,gate_07_risco_permanente_nao_ocorrencia_de_evento,Buscar dataset de atendimentos ou ocorrencias com data de 2022,400 pontos de risco permanente. Auditado v1ih como REC_LOCAL_005: RISK_SUSCEPTIBILITY_ONLY.
CKAN_REC_002,Portal Dados Abertos Recife,Prefeitura Recife / SECED,REC,REC_2022_05_24_30,atendimentos defesa civil 2022,https://dados.recife.pe.gov.br/api/3/action/package_search,Registro de Atendimentos da Defesa Civil - 2022,https://dados.recife.pe.gov.br/dataset/atendimentos-defesa-civil,registro_de_atendimentos_da_defesa_civil__atendimentos_2022.csv,https://dados.recife.pe.gov.br/dataset/atendimentos-defesa-civil,CSV,NO,ALREADY_LOCAL_V1IH,AUDITED_V1IH,YES,YES,YES,PASS,NO,YES,NO,POINT_ONLY,EVENT_CONFIRMATION_ONLY,gate_06_sem_fenomeno; gate_09_ponto_sem_poligono,Buscar dataset de areas afetadas com tipo de ocorrencia para Recife 2022,Auditado v1ih como REC_LOCAL_007: EVENT_CONFIRMATION_ONLY. Confirma eventos 2022 com data e coordenadas mas sem fenomeno explicito e sem poligono de area atingida.
CKAN_PE_001,Dados Abertos Pernambuco / APAC,Governo PE / APAC,REC,REC_2022_05_24_30,alertas chuva pernambuco 2022,https://dados.pe.gov.br/api/3/action/package_search,Dados de Alertas e Ocorrencias de Chuva -- APAC/PE (2022),https://dados.pe.gov.br,N/A,,UNKNOWN,NO,NOT_ATTEMPTED,NOT_AUDITED,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SCAN_FAILED_CONTROLLED,portal_not_confirmed_ckan; no_vector_confirmed_public,Verificar se APAC tem endpoint de dados abertos ou catalogo de mapas publico,Portal Dados Abertos PE nao confirmado como instancia CKAN. APAC disponibiliza boletins textuais e mapas. Nenhum vetor confirmado publicamente acessivel.
DADOS_RJ_001,Dados Abertos RJ / DRM-RJ,Governo RJ / DRM-RJ,PET,PET_2022_02_15,Petropolis DRM carta risco cicatriz deslizamento 2022,https://dados.rj.gov.br/api/3/action/package_search,DRM-RJ -- Cartas de Risco e Mapeamentos Geologicos (Petropolis),http://www.drm.rj.gov.br/index.php/downloads/category/10-mapas-de-suscetibilidade-a-movimentos-de-massa,Cartas DRM-RJ -- PDFs e SHPs (catalogo nao confirmado publicamente),http://www.drm.rj.gov.br,UNKNOWN,NO,NOT_ATTEMPTED,NOT_AUDITED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CARTOGRAPHIC_LEAD_ONLY,no_confirmed_public_vector_for_observed_event_2022,Explorar catalogo DRM-RJ e verificar se ha vetor de ocorrencia datado 2022-02-15,DRM-RJ publica cartas de risco/suscetibilidade. Arquivos SHP de suscetibilidade podem estar no acervo mas sem confirmacao de endpoint publico com vetor datado de ocorrencia 2022.
DADOS_RJ_002,Dados Abertos RJ / DRM-RJ,Governo RJ / DRM-RJ,PET,PET_2022_02_15,Petropolis alagamento inundacao dados.rj.gov.br 2022,https://dados.rj.gov.br/api/3/action/package_search,Portal Dados Abertos RJ -- busca por desastres Petropolis 2022,https://dados.rj.gov.br,N/A -- nao confirmado,,UNKNOWN,NO,NOT_ATTEMPTED,NOT_AUDITED,NO,NO,YES,PASS,UNKNOWN,UNKNOWN,UNKNOWN,MUNICIPAL_ONLY,EVENT_CONFIRMATION_ONLY,gate_02_no_geometry_vector; gate_09_municipal_only,Buscar camadas vetoriais especificas de ocorrencia em dados.rj.gov.br,Portal dados.rj.gov.br nao confirma dataset especifico de vetores observados de ocorrencias do evento 2022-02-15. Confirmacao de evento disponivel em Atlas Digital e S2ID.
GEOCTB_001,GeoCuritiba / IPPUC,Prefeitura Curitiba / IPPUC,CTB,CTB_unknown,zee inundacoes ocorrencia curitiba,https://www.curitiba.pr.gov.br/conteudo/geoprocessamento,ZEE Inundacoes Ocorrencia Curitiba -- GeoCuritiba/IPPUC,https://www.curitiba.pr.gov.br/conteudo/geoprocessamento,zee_inundacoes_ocorrencia_curitiba.geojson,https://www.curitiba.pr.gov.br/conteudo/geoprocessamento,GeoJSON,NO,NOT_ATTEMPTED,AUDITED_V1IH,YES,YES,NO,FAIL,YES,UNKNOWN,UNKNOWN,MUNICIPAL_ONLY,BLOCKED_NO_DATE,gate_04_no_event_date; gate_09_municipal_boundary_only,Buscar camadas ArcGIS REST com data de ocorrencia especifica,1 poligono de limite municipal sem campo de data. Auditado v1ih como CTB_LOCAL_001: BLOCKED_NO_DATE.
GEOCTB_002,GeoCuritiba / IPPUC,Prefeitura Curitiba / IPPUC,CTB,CTB_unknown,alagamento ponto drenagem defesa civil curitiba,https://geoportal.curitiba.pr.gov.br/arcgis/rest/services,Camadas ArcGIS REST GeoCuritiba -- alagamento e drenagem,https://geoportal.curitiba.pr.gov.br/arcgis/rest/services,FeatureServer layers (nao auditadas),https://geoportal.curitiba.pr.gov.br/arcgis/rest/services,API,NO,NOT_ATTEMPTED,NOT_AUDITED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CARTOGRAPHIC_LEAD_ONLY,layers_not_audited; endpoint_not_confirmed,"Varrer ArcGIS REST: listar services, detectar camadas com alagamento/ocorrencia/data",Endpoint ArcGIS REST potencial. Camadas nao auditadas individualmente -- requer varredura de services e layers com termos de alagamento/ocorrencia.
DATAGOV_001,dados.gov.br / S2ID / Atlas Digital,MIDR / Governo Federal,PET,PET_2022_02_15,Atlas Desastres Petropolis 2022 COBRADE inundacao,https://dados.gov.br/api/3/action/package_search,Atlas Digital de Desastres no Brasil -- Petropolis 2022,https://atlasdigital.mdr.gov.br,Fichas de evento -- municipal,https://atlasdigital.mdr.gov.br,UNKNOWN,NO,NOT_ATTEMPTED,NOT_AUDITED,NO,NO,YES,PASS,YES,UNKNOWN,UNKNOWN,MUNICIPAL_ONLY,EVENT_CONFIRMATION_ONLY,gate_02_sem_geometria; gate_09_nivel_municipal,Buscar export com COBRADE + geometria em dados.gov.br ou S2ID,Atlas confirma evento PET 2022-02-15 com COBRADE e data. Dados municipais sem geometria de ocorrencia. Auditado v1ih OPEN_SRC_003: CONFIRMS_EVENTS_NO_GEOMETRY.
