package_id,previous_promotion_decision,previous_blocking_reason,has_patch_overlay_before,has_patch_overlay_after,intersection_ratio,overlay_status,new_promotion_candidate_level,new_promotion_decision,new_allowed_use,remaining_blocking_reason,requires_human_review,can_create_operational_label
PKG_00923c8e1244,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_0269a2b9f726,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,candidate_reference,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_0338ac4134d7,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_047ff94b1a0b,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_05693e800d62,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,candidate_reference,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_05d3dbe025c9,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,candidate_reference,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_063c1dabd825,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_063f729dbf62,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_0701453e285d,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,candidate_reference,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_0aa8880dda1a,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
