risk_area_id,source_file,feature_index,geometry_type,crs,area_m2,bbox_minx,bbox_miny,bbox_maxx,bbox_maxy,attributes_summary,geometry_hash,allowed_use,blocking_reason,notes
V2BC_RISK_6d4d6c4ed6ce,raw/recife_defesa_civil_risk_areas_geojson.geojson,0,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.95034853339757,-8.128689138812916,-34.95034853339757,-8.128689138812916,"Bairro=Ibura; Descrição=Área de Risco Nível 3; Endereço=Rua Doutor Cézar Montezuma, 46; Latitude=-8.128689; Localidade=Lagoa Encantada; Longitude=-34.950349; Regional=Sul",fede0956ae53b271fbf74da1919a19e25de6704b2f8d7cf2ce2e5306b1e58745,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_c3d1e6d9fdc0,raw/recife_defesa_civil_risk_areas_geojson.geojson,1,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.95066627369747,-8.128732816278323,-34.95066627369747,-8.128732816278323,"Bairro=Ibura; Descrição=Área de Risco Nível 3; Endereço=Rua Doutor Cézar Montezuma, 76; Latitude=-8.128733; Localidade=Lagoa Encantada; Longitude=-34.950666; Regional=Sul",d8e2de22ec7db9a8cd223402c7275c94ea240faefcad8f61b566cb46585c7040,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_fd7ef1db45e5,raw/recife_defesa_civil_risk_areas_geojson.geojson,2,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.95078399192161,-8.128687049182556,-34.95078399192161,-8.128687049182556,"Bairro=Ibura; Descrição=Área de Risco Nível 3; Endereço=Rua Doutor Cézar Montezuma, 86; Latitude=-8.128687; Localidade=Lagoa Encantada; Longitude=-34.950784; Regional=Sul",d63f2cbef5f47e680ac40af4c6c252b9292a08b79de8584c402893014d1c5e89,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_08386c25c6f8,raw/recife_defesa_civil_risk_areas_geojson.geojson,3,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.95047558583095,-8.128697569608192,-34.95047558583095,-8.128697569608192,"Bairro=Ibura; Descrição=Deslizamento; Endereço=Rua Doutor Cézar Montezuma, 56; Latitude=-8.128698; Localidade=Lagoa Encantada; Longitude=-34.950476; Regional=Sul",5ade08be79d49132404708491072a6cddcbc7ee54be32b0dcc20707a0053b749,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_10aaaa76ae90,raw/recife_defesa_civil_risk_areas_geojson.geojson,4,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.950856480943656,-8.128668620424282,-34.950856480943656,-8.128668620424282,"Bairro=Ibura; Descrição=Área de Risco Nível 3; Endereço=Rua Doutor Cézar Montezuma, 95; Latitude=-8.128669; Localidade=Lagoa Encantada; Longitude=-34.950856; Regional=Sul",764f6981e54846122bfca0783f9f25536647e84ee372e881ae807f869a25e39e,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_c2550d7fc6b3,raw/recife_defesa_civil_risk_areas_geojson.geojson,5,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.95094711405562,-8.12865010457051,-34.95094711405562,-8.12865010457051,"Bairro=Ibura; Descrição=Ponto de Colocação de Lona; Endereço=Rua Doutor Cézar Montezuma, 106; Latitude=-8.12865; Localidade=Lagoa Encantada; Longitude=-34.950947; Regional=Sul",a9f8db8d975da8faac935beb14f152944744516bb57cc15970ab63bb9cf6deed,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_a53118e7a3c4,raw/recife_defesa_civil_risk_areas_geojson.geojson,6,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.95111930819287,-8.128613116354158,-34.95111930819287,-8.128613116354158,"Bairro=Ibura; Descrição=Área de Risco Nível 3; Endereço=Rua Doutor Cézar Montezuma, 126A; Latitude=-8.128613; Localidade=Lagoa Encantada; Longitude=-34.951119; Regional=Sul",6e01c37cecee4b519ac72c54c078f3f8a255489393fc58a8a278fbd2dc1e63b9,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_4787bd2e14a2,raw/recife_defesa_civil_risk_areas_geojson.geojson,7,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.951173696778945,-8.128603814856142,-34.951173696778945,-8.128603814856142,"Bairro=Ibura; Descrição=Área de Risco Nível 3; Endereço=Rua Doutor Cézar Montezuma,126B; Latitude=-8.128604; Localidade=Lagoa Encantada; Longitude=-34.951174; Regional=Sul",9b124ebf4e32979355d0eea6d67d2bda4829972f6ee11159eba6eb77a60e69c7,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_4dedf5dc287b,raw/recife_defesa_civil_risk_areas_geojson.geojson,8,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.95142635922227,-8.128322348712171,-34.95142635922227,-8.128322348712171,"Bairro=Ibura; Descrição=Área de Risco Nível 3; Endereço=1º Travessa Doutor Cézar Montezuma, 60; Latitude=-8.128322; Localidade=Lagoa Encantada; Longitude=-34.951426; Regional=Sul",1f9d20181a40e6efeeb4f839a9e124fdb2451328c3bbd7e142b9c51ea2d8ed1c,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_c27f90621c35,raw/recife_defesa_civil_risk_areas_geojson.geojson,9,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.95141724347826,-8.128313352045526,-34.95141724347826,-8.128313352045526,"Bairro=Ibura; Descrição=Área de Risco Nível 3; Endereço=1º Travessa Doutor Cézar Montezuma, 61; Latitude=-8.128313; Localidade=Lagoa Encantada; Longitude=-34.951417; Regional=Sul",70540a87ea4e0786f221b798e4d505c71e0cddcceea4a003b9c4e9309b534bf7,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_e983bde87a26,raw/recife_defesa_civil_risk_areas_geojson.geojson,10,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.95140049794808,-8.128602726116227,-34.95140049794808,-8.128602726116227,"Bairro=Ibura; Descrição=Ponto de Colocação de Lona; Endereço=Rua Doutor Cézar Montezuma, 129; Latitude=-8.128603; Localidade=Lagoa Encantada; Longitude=-34.9514; Regional=Sul",681bf69460c9bfbb14a824f9da5cda5763db0e93542f7e62d1daa6018dc7bd69,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_2385b253d27e,raw/recife_defesa_civil_risk_areas_geojson.geojson,11,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.951455236171974,-8.128665746321714,-34.951455236171974,-8.128665746321714,"Bairro=Ibura; Descrição=Área de Risco Nível 3; Endereço=Rua Doutor Cézar Montezuma, 136; Latitude=-8.128666; Localidade=Lagoa Encantada; Longitude=-34.951455; Regional=Sul",698437bb20c097576725ffdac79a1c630165d5dec637d6c97664b1d792d4c64d,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_c5a0c7eeb704,raw/recife_defesa_civil_risk_areas_geojson.geojson,12,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.95150037786803,-8.128620327464985,-34.95150037786803,-8.128620327464985,"Bairro=Ibura; Descrição=Área de Risco Nível 3; Endereço=Rua Doutor Cézar Montezuma, 140; Latitude=-8.12862; Localidade=Lagoa Encantada; Longitude=-34.9515; Regional=Sul",59e790d7159b313d0dd0b00644437d9c23f301edcedf2c176cf0dc58f8a91615,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
