gate_id,turning_point_level,gate_name,required_condition,observed_value,gate_passed,severity,blocking_reason,recommended_action,notes
V2BG_GATE_3826b35ce310,TP2_DIGITIZATION_READY_FROM_PUBLIC_CHARTER_PRODUCT,CHARTER_01_ACTIVATION_PAGE_ARCHIVED,charter_01_activation_page_archived,passed=true,true,blocking,,Preserve guardrail,Digitization-ready is not TP2 final.
V2BG_GATE_508fb9dd968f,TP2_DIGITIZATION_READY_FROM_PUBLIC_CHARTER_PRODUCT,CHARTER_02_PRODUCTS_ENUMERATED,charter_02_products_enumerated,passed=true,true,blocking,,Preserve guardrail,Digitization-ready is not TP2 final.
V2BG_GATE_3775dc7dd4ce,TP2_DIGITIZATION_READY_FROM_PUBLIC_CHARTER_PRODUCT,CHARTER_03_RECIFE_PRODUCT_IDENTIFIED,charter_03_recife_product_identified,passed=true,true,blocking,,Preserve guardrail,Digitization-ready is not TP2 final.
V2BG_GATE_c236adfee1b1,TP2_DIGITIZATION_READY_FROM_PUBLIC_CHARTER_PRODUCT,CHARTER_04_INTERNAL_ENDPOINTS_PROBED,charter_04_internal_endpoints_probed,passed=true,true,blocking,,Preserve guardrail,Digitization-ready is not TP2 final.
V2BG_GATE_1381d2da2a7b,TP2_DIGITIZATION_READY_FROM_PUBLIC_CHARTER_PRODUCT,CHARTER_05_DOWNLOADS_ATTEMPTED,charter_05_downloads_attempted,passed=true,true,blocking,,Preserve guardrail,Digitization-ready is not TP2 final.
V2BG_GATE_b890b4114504,TP2_DIGITIZATION_READY_FROM_PUBLIC_CHARTER_PRODUCT,CHARTER_06_OFFICIAL_PRODUCT_ARCHIVED,charter_06_official_product_archived,passed=true,true,blocking,,Preserve guardrail,Digitization-ready is not TP2 final.
V2BG_GATE_387892443ab4,TP2_DIGITIZATION_READY_FROM_PUBLIC_CHARTER_PRODUCT,CHARTER_07_VECTOR_FILE_FOUND,charter_07_vector_file_found,passed=false,false,blocking,CHARTER_VECTOR_NOT_EXPOSED,Use archived official product for controlled georeferencing/digitization,Digitization-ready is not TP2 final.
V2BG_GATE_721b36566eb3,TP2_DIGITIZATION_READY_FROM_PUBLIC_CHARTER_PRODUCT,CHARTER_08_VECTOR_GEOMETRY_VALID,charter_08_vector_geometry_valid,passed=false,false,blocking,CHARTER_VECTOR_NOT_EXPOSED,Use archived official product for controlled georeferencing/digitization,Digitization-ready is not TP2 final.
V2BG_GATE_9bf38582690c,TP2_DIGITIZATION_READY_FROM_PUBLIC_CHARTER_PRODUCT,CHARTER_09_VECTOR_CRS_RECORDED,charter_09_vector_crs_recorded,passed=false,false,blocking,CHARTER_VECTOR_NOT_EXPOSED,Use archived official product for controlled georeferencing/digitization,Digitization-ready is not TP2 final.
V2BG_GATE_4311529e2de9,TP2_DIGITIZATION_READY_FROM_PUBLIC_CHARTER_PRODUCT,CHARTER_10_TP2_FEED_READY,charter_10_tp2_feed_ready,passed=false,false,blocking,CHARTER_VECTOR_NOT_EXPOSED,Use archived official product for controlled georeferencing/digitization,Digitization-ready is not TP2 final.
V2BG_GATE_30da0667c3b1,TP2_DIGITIZATION_READY_FROM_PUBLIC_CHARTER_PRODUCT,CHARTER_11_OFFICIAL_PRODUCT_DIGITIZATION_READY,charter_11_official_product_digitization_ready,passed=true,true,blocking,,Preserve guardrail,Digitization-ready is not TP2 final.
V2BG_GATE_9eaefdc6046e,TP2_DIGITIZATION_READY_FROM_PUBLIC_CHARTER_PRODUCT,CHARTER_12_CONTEXT_NOT_PROMOTED,charter_12_context_not_promoted,passed=true,true,safety,,Preserve guardrail,Digitization-ready is not TP2 final.
V2BG_GATE_c6bee95c80c2,TP2_DIGITIZATION_READY_FROM_PUBLIC_CHARTER_PRODUCT,CHARTER_13_NO_EVENT_POLYGON_INVENTED,charter_13_no_event_polygon_invented,passed=true,true,safety,,Preserve guardrail,Digitization-ready is not TP2 final.
V2BG_GATE_4475a54d7c24,TP2_DIGITIZATION_READY_FROM_PUBLIC_CHARTER_PRODUCT,CHARTER_14_NO_LABEL_CREATED,charter_14_no_label_created,passed=true,true,safety,,Preserve guardrail,Digitization-ready is not TP2 final.
V2BG_GATE_91bc04725812,TP2_DIGITIZATION_READY_FROM_PUBLIC_CHARTER_PRODUCT,CHARTER_15_NO_MODEL_TRAINED,charter_15_no_model_trained,passed=true,true,safety,,Preserve guardrail,Digitization-ready is not TP2 final.
