canonical_patch_id,region,raw_patch_id,geometry_available,geometry_source,tif_filename,tif_status,binding_classification,reconciliation_status
CUR_01,Curitiba,curitiba_00289,YES_WGS84_DEGREES,v1d,,NO_MATCHING_SENTINEL_TIF_MAPPED,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,METADATA_ONLY_NO_SPATIAL_VALIDATION
CUR_02,Curitiba,curitiba_00365,YES_WGS84_DEGREES,v1d,,NO_MATCHING_SENTINEL_TIF_MAPPED,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,METADATA_ONLY_NO_SPATIAL_VALIDATION
CUR_03,Curitiba,curitiba_00367,YES_WGS84_DEGREES,v1d,patch_curitiba_00367.tif,DESIGNATED_BY_DETERMINISTIC_ORDER_NEEDS_REVIEW,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,METADATA_ONLY_NO_SPATIAL_VALIDATION
CUR_04,Curitiba,curitiba_00740,YES_WGS84_DEGREES,v1d,patch_curitiba_00740.tif,DESIGNATED_BY_DETERMINISTIC_ORDER_NEEDS_REVIEW,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,METADATA_ONLY_NO_SPATIAL_VALIDATION
CUR_05,Curitiba,curitiba_00887,YES_WGS84_DEGREES,v1d,patch_curitiba_00887.tif,DESIGNATED_BY_DETERMINISTIC_ORDER_NEEDS_REVIEW,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,METADATA_ONLY_NO_SPATIAL_VALIDATION
CUR_06,Curitiba,curitiba_00891,YES_WGS84_DEGREES,v1d,,NO_MATCHING_SENTINEL_TIF_MAPPED,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,METADATA_ONLY_NO_SPATIAL_VALIDATION
CUR_07,Curitiba,curitiba_00896,YES_WGS84_DEGREES,v1d,,NO_MATCHING_SENTINEL_TIF_MAPPED,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,METADATA_ONLY_NO_SPATIAL_VALIDATION
CUR_08,Curitiba,curitiba_00899,YES_WGS84_DEGREES,v1d,,PLACEHOLDER_ONLY_NO_TIF,PLACEHOLDER_ONLY_NO_GEOMETRY,METADATA_ONLY_NO_SPATIAL_VALIDATION
CUR_09,Curitiba,curitiba_00926,YES_WGS84_DEGREES,v1d,,PLACEHOLDER_ONLY_NO_TIF,PLACEHOLDER_ONLY_NO_GEOMETRY,METADATA_ONLY_NO_SPATIAL_VALIDATION
CUR_10,Curitiba,curitiba_00929,YES_WGS84_DEGREES,v1d,,PLACEHOLDER_ONLY_NO_TIF,PLACEHOLDER_ONLY_NO_GEOMETRY,METADATA_ONLY_NO_SPATIAL_VALIDATION
CUR_11,Curitiba,curitiba_00930,YES_WGS84_DEGREES,v1d,,PLACEHOLDER_ONLY_NO_TIF,PLACEHOLDER_ONLY_NO_GEOMETRY,METADATA_ONLY_NO_SPATIAL_VALIDATION
CUR_12,Curitiba,curitiba_00931,YES_WGS84_DEGREES,v1d,,PLACEHOLDER_ONLY_NO_TIF,PLACEHOLDER_ONLY_NO_GEOMETRY,METADATA_ONLY_NO_SPATIAL_VALIDATION
CUR_13,Curitiba,curitiba_00934,YES_WGS84_DEGREES,v1d,,PLACEHOLDER_ONLY_NO_TIF,PLACEHOLDER_ONLY_NO_GEOMETRY,METADATA_ONLY_NO_SPATIAL_VALIDATION
CUR_14,Curitiba,curitiba_00969,YES_WGS84_DEGREES,v1d,,PLACEHOLDER_ONLY_NO_TIF,PLACEHOLDER_ONLY_NO_GEOMETRY,METADATA_ONLY_NO_SPATIAL_VALIDATION
PET_01,Petrópolis,petropolis_00291,YES_WGS84_DEGREES,v1d,patch_petropolis_00291.tif,DESIGNATED_BY_DETERMINISTIC_ORDER_NEEDS_REVIEW,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,METADATA_ONLY_NO_SPATIAL_VALIDATION
PET_02,Petrópolis,petropolis_00292,YES_WGS84_DEGREES,v1d,,NO_MATCHING_SENTINEL_TIF_MAPPED,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,METADATA_ONLY_NO_SPATIAL_VALIDATION
PET_03,Petrópolis,petropolis_00293,YES_WGS84_DEGREES,v1d,,NO_MATCHING_SENTINEL_TIF_MAPPED,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,METADATA_ONLY_NO_SPATIAL_VALIDATION
PET_04,Petrópolis,petropolis_00396,YES_WGS84_DEGREES,v1d,patch_petropolis_00396.tif,DESIGNATED_BY_DETERMINISTIC_ORDER_NEEDS_REVIEW,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,METADATA_ONLY_NO_SPATIAL_VALIDATION
PET_05,Petrópolis,petropolis_00397,YES_WGS84_DEGREES,v1d,patch_petropolis_00397.tif,DESIGNATED_BY_DETERMINISTIC_ORDER_NEEDS_REVIEW,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,METADATA_ONLY_NO_SPATIAL_VALIDATION
PET_06,Petrópolis,petropolis_00398,YES_WGS84_DEGREES,v1d,,NO_MATCHING_SENTINEL_TIF_MAPPED,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,METADATA_ONLY_NO_SPATIAL_VALIDATION
PET_07,Petrópolis,petropolis_00436,YES_WGS84_DEGREES,v1d,,NO_MATCHING_SENTINEL_TIF_MAPPED,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,METADATA_ONLY_NO_SPATIAL_VALIDATION
PET_08,Petrópolis,petropolis_00471,YES_WGS84_DEGREES,v1d,,NO_MATCHING_SENTINEL_TIF_MAPPED,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,METADATA_ONLY_NO_SPATIAL_VALIDATION
PET_09,Petrópolis,petropolis_00504,YES_WGS84_DEGREES,v1d,,NO_MATCHING_SENTINEL_TIF_MAPPED,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,METADATA_ONLY_NO_SPATIAL_VALIDATION
PET_10,Petrópolis,petropolis_00507,YES_WGS84_DEGREES,v1d,patch_petropolis_00507.tif,DESIGNATED_BY_DETERMINISTIC_ORDER_NEEDS_REVIEW,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,METADATA_ONLY_NO_SPATIAL_VALIDATION
PET_11,Petrópolis,petropolis_00579,YES_WGS84_DEGREES,v1d,patch_petropolis_00579.tif,DESIGNATED_BY_DETERMINISTIC_ORDER_NEEDS_REVIEW,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,METADATA_ONLY_NO_SPATIAL_VALIDATION
PET_12,Petrópolis,petropolis_00614,YES_WGS84_DEGREES,v1d,patch_petropolis_00614.tif,DESIGNATED_BY_DETERMINISTIC_ORDER_NEEDS_REVIEW,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,METADATA_ONLY_NO_SPATIAL_VALIDATION
PET_13,Petrópolis,petropolis_00615,YES_WGS84_DEGREES,v1d,patch_petropolis_00615.tif,DESIGNATED_BY_DETERMINISTIC_ORDER_NEEDS_REVIEW,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,METADATA_ONLY_NO_SPATIAL_VALIDATION
PET_14,Petrópolis,petropolis_00649,YES_WGS84_DEGREES,v1d,patch_petropolis_00649.tif,DESIGNATED_BY_DETERMINISTIC_ORDER_NEEDS_REVIEW,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,METADATA_ONLY_NO_SPATIAL_VALIDATION
PET_15,Petrópolis,petropolis_00720,YES_WGS84_DEGREES,v1d,patch_petropolis_00720.tif,DESIGNATED_BY_DETERMINISTIC_ORDER_NEEDS_REVIEW,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,METADATA_ONLY_NO_SPATIAL_VALIDATION
PET_16,Petrópolis,petropolis_00756,YES_WGS84_DEGREES,v1d,patch_petropolis_00756.tif,DESIGNATED_BY_DETERMINISTIC_ORDER_NEEDS_REVIEW,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,METADATA_ONLY_NO_SPATIAL_VALIDATION
