reference_id,region,institution,source_name,source_url,source_type,format,access_method,contains_street_geometry,contains_address_points,contains_neighborhood_geometry,contains_flood_points,contains_flood_polygons,contains_drainage,download_candidate,priority,review_only,notes
S14AREF_0000,recife,Prefeitura do Recife - Dados Abertos,Logradouros / eixos de via (CKAN),http://dados.recife.pe.gov.br/api/3/action/package_search,official,ckan_api,ckan_api,true,true,true,true,false,true,true,high,true,endpoint institucional oficial; nenhum URL de download inventado; probe=network_disabled
S14AREF_0001,recife,Prefeitura do Recife - ESIG,Bairros / lotes / logradouros (ArcGIS REST),https://www.recife.pe.gov.br/arcgis/rest/services,official,arcgis_rest,arcgis_rest,true,true,true,true,false,true,true,high,true,endpoint institucional oficial; nenhum URL de download inventado; probe=network_disabled
S14AREF_0002,recife,Prefeitura do Recife - Defesa Civil,Pontos criticos de alagamento / areas de risco,http://dados.recife.pe.gov.br/api/3/action/package_search,official,ckan_api,ckan_api,false,true,true,true,false,false,true,high,true,endpoint institucional oficial; nenhum URL de download inventado; probe=network_disabled
S14AREF_0003,recife,APAC Pernambuco,"Macro/microdrenagem, canais, rios (portal)",https://www.apac.pe.gov.br,state,data_portal_html,data_portal_html,false,false,false,true,true,true,false,high,true,endpoint institucional oficial; nenhum URL de download inventado; probe=network_disabled
S14AREF_0004,curitiba,GeoCuritiba / IPPUC,Eixos de rua / logradouros / bairros (ArcGIS REST),https://geocuritiba.ippuc.org.br/server/rest/services,official,arcgis_rest,arcgis_rest,true,true,true,true,false,true,true,high,true,endpoint institucional oficial; nenhum URL de download inventado; probe=network_disabled
S14AREF_0005,curitiba,Curitiba - Dados Abertos / SIAC 156,Pontos de alagamento / drenagem / bacias (CKAN),https://dadosabertos.curitiba.pr.gov.br/api/3/action/package_search,official,ckan_api,ckan_api,true,true,true,true,false,true,true,high,true,endpoint institucional oficial; nenhum URL de download inventado; probe=network_disabled
S14AREF_0006,curitiba,IAT / Aguas Parana,Hidrografia / bacias / drenagem (WFS GeoServer),https://geoportal.iat.pr.gov.br/geoserver/ows,state,wfs_getcapabilities,wfs_getcapabilities,false,false,false,true,true,true,true,high,true,endpoint institucional oficial; nenhum URL de download inventado; probe=network_disabled
S14AREF_0007,petropolis,CPRM/SGB GeoSGB,Setores de risco / hidrografia (ArcGIS REST),https://geoportal.sgb.gov.br/server/rest/services,federal,arcgis_rest,arcgis_rest,false,false,true,true,true,true,true,high,true,endpoint institucional oficial; nenhum URL de download inventado; probe=network_disabled
S14AREF_0008,petropolis,INEA-RJ,Areas inundaveis / hidrografia (ArcGIS),https://inea.maps.arcgis.com,state,arcgis_rest,arcgis_rest,false,false,true,true,true,true,true,high,true,endpoint institucional oficial; nenhum URL de download inventado; probe=network_disabled
S14AREF_0009,petropolis,DRM-RJ,Setores afetados / relatorios tecnicos 2022 (portal),https://www.drm.rj.gov.br,state,data_portal_html,data_portal_html,true,false,true,true,true,false,false,high,true,endpoint institucional oficial; nenhum URL de download inventado; probe=network_disabled
S14AREF_0010,petropolis,Prefeitura de Petropolis,"Bairros/distritos, logradouros, localidades atingidas (portal)",https://www.petropolis.rj.gov.br,official,data_portal_html,data_portal_html,true,true,true,true,false,true,false,high,true,endpoint institucional oficial; nenhum URL de download inventado; probe=network_disabled
S14AREF_0011,petropolis,Governo do RJ - Dados Abertos,Logradouros / bairros / hidrografia RJ (CKAN),http://www.dados.rj.gov.br/api/3/action/package_search,state,ckan_api,ckan_api,true,true,true,false,false,true,true,high,true,endpoint institucional oficial; nenhum URL de download inventado; probe=network_disabled
S14AREF_0012,recife,Prefeitura/Dados Abertos Recife (local 13C),Camada local reutilizada: coordenadas-geograficas-da-regiao-sul.geojson,,official,geojson,reused_local_official,true,true,true,false,false,false,false,high,true,arquivo oficial ja adquirido localmente (13C); caminho=datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson
